检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2602|22:42:55.000,20260108,22:42:55.000,22:42:56.000,NI,NI2602,6175000,12350,12350,6175000,interval_execution_drop,145097.5,5.1891,4,"NI2603,NI2605,NI2609,NI2606",20,570,290.0,144890.0,144721.76623376625,20.75,14.30072882027602,37.573376623375225,25.895261202553613,144742.24815724816,35.52518427518371,39.1172,31.330148378190653,29.477446390816475,35.52518427518371,24.483663932999335,detector_event_depth,385.0,55717880.0,385.0,144657.49999999462,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2602|00:19:25.000,20260108,00:19:25.000,,NI,NI2602,11965000,23930,23930,11965000,visible_execution_drop,143060.0,5.1891,5,"NI2603,NI2605,NI2604,NI2609,NI2606",20,564,290.0,142660.0,142869.11290322582,40.0,27.960296379141617,19.08870967741823,13.343149501900061,,,20.0,20.0,37.531818181817655,40.0,27.960296379141617,detector_event_depth,496.0,70863080.0,496.0,94679.99999999441,trade_recovered_3s,1.0,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2602|11:17:17.000,20260108,11:17:17.000,,NI,NI2602,51437000,43477,43477,51437000,visible_execution_drop,140777.5,7.042349999999999,4,"NI2603,NI2604,NI2609,NI2606",20,573,290.0,140540.0,140628.93129770993,23.75,16.870593667311894,14.856870229006745,10.55344087585498,,,20.0,20.0,13.375,23.75,16.870593667311894,detector_event_depth,131.0,18422390.0,131.0,19462.499999998836,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2602|13:54:41.000,20260108,13:54:41.000,13:54:42.000,NI,NI2602,60881000,47966,47966,60881000,interval_execution_drop,135905.0,1.4826,3,"NI2603,NI2604,NI2609",20,579,290.0,135880.0,135301.00463678516,2.5,1.8395202531179868,60.3995363214839,44.442468136922045,135395.04424778762,50.99557522123796,24.186799999999998,20.22263684210329,60.3995363214839,50.99557522123796,37.5229573755476,detector_event_depth,647.0,87539750.0,647.0,390785.0000000008,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2603|21:55:09.000,20260108,21:55:09.000,,NI,NI2603,3309000,6618,6618,3309000,visible_execution_drop,147300.0,2.2238999999999995,5,"NI2602,NI2605,NI2604,NI2609,NI2606",20,428,290.0,147100.0,147176.72727272726,20.0,13.577732518669382,12.32727272727352,8.368820588780395,,,20.0,20.0,20.0,20.0,13.577732518669382,detector_event_depth,55.0,8094720.0,55.0,6780.000000000437,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2603|11:21:29.000,20260108,11:21:29.000,,NI,NI2603,51689000,43981,43981,51689000,visible_execution_drop,141805.0,2.2238999999999995,5,"NI2602,NI2605,NI2604,NI2609,NI2606",20,536,290.0,141530.0,141708.41584158415,27.5,19.392828179542327,9.658415841584793,6.811054505542676,,,24.7216,24.7216,27.5,27.5,19.392828179542327,detector_event_depth,101.0,14312550.0,101.0,9755.00000000064,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2603|14:09:42.500,20260108,14:09:42.500,14:09:43.500,NI,NI2603,61782500,49769,49769,61782500,visible_execution_drop,134875.0,1.4826,3,"NI2602,NI2605,NI2604",20,516,290.0,134520.0,134654.0,35.5,26.320667284522706,22.1,16.3855421686747,134715.93023255814,15.906976744186249,20.0,20.0,32.17213114754122,35.5,26.320667284522706,detector_event_depth,50.0,6732700.0,50.0,11050.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2603|14:10:13.000,20260108,14:10:13.000,,NI,NI2603,61813000,49830,49830,61813000,visible_execution_drop,134530.0,0.7413,3,"NI2602,NI2605,NI2604",20,492,290.0,134310.0,134320.76923076922,22.0,16.35322976287817,20.923076923078042,15.5527220122486,,,21.113999999999997,21.946854545455174,15.613636363636761,22.0,16.35322976287817,detector_event_depth,26.0,3492340.0,26.0,5440.000000000291,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2604|14:09:39.000,20260108,14:09:39.000,,NI,NI2604,61779000,49754,49754,61779000,visible_execution_drop,135415.0,5.1891,4,"NI2602,NI2603,NI2605,NI2606",20,404,290.0,135050.0,135192.35294117648,36.5,26.954177897574127,22.264705882352427,16.441831320276503,,,29.151999999999997,26.646114285716955,19.41447368421068,36.5,26.954177897574127,detector_event_depth,102.0,13789620.0,102.0,22709.999999999476,trade_recovered_3s,1.0,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2605|22:17:53.500,20260108,22:17:53.500,,NI,NI2605,4673500,9295,9295,4673500,visible_execution_drop,149910.0,1.4826,5,"NI2602,NI2603,NI2604,NI2609,NI2606",20,496,290.0,149660.0,149815.87786259543,25.0,16.67667267026883,9.412213740457082,6.278576306088374,,,20.0,20.0,20.0,25.0,16.67667267026883,detector_event_depth,131.0,19625880.0,131.0,12329.999999998778,trade_recovered_3s,0.5,,0.5,
