检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2602|00:32:19.000,20260109,00:32:19.000,,AG,AG2602,12739000,24896,24896,12739000,visible_execution_drop,18427.5,1.11195,4,"AG2604,AG2606,AG2605,AG2608",20,167,289.0,18406.0,18406.0,21.5,11.667345000678337,21.5,11.667345000678337,,,20.7216,22.91599999997534,15.5,21.5,11.667345000678337,detector_event_depth,1.0,276090.0,1.0,322.5,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2603|14:36:19.500,20260109,14:36:19.500,,AG,AG2603,63379500,59766,59766,63379500,visible_execution_drop,18741.0,2.2239,5,"AG2604,AG2606,AG2605,AG2602,AG2608",20,171,290.0,18711.0,18729.75,30.0,16.007683688170324,11.25,6.002881383063871,,,29.151999999999997,29.151999999999997,30.0,30.0,16.007683688170324,detector_event_depth,4.0,1123785.0,4.0,675.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|09:08:29.500,20260109,09:08:29.500,09:08:30.500,AG,AG2604,43709500,40604,40604,43709500,interval_execution_drop,18270.0,3.7065,3,"AG2606,AG2605,AG2602",20,580,290.0,18240.0,18243.240075614365,30.0,16.420361247947454,26.759924385634804,14.64692084599606,18237.128755364807,32.87124463519285,30.651999999999997,23.86577931035653,22.645408256603332,32.87124463519285,17.99192371931738,detector_event_depth,529.0,144760110.0,529.0,212340.00000001217,trade_recovered_3s,,1.5,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|22:16:04.000,20260109,22:16:04.000,,AG,AG2605,4564000,9122,9122,4564000,visible_execution_drop,17824.5,3.7065,5,"AG2604,AG2606,AG2602,AG2608,AG2603",20,495,290.0,17785.0,17809.234375,39.5,22.16050941120368,15.265625,8.56440573368117,,,29.651999999999997,26.6868,39.5,39.5,22.16050941120368,detector_event_depth,64.0,17096865.0,64.0,14655.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|23:15:02.500,20260109,23:15:02.500,,AG,AG2605,8102500,16188,16188,8102500,visible_execution_drop,18118.5,0.0,5,"AG2604,AG2606,AG2602,AG2608,AG2603",20,496,290.0,18092.0,18103.451612903224,26.5,14.6259348180037,15.048387096776423,8.305536935605279,,,20.0,20.0,25.75,26.5,14.6259348180037,detector_event_depth,31.0,8418105.0,31.0,6997.500000001037,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|23:54:38.000,20260109,23:54:38.000,,AG,AG2605,10478000,20913,20913,10478000,visible_execution_drop,18280.0,6.6716999999999995,5,"AG2604,AG2606,AG2602,AG2608,AG2603",20,432,290.0,18249.0,18266.76271186441,31.0,16.95842450765864,13.23728813559137,7.241404888179086,,,21.2564,20.0,30.321428571427532,31.0,16.95842450765864,detector_event_depth,59.0,16166085.0,59.0,11714.999999998365,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|01:17:35.500,20260109,01:17:35.500,,AG,AG2605,15455500,30760,30760,15455500,visible_execution_drop,18395.25,1.4826,4,"AG2604,AG2606,AG2608,AG2603",20,284,290.0,18354.0,18374.844827586207,41.25,22.42426713417866,20.40517241379348,11.092631203051592,,,20.0,20.504693506487214,37.0,41.25,22.42426713417866,detector_event_depth,58.0,15986115.0,58.0,17752.500000000327,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|22:33:47.500,20260109,22:33:47.500,,AG,AG2606,5627500,11249,11249,5627500,visible_execution_drop,17828.25,2.59455,4,"AG2604,AG2605,AG2602,AG2608",20,539,290.0,17800.0,17813.09523809524,28.25,15.845638242676651,15.154761904759653,8.500420346786507,,,24.2216,20.0,28.25,28.25,15.845638242676651,detector_event_depth,42.0,11222250.0,42.0,9547.49999999858,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|10:36:24.000,20260109,10:36:24.000,,AG,AG2606,48984000,49167,49167,48984000,visible_execution_drop,18756.5,2.9652,5,"AG2604,AG2605,AG2602,AG2608,AG2603",20,526,290.0,18724.0,18742.575757575756,32.5,17.32732652680404,13.924242424243856,7.423689080715409,,,20.0,20.0,31.25,32.5,17.32732652680404,detector_event_depth,33.0,9277575.0,33.0,6892.500000000709,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|22:25:14.000,20260109,22:25:14.000,,AG,AG2608,5114000,10153,10153,5114000,visible_execution_drop,17886.0,1.85325,4,"AG2604,AG2606,AG2602,AG2603",20,287,290.0,17863.0,17873.5,23.0,12.85921950128592,12.5,6.988706250698871,,,20.0,20.0,22.625,23.0,12.85921950128592,detector_event_depth,10.0,2681025.0,10.0,1875.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|09:08:31.000,20260109,09:08:31.000,09:08:32.000,AG,AG2608,43711000,39528,39528,43711000,interval_execution_drop,18206.0,2.9652,5,"AG2604,AG2606,AG2605,AG2602,AG2603",20,463,290.0,18201.0,18159.894736842103,5.0,2.7463473580138418,46.10526315789684,25.32421353284458,18171.83225806452,34.1677419354819,23.9368,23.3937600000079,45.60526315789684,34.1677419354819,18.76729755876189,detector_event_depth,114.0,31053420.0,114.0,78840.00000000361,trade_recovered_3s,,1.5,0.5,
