检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AD2603|22:03:33.500,20260113,22:03:33.500,,AD,AD2603,3813500,7626,7626,3813500,visible_execution_drop,23390.0,6.6716999999999995,5,"AD2602,AD2605,AD2604,AD2610,AD2608",20,214,290.0,23225.0,23298.235294117647,33.0,70.5429670799487,18.35294117647063,39.23245227975765,,,23.9004,23.2216,32.75,33.0,70.5429670799487,detector_event_depth,17.0,3960700.0,17.0,15600.000000000036,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2602|22:45:56.500,20260113,22:45:56.500,,AG,AG2602,6356500,12623,12623,6356500,visible_execution_drop,21019.25,0.37065,4,"AG2604,AG2606,AG2605,AG2608",20,437,290.0,20963.0,20992.235294117647,56.25,26.761183201113266,27.014705882353155,12.852364324299463,,,53.1584,47.227999999999994,56.25,56.25,26.761183201113266,detector_event_depth,51.0,16059060.0,51.0,20666.250000000164,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2602|01:47:06.000,20260113,01:47:06.000,01:47:07.000,AG,AG2602,17226000,31498,31498,17226000,"visible_execution_drop,interval_execution_drop",21310.0,2.9652,5,"AG2604,AG2606,AG2605,AG2608,AG2603",20,114,290.0,21234.0,21258.45762711864,76.0,35.66400750821211,51.54237288135846,24.186941755682057,21269.57692307693,40.4230769230744,25.2216,25.2216,76.0,76.0,35.66400750821211,detector_event_depth,59.0,18813735.0,59.0,45615.00000000224,trade_recovered_3s,0.5,1.5,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2602|09:02:45.500,20260113,09:02:45.500,09:02:46.500,AG,AG2602,43365500,36166,36166,43365500,visible_execution_drop,20900.5,2.9652,5,"AG2604,AG2606,AG2605,AG2608,AG2603",20,138,215.0,20800.0,20846.288,100.5,48.08497404368317,54.211999999999534,25.93813545130477,20865.793388429753,34.70661157024733,45.675799999999995,38.7541,98.5,100.5,48.08497404368317,detector_event_depth,125.0,39086790.0,125.0,101647.49999999913,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|22:03:05.000,20260113,22:03:05.000,,AG,AG2604,3785000,7570,7570,3785000,visible_execution_drop,21152.0,2.9652,5,"AG2606,AG2605,AG2608,AG2602,AG2603",20,578,290.0,21132.0,21149.394859813085,20.0,9.4553706505295,2.605140186915378,1.23162830319373,,,20.0,20.0,11.75,20.0,9.4553706505295,detector_event_depth,428.0,135779115.0,428.0,16724.999999996726,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|22:03:13.000,20260113,22:03:13.000,,AG,AG2604,3793000,7586,7586,3796000,visible_execution_drop,21087.5,1.4826,3,"AG2606,AG2602,AG2603",20,578,290.0,21065.0,21076.83417085427,22.5,10.669828097213989,10.66582914573155,5.057891711076017,,,20.0,20.0,11.625,22.5,10.669828097213989,detector_event_depth,199.0,62914350.0,1138.0,31837.500000008677,trade_recovered_3s,0.5,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|22:03:33.500,20260113,22:03:33.500,,AG,AG2604,3813500,7627,7627,3813500,visible_execution_drop,20998.0,1.11195,4,"AG2606,AG2608,AG2602,AG2603",20,574,290.0,20971.0,20987.343589743592,27.0,12.85836746356796,10.65641025640798,5.074964404423269,,,25.2216,20.0,24.810609978703724,27.0,12.85836746356796,detector_event_depth,195.0,61387980.0,195.0,31169.999999993342,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|09:57:02.500,20260113,09:57:02.500,,AG,AG2604,46622500,46393,46393,46622500,visible_execution_drop,20876.5,4.4478,5,"AG2606,AG2605,AG2608,AG2602,AG2603",20,572,290.0,20842.0,20856.859649122805,34.5,16.525758628122528,19.640350877194575,9.4078753034247,,,28.1868,24.777110724625025,34.5,34.5,16.525758628122528,detector_event_depth,57.0,17832615.0,57.0,16792.500000001364,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|14:56:20.500,20260113,14:56:20.500,,AG,AG2604,64580500,66110,66110,64580500,visible_execution_drop,21026.25,1.11195,4,"AG2606,AG2608,AG2602,AG2603",20,571,290.0,21002.0,21010.492063492064,24.25,11.5332025444385,15.757936507936392,7.494411275399271,,,20.0,20.0,20.5,24.25,11.5332025444385,detector_event_depth,63.0,19854915.0,63.0,14891.24999999989,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|22:03:09.000,20260113,22:03:09.000,,AG,AG2605,3789000,7574,7574,3789000,visible_execution_drop,21096.5,9.6369,5,"AG2604,AG2606,AG2608,AG2602,AG2603",20,511,290.0,21071.0,21084.785714285717,25.5,12.08731306140829,11.714285714282596,5.552715243894767,,,20.0,20.0,25.5,25.5,12.08731306140829,detector_event_depth,28.0,8855610.0,28.0,4919.99999999869,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|22:04:02.000,20260113,22:04:02.000,,AG,AG2605,3842000,7680,7680,3842000,visible_execution_drop,20741.0,3.7065,3,"AG2604,AG2606,AG2608",20,529,290.0,20710.0,20733.21818181818,31.0,14.946241743406778,7.78181818181838,3.751901153183733,,,22.2216,20.0,31.0,31.0,14.946241743406778,detector_event_depth,55.0,17104905.0,55.0,6420.000000000164,trade_recovered_3s,1.0,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|01:04:54.000,20260113,01:04:54.000,,AG,AG2606,14694000,29246,29246,14694000,visible_execution_drop,21238.75,0.7413,4,"AG2604,AG2605,AG2608,AG2603",20,362,290.0,21208.0,21221.48,30.75,14.478253192866813,17.270000000000437,8.131363663115973,,,20.0,20.0,29.25,30.75,14.478253192866813,detector_event_depth,50.0,15916110.0,50.0,12952.500000000327,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|01:52:25.500,20260113,01:52:25.500,,AG,AG2606,17545500,34886,34886,17547000,visible_execution_drop,21447.5,2.2239,4,"AG2604,AG2608,AG2602,AG2603",20,344,290.0,21410.0,21439.416666666668,37.5,17.48455530947663,8.08333333333212,3.768893033375508,,,22.7216,24.713380000004676,35.41246498599503,37.5,17.48455530947663,detector_event_depth,24.0,7718190.0,95.0,2909.999999999563,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|10:53:07.000,20260113,10:53:07.000,,AG,AG2606,49987000,51109,51109,49987000,visible_execution_drop,21225.0,0.7413,5,"AG2604,AG2605,AG2608,AG2602,AG2603",20,535,290.0,21201.0,21220.285714285717,24.0,11.307420494699649,4.714285714282596,2.221100454314533,,,22.2216,21.21700987012095,24.0,24.0,11.307420494699649,detector_event_depth,7.0,2228130.0,7.0,494.9999999996726,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2607|22:04:12.000,20260113,22:04:12.000,,AG,AG2607,3852000,7261,7261,3852000,visible_execution_drop,20646.5,3.7065,3,"AG2604,AG2605,AG2602",20,188,290.0,20616.0,20636.121212121212,30.5,14.77247959702613,10.378787878787987,5.02689941577894,,,29.651999999999997,29.151999999999997,29.75,30.5,14.77247959702613,detector_event_depth,33.0,10214880.0,33.0,5137.500000000055,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2607|22:27:36.500,20260113,22:27:36.500,22:27:37.500,AG,AG2607,5256500,10038,10038,5256500,visible_execution_drop,20559.5,2.2239,5,"AG2604,AG2606,AG2605,AG2608,AG2602",20,285,290.0,20521.0,20524.5,38.5,18.72613633600039,35.0,17.0237603054549,20534.642857142855,24.857142857144936,28.151999999999997,32.105599999985614,38.5,38.5,18.72613633600039,detector_event_depth,10.0,3078675.0,10.0,5250.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|21:22:06.500,20260113,21:22:06.500,,AG,AG2608,1326500,2653,2653,1326500,visible_execution_drop,21196.5,0.7413,5,"AG2604,AG2606,AG2605,AG2602,AG2603",20,490,290.0,21176.0,21192.666666666668,20.5,9.671408015474253,3.8333333333321207,1.808474669559654,,,20.0,20.0,20.5,20.5,9.671408015474253,detector_event_depth,18.0,5722020.0,18.0,1034.9999999996726,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|22:03:54.000,20260113,22:03:54.000,,AG,AG2608,3834000,7648,7648,3834000,visible_execution_drop,20857.5,7.412999999999999,4,"AG2604,AG2606,AG2605,AG2602",20,479,290.0,20835.0,20851.871794871797,22.5,10.787486515641854,5.628205128203263,2.6984083079004013,,,21.2216,21.171765034981735,22.25,22.5,10.787486515641854,detector_event_depth,39.0,12198345.0,39.0,3292.4999999989086,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|22:11:28.000,20260113,22:11:28.000,,AG,AG2608,4288000,8556,8556,4288000,visible_execution_drop,20841.0,5.1891,4,"AG2604,AG2606,AG2602,AG2603",20,522,290.0,20801.0,20820.615384615383,40.0,19.1929369991843,20.384615384617064,9.781015970738958,,,34.5824,30.10537128203377,35.347222222222626,40.0,19.1929369991843,detector_event_depth,13.0,4060020.0,13.0,3975.0000000003274,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|01:59:13.000,20260113,01:59:13.000,,AG,AG2608,17953000,35232,35232,17953000,visible_execution_drop,21362.0,2.2239,5,"AG2604,AG2606,AG2605,AG2602,AG2603",20,247,290.0,21333.0,21349.285714285717,29.0,13.575507911244266,12.714285714282596,5.951823665519425,,,24.2216,20.0,27.5,29.0,13.575507911244266,detector_event_depth,7.0,2241675.0,7.0,1334.9999999996726,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|14:20:32.500,20260113,14:20:32.500,,AG,AG2608,62432500,60985,60985,62433000,visible_execution_drop,21026.5,0.7413,3,"AG2606,AG2602,AG2603",20,284,290.0,20997.0,21010.285714285717,29.5,14.029914631536396,16.214285714282596,7.71135743670254,,,21.738999999999997,20.0,29.125,29.5,14.029914631536396,detector_event_depth,7.0,2206080.0,8.0,1702.4999999996726,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2609|22:31:40.500,20260113,22:31:40.500,,AG,AG2609,5500500,10903,10903,5500500,visible_execution_drop,20801.0,2.2239,5,"AG2604,AG2606,AG2605,AG2608,AG2602",20,240,290.0,20750.0,20761.5,51.0,24.518052016729964,39.5,18.989471660016346,,,46.4432,46.35016000000863,46.0,51.0,24.518052016729964,detector_event_depth,18.0,5605605.0,18.0,10665.0,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2610|21:27:20.000,20260113,21:27:20.000,,AG,AG2610,1640000,3269,3269,1640000,visible_execution_drop,21155.5,1.4826,5,"AG2604,AG2606,AG2605,AG2608,AG2602",20,151,290.0,21123.0,21147.0,32.5,15.36243530051287,8.5,4.017867693980288,,,24.2216,24.2216,25.5,32.5,15.36243530051287,detector_event_depth,9.0,2854845.0,9.0,1147.5,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2611|22:11:37.000,20260113,22:11:37.000,,AG,AG2611,4297000,8496,8496,4297000,visible_execution_drop,20862.5,3.7065,5,"AG2604,AG2606,AG2605,AG2608,AG2602",20,163,290.0,20813.0,20813.8,49.5,23.72678250449371,48.70000000000073,23.34331935290628,,,40.5128,38.81840000002465,49.5,49.5,23.72678250449371,detector_event_depth,5.0,1561035.0,5.0,3652.5000000000546,trade_recovered_3s,2.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,IC2603|10:14:53.500,20260113,10:14:53.500,,IC,IC2603,47693500,5364,5364,47693500,visible_execution_drop,8151.199999999999,3.7064999999865154,3,"IC2601,IC2606,IC2602",20,458,290.0,8145.6,8149.1,27.999999999992724,6.870154087739898,10.499999999992724,2.576307782901346,,,27.15200000005848,27.1519999998944,26.49999999999636,27.999999999992724,6.870154087739898,detector_event_depth,10.0,16298200.0,10.0,4199.99999999709,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,IM2602|14:33:11.500,20260113,14:33:11.500,,IM,IM2602,63191500,21320,21320,63191500,visible_execution_drop,8214.650000000001,8.524949999990561,2,"IM2603,IM2601",20,150,290.0,8201.0,8207.6,68.25000000000728,16.616654391850478,35.25000000000546,8.582228092494617,,,60.80399999999636,60.80399999999636,61.25,68.25000000000728,16.616654391850478,detector_event_depth,10.0,16415200.0,10.0,14100.000000002185,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,IM2602|14:41:40.000,20260113,14:41:40.000,,IM,IM2602,63700000,22198,22198,63700000,visible_execution_drop,8190.4,1.3484168448485431e-11,3,"IM2603,IM2601,IM2606",20,217,289.5,8181.0,8185.058536585366,46.99999999999818,11.476850947450233,26.70731707316918,6.521614835214197,,,46.943200000125934,46.943200000072,44.24999999999727,46.99999999999818,11.476850947450233,detector_event_depth,41.0,67117480.0,41.0,43799.99999999745,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,LC2609|10:08:27.613,20260113,10:08:27.613,,LC,LC2609,47307190,6271,6271,47307613,visible_execution_drop,170580.0,6.6716999999999995,4,"LC2605,LC2607,LC2603,LC2606",20,262,289.91,169880.0,169875.0588235294,35.0,41.03646382928831,35.2470588235301,41.32613298573115,,,23.2216,20.79009411764651,28.147715561663063,35.0,41.03646382928831,detector_event_depth,85.0,14439380.0,156.0,59920.00000000117,trade_recovered_3s,0.583,,0.583,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,LC2610|13:48:16.600,20260113,13:48:16.600,,LC,LC2610,60496600,9933,9933,60496600,visible_execution_drop,170060.0,3.7065,3,"LC2605,LC2607,LC2603",20,110,289.54,169360.0,169390.0,35.0,41.16194284370222,33.5,39.39785957897213,,,31.4574,31.7074,34.5,35.0,41.16194284370222,detector_event_depth,10.0,1693900.0,10.0,6700.0,quote_only_recovered_3s,4.004,,0.262,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2602|11:28:49.500,20260113,11:28:49.500,,NI,NI2602,52129500,44857,44857,52131000,"visible_execution_drop,interval_execution_drop",142000.0,0.7413,3,"NI2603,NI2605,NI2609",20,577,290.0,141720.0,141959.69565217392,28.0,19.718309859154928,4.030434782608063,2.83833435394934,,,20.0,20.0,24.75,28.0,19.718309859154928,detector_event_depth,230.0,32650730.0,632.0,9269.999999998545,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2603|22:02:02.000,20260113,22:02:02.000,22:02:03.000,NI,NI2603,3722000,7431,7431,3722000,visible_execution_drop,142862.5,0.7413,4,"NI2605,NI2604,NI2609,NI2606",20,467,290.0,142630.0,142652.55319148937,23.25,16.27438971038586,20.994680851063457,14.695725506037943,142665.7723577236,19.672764227641164,20.0,20.0,23.25,23.25,16.27438971038586,detector_event_depth,141.0,20114010.0,141.0,29602.499999999476,trade_recovered_3s,0.5,,0.5,
