检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2603|14:33:51.000,20260120,14:33:51.000,14:33:52.000,AG,AG2603,63231000,60576,60576,63232500,"visible_execution_drop,interval_execution_drop",22978.75,1.8532499999999998,4,"AG2604,AG2606,AG2605,AG2608",20,298,290.0,22904.0,22933.257142857143,74.75,32.53005494206604,45.49285714285725,19.79779454620345,22942.727272727276,36.022727272724296,42.5128,35.923466666654676,74.75,74.75,32.53005494206604,detector_event_depth,35.0,12039960.0,74.0,23883.750000000055,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|09:56:38.500,20260120,09:56:38.500,09:56:39.500,AG,AG2604,46598500,46210,46210,46598500,interval_execution_drop,23145.5,7.412999999999999,5,"AG2606,AG2605,AG2608,AG2602,AG2603",20,519,290.0,23143.0,23119.10152284264,2.5,1.080123566135966,26.398477157359594,11.405446915106433,23123.53875236295,21.961247637049382,20.0,20.0,24.102778232629134,21.961247637049382,9.488344445809934,detector_event_depth,394.0,136633890.0,394.0,156014.9999999952,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|11:22:39.500,20260120,11:22:39.500,,AG,AG2604,51757000,54733,54733,51759500,visible_execution_drop,23028.75,1.8532499999999998,4,"AG2606,AG2608,AG2602,AG2603",20,553,290.0,23006.0,23012.509433962266,22.75,9.878955653259514,16.240566037733515,7.052300293213273,,,20.0,20.0,18.625,22.75,9.878955653259514,detector_event_depth,53.0,18294945.0,141.0,12911.249999998145,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|13:40:59.500,20260120,13:40:59.500,,AG,AG2604,60059500,56934,56934,60061000,visible_execution_drop,23283.5,0.7413,4,"AG2606,AG2605,AG2608,AG2603",20,575,290.0,23257.0,23267.545454545456,26.5,11.38145038331866,15.954545454544132,6.852296886011181,,,21.2216,20.0,16.5,26.5,11.38145038331866,detector_event_depth,55.0,19195725.0,144.0,13162.499999998909,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|02:27:34.500,20260120,02:27:34.500,,AG,AG2605,19654500,38459,38459,19654500,visible_execution_drop,23506.5,2.2239,5,"AG2604,AG2606,AG2608,AG2602,AG2603",20,217,290.0,23450.0,23488.849056603776,56.5,24.03590496245719,17.650943396223738,7.508962795917613,,,23.7216,20.5064,53.5,56.5,24.03590496245719,detector_event_depth,53.0,18673635.0,53.0,14032.499999997872,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|13:41:47.500,20260120,13:41:47.500,,AG,AG2605,60107500,56316,56316,60107500,visible_execution_drop,23154.5,5.9304,4,"AG2604,AG2606,AG2608,AG2603",20,517,290.0,23126.0,23138.776315789473,28.5,12.308622513982163,15.723684210526699,6.790768192155607,,,24.7216,22.180000000036983,21.996848739494453,28.5,12.308622513982163,detector_event_depth,76.0,26378205.0,76.0,17925.000000000437,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|14:10:02.500,20260120,14:10:02.500,,AG,AG2605,61802500,59686,59686,61802500,visible_execution_drop,23169.5,2.2239,5,"AG2604,AG2606,AG2608,AG2602,AG2603",20,413,290.0,23140.0,23149.98076923077,29.5,12.732255767280261,19.51923076923049,8.4245368994715,,,20.0,20.0,26.899999999999636,29.5,12.732255767280261,detector_event_depth,52.0,18056985.0,52.0,15224.999999999782,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2607|14:34:17.000,20260120,14:34:17.000,14:34:18.000,AG,AG2607,63257000,53591,53591,63259500,visible_execution_drop,22887.0,2.9652,5,"AG2604,AG2606,AG2605,AG2608,AG2602",20,109,290.0,22832.0,22841.066666666666,55.0,24.031109363394066,45.9333333333343,20.06961739561074,22859.138888888887,27.861111111113132,40.5128,40.0128,55.0,55.0,24.031109363394066,detector_event_depth,30.0,10278480.0,112.0,20670.000000000437,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2609|14:34:34.500,20260120,14:34:34.500,,AG,AG2609,63274500,61112,61112,63275000,visible_execution_drop,22864.5,2.2239,5,"AG2604,AG2606,AG2605,AG2608,AG2602",20,121,290.0,22804.0,22815.866666666665,60.5,26.460233112466923,48.63333333333503,21.27023697580749,,,34.5824,34.5824,60.5,60.5,26.460233112466923,detector_event_depth,30.0,10267140.0,60.0,21885.000000000764,trade_recovered_3s,2.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2609|14:34:45.500,20260120,14:34:45.500,14:34:46.500,AG,AG2609,63285500,61134,61134,63285500,"visible_execution_drop,interval_execution_drop",22860.5,2.9652,5,"AG2604,AG2606,AG2605,AG2608,AG2602",20,130,290.0,22819.0,22824.297297297297,41.5,18.153583692395177,36.20270270270339,15.836356467576557,22827.669491525427,32.830508474573435,28.651999999999997,31.617199999999997,23.753048780488825,41.5,18.153583692395177,detector_event_depth,37.0,12667485.0,37.0,20092.500000000382,trade_recovered_3s,0.5,1.5,2.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2610|13:36:07.500,20260120,13:36:07.500,13:36:08.500,AG,AG2610,59767500,53793,53793,59767500,"visible_execution_drop,interval_execution_drop",23234.0,2.9652,5,"AG2604,AG2606,AG2605,AG2608,AG2602",20,218,290.0,23180.0,23203.25,54.0,23.241800809158992,30.75,13.23491434965998,23203.849056603776,30.150943396223738,30.651999999999997,28.180999999992807,48.5,54.0,23.241800809158992,detector_event_depth,20.0,6960975.0,20.0,9225.0,trade_recovered_3s,0.5,1.5,1.0,
