检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2602|09:55:03.000,20260128,09:55:03.000,,NI,NI2602,46503000,35253,35253,46503000,visible_execution_drop,142485.0,1.4826,4,"NI2605,NI2604,NI2606,NI2609",20,482,290.0,142240.0,142368.9516129032,24.5,17.19479243429133,11.604838709678734,8.144603789647144,,,20.0,20.0,20.5,24.5,17.19479243429133,detector_event_depth,124.0,17653750.0,124.0,14390.00000000163,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2603|22:13:05.000,20260128,22:13:05.000,,NI,NI2603,4385000,8770,8770,4385000,visible_execution_drop,145935.0,4.447799999999999,5,"NI2602,NI2605,NI2604,NI2606,NI2609",20,575,290.0,145700.0,145824.65465465465,23.5,16.10305958132045,11.034534534535487,7.56126668347928,,,20.0,20.0,23.5,23.5,16.10305958132045,detector_event_depth,333.0,48559610.0,333.0,36745.00000000317,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2603|22:19:29.500,20260128,22:19:29.500,,NI,NI2603,4769500,9539,9539,4769500,visible_execution_drop,145245.0,0.37065,4,"NI2602,NI2605,NI2604,NI2609",20,581,290.0,145000.0,145095.73033707865,24.5,16.86805053530242,14.926966292134603,10.277094765489073,,,20.0,20.0,21.10975609756133,24.5,16.86805053530242,detector_event_depth,267.0,38740560.0,267.0,39854.99999999939,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2603|23:10:14.500,20260128,23:10:14.500,,NI,NI2603,7814500,15629,15629,7814500,visible_execution_drop,143275.0,9.6369,3,"NI2605,NI2606,NI2609",20,561,290.0,143050.0,143104.03225806452,22.5,15.70406560809632,17.09677419354848,11.932838383213038,,,20.0,20.0,18.031565656565363,22.5,15.70406560809632,detector_event_depth,62.0,8872450.0,62.0,10600.000000000058,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2603|23:10:37.500,20260128,23:10:37.500,23:10:38.500,NI,NI2603,7837500,15675,15675,7837500,interval_execution_drop,143045.0,1.4826,3,"NI2602,NI2606,NI2609",20,558,290.0,142850.0,142670.88974854932,19.5,13.632073822922857,37.41102514506783,26.153325977886563,142676.99235344096,36.80076465590391,20.0,20.0,36.85256743362406,36.80076465590391,25.726704642527817,detector_event_depth,517.0,73760850.0,517.0,193415.0000000007,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2603|09:31:40.000,20260128,09:31:40.000,,NI,NI2603,45100000,32552,32552,45100000,visible_execution_drop,143387.5,1.4826,4,"NI2602,NI2605,NI2604,NI2606",20,555,290.0,143170.0,143275.7894736842,21.75,15.16868625228838,11.171052631578641,7.7908134471823836,,,20.0,20.0,19.875,21.75,15.16868625228838,detector_event_depth,57.0,8166720.0,57.0,6367.499999999825,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2604|09:22:36.000,20260128,09:22:36.000,,NI,NI2604,44556000,29923,29923,44556000,visible_execution_drop,144075.0,1.4826,3,"NI2602,NI2605,NI2606",20,324,290.0,143850.0,143897.6,22.5,15.616866215512754,17.73999999999942,12.313031407252762,,,20.0,20.0,22.0,22.5,15.616866215512754,detector_event_depth,50.0,7194880.0,50.0,8869.999999999709,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2604|09:32:59.500,20260128,09:32:59.500,09:33:00.500,NI,NI2604,45179500,31163,31163,45180000,"visible_execution_drop,interval_execution_drop",143540.0,0.7413,5,"NI2603,NI2602,NI2605,NI2606,NI2609",20,277,290.0,143230.0,143325.88235294117,31.0,21.596767451581442,21.411764705882526,14.916932357449161,143315.7723577236,22.422764227641164,20.0,20.0,31.0,31.0,21.596767451581442,detector_event_depth,51.0,7309620.0,109.0,10920.000000000087,trade_recovered_3s,1.0,2.0,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2604|09:33:17.000,20260128,09:33:17.000,,NI,NI2604,45197000,31198,31198,45197000,visible_execution_drop,143300.0,6.6716999999999995,5,"NI2603,NI2602,NI2605,NI2606,NI2609",20,286,290.0,143020.0,143139.72972972973,28.0,19.539427773900908,16.027027027026634,11.184247750890883,,,21.6314,20.0,13.916666666667151,28.0,19.539427773900908,detector_event_depth,74.0,10592340.0,74.0,11859.999999999709,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2605|09:19:36.500,20260128,09:19:36.500,,NI,NI2605,44376500,30472,30472,44384000,visible_execution_drop,144480.0,2.9652,5,"NI2603,NI2602,NI2604,NI2606,NI2609",20,503,290.0,144190.0,144332.74509803922,29.0,20.071982281284605,14.725490196078317,10.192061320652213,,,20.0,20.0,26.5,29.0,20.071982281284605,detector_event_depth,51.0,7360970.0,630.0,7509.999999999942,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2605|09:21:43.500,20260128,09:21:43.500,,NI,NI2605,44503500,30726,30726,44503500,visible_execution_drop,144420.0,0.7413,5,"NI2603,NI2602,NI2604,NI2606,NI2609",20,525,290.0,144220.0,144289.43396226416,20.0,13.848497438027975,13.056603773584357,9.040717195391467,,,20.0,20.0,20.0,20.0,13.848497438027975,detector_event_depth,53.0,7647340.0,53.0,6919.999999999709,trade_recovered_3s,0.5,,0.5,
