检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2602|22:20:19.500,20260129,22:20:19.500,,SN,SN2602,4819500,9617,9617,4820000,visible_execution_drop,446100.0,8.895599999999998,5,"SN2603,SN2604,SN2605,SN2606,SN2607",20,153,290.0,444990.0,445525.0,111.0,24.88231338264963,57.5,12.889486662183366,,,66.44959999999999,63.734399999999994,98.0,111.0,24.88231338264963,detector_event_depth,12.0,5346300.0,17.0,6900.0,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2603|21:12:03.000,20260129,21:12:03.000,21:12:04.000,SN,SN2603,723000,1446,1446,723000,interval_execution_drop,443215.0,0.7413,3,"SN2604,SN2606,SN2607",20,460,290.0,442960.0,442723.2110091743,25.5,5.753415385309613,49.17889908257057,11.095946455460798,442605.358649789,60.96413502109935,47.9432,35.4186844444304,29.728899082570567,60.96413502109935,13.754980093430808,detector_event_depth,109.0,48256830.0,109.0,53605.00000000192,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2603|22:59:47.500,20260129,22:59:47.500,,SN,SN2603,7187500,14373,14373,7187500,visible_execution_drop,448395.0,0.7413,5,"SN2604,SN2605,SN2602,SN2606,SN2607",20,516,290.0,448040.0,448258.7878787879,35.5,7.917126640573602,13.621212121209828,3.0377707425840677,,,35.0824,27.160853333322795,34.1666666666657,35.5,7.917126640573602,detector_event_depth,33.0,14792540.0,33.0,4494.999999999243,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2603|23:08:39.000,20260129,23:08:39.000,23:08:40.000,SN,SN2603,7719000,15436,15436,7719000,visible_execution_drop,443980.0,3.7064999999999997,3,"SN2605,SN2606,SN2607",20,467,290.0,443540.0,443590.0,44.0,9.910356322356863,39.0,8.784179467543582,443701.85714285716,27.81428571428405,41.5128,35.5824,40.8472222222219,44.0,9.910356322356863,detector_event_depth,5.0,2217950.0,5.0,1950.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2603|00:33:28.000,20260129,00:33:28.000,,SN,SN2603,12808000,25537,25537,12808000,visible_execution_drop,443567.5,0.37065,3,"SN2605,SN2602,SN2607",20,349,290.0,443220.0,443390.4,34.75,7.834207871406268,17.70999999999767,3.992627954031274,,,29.651999999999997,29.651999999999997,26.489130434783874,34.75,7.834207871406268,detector_event_depth,25.0,11084760.0,25.0,4427.499999999418,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2603|00:33:43.000,20260129,00:33:43.000,00:33:44.000,SN,SN2603,12823000,25567,25567,12823000,interval_execution_drop,442037.5,5.559749999999999,2,"SN2605,SN2602",20,359,290.0,441750.0,441598.07692307694,28.75,6.503973079207081,43.94230769230635,9.94085517457373,441565.71428571426,47.178571428573925,32.8672,32.8672,29.19230769230635,47.178571428573925,10.672979425631066,detector_event_depth,52.0,22963100.0,52.0,22849.9999999993,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2603|09:25:30.500,20260129,09:25:30.500,09:25:31.500,SN,SN2603,44730500,31721,31721,44730500,"visible_execution_drop,interval_execution_drop",445530.0,2.59455,5,"SN2604,SN2605,SN2602,SN2606,SN2607",20,491,290.0,444950.0,445178.3333333333,58.0,13.018203039077054,35.166666666668604,7.893220808176466,445156.8965517241,37.310344827588416,35.5824,31.46213333328537,57.0,58.0,13.018203039077054,detector_event_depth,42.0,18697490.0,42.0,14770.000000000815,trade_recovered_3s,1.0,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2603|10:02:47.500,20260129,10:02:47.500,,SN,SN2603,46967500,36178,36178,46967500,visible_execution_drop,439565.0,6.6716999999999995,5,"SN2604,SN2605,SN2602,SN2606,SN2607",20,481,290.0,439100.0,439357.3333333333,46.5,10.57864024660744,20.766666666668606,4.7243676513527255,,,42.5128,36.5824,36.94054878048773,46.5,10.57864024660744,detector_event_depth,30.0,13180720.0,30.0,6230.000000000582,trade_recovered_3s,0.5,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2603|13:52:40.000,20260129,13:52:40.000,13:52:41.000,SN,SN2603,60760000,47561,47561,60760000,interval_execution_drop,449090.0,2.9652,3,"SN2604,SN2602,SN2606",20,455,290.0,448800.0,448446.95652173914,29.0,6.457502950410831,64.30434782608646,14.318810890041295,448356.33165829146,73.36683417085442,39.0128,29.64901052634849,35.904265363194284,73.36683417085442,16.336777521399814,detector_event_depth,69.0,30942840.0,69.0,44369.99999999965,trade_recovered_3s,,2.0,1.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2603|13:53:11.000,20260129,13:53:11.000,13:53:12.000,SN,SN2603,60791000,47623,47623,60791000,visible_execution_drop,449267.5,4.447799999999999,4,"SN2604,SN2605,SN2602,SN2607",20,444,290.0,448800.0,448904.54545454547,46.75,10.405827263267431,36.295454545452955,8.078807068272901,448960.8333333333,30.666666666668608,45.4432,33.3203733333228,31.75,46.75,10.405827263267431,detector_event_depth,11.0,4937950.0,11.0,3992.4999999998254,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2604|21:12:00.500,20260129,21:12:00.500,,SN,SN2604,720500,1441,1441,720500,visible_execution_drop,444930.0,8.1543,3,"SN2602,SN2606,SN2607",20,282,290.0,443980.0,444386.92307692306,95.0,21.35167329692311,54.30769230769365,12.205895828038939,,,65.2344,56.0888,94.75,95.0,21.35167329692311,detector_event_depth,26.0,11554060.0,26.0,14120.00000000035,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2604|23:08:04.000,20260129,23:08:04.000,,SN,SN2604,7684000,15358,15358,7684000,visible_execution_drop,446005.0,0.0,3,"SN2603,SN2605,SN2606",20,164,290.0,445360.0,445800.0,64.5,14.461721281151558,20.5,4.596361027342743,,,64.2518,63.5192,55.25,64.5,14.461721281151558,detector_event_depth,9.0,4012200.0,9.0,1845.0,trade_recovered_3s,0.5,,0.5,
