检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,CU2603|00:17:05.500,20260130,00:17:05.500,,CU,CU2603,11825500,23649,23649,11825500,visible_execution_drop,107040.0,4.447799999999999,5,"CU2604,CU2605,CU2606,CU2602,CU2609",20,557,290.0,106800.0,106948.81355932204,24.0,22.42152466367713,9.118644067796414,8.518912619391267,,,20.0,20.0,21.501262626262907,24.0,22.42152466367713,detector_event_depth,59.0,31549900.0,59.0,26899.999999999418,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,CU2604|23:16:42.000,20260130,23:16:42.000,,CU,CU2604,8202000,16381,16381,8202000,visible_execution_drop,108765.0,2.2238999999999995,3,"CU2606,CU2602,CU2609",20,527,290.0,108560.0,108686.66666666667,20.5,18.84797499195513,7.833333333332848,7.2020717448929785,,,20.0,20.0,17.10714285714348,20.5,18.84797499195513,detector_event_depth,6.0,3260600.0,6.0,2349.9999999998545,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,CU2604|23:17:18.000,20260130,23:17:18.000,23:17:19.000,CU,CU2604,8238000,16453,16453,8238000,visible_execution_drop,107485.0,5.1891,5,"CU2603,CU2605,CU2606,CU2602,CU2609",20,533,290.0,107030.0,107270.90909090909,45.5,42.33148811462064,21.409090909091173,19.918212689297274,107349.3220338983,13.567796610170626,23.2216,20.0,45.5,45.5,42.33148811462064,detector_event_depth,22.0,11799800.0,22.0,23550.00000000029,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,CU2604|23:17:45.000,20260130,23:17:45.000,,CU,CU2604,8265000,16507,16507,8265000,visible_execution_drop,106600.0,1.4826,3,"CU2605,CU2602,CU2609",20,535,290.0,106180.0,106478.9447236181,42.0,39.39962476547843,12.10552763818996,11.356029679352682,,,23.2216,20.08973333333285,38.44736842105267,42.0,39.39962476547843,detector_event_depth,199.0,105946550.0,199.0,120449.9999999901,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,CU2604|23:17:59.500,20260130,23:17:59.500,23:18:00.500,CU,CU2604,8279500,16536,16536,8279500,interval_execution_drop,105760.0,2.2238999999999995,5,"CU2603,CU2605,CU2606,CU2602,CU2609",20,542,290.0,105720.0,105325.8,4.0,3.7821482602118004,43.41999999999971,41.05521936459882,105444.60227272726,31.539772727273522,23.2216,20.19890297296839,43.41999999999971,31.539772727273522,29.822024136983284,detector_event_depth,100.0,52662900.0,100.0,217099.99999999854,trade_recovered_3s,,1.5,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,CU2604|00:00:06.500,20260130,00:00:06.500,,CU,CU2604,10806500,21582,21582,10806500,visible_execution_drop,106805.0,0.7413,4,"CU2603,CU2605,CU2606,CU2602",20,368,290.0,106540.0,106678.125,26.5,24.811572491924533,12.6875,11.879125509105378,,,20.0,20.0,23.5,26.5,24.811572491924533,detector_event_depth,16.0,8534250.0,16.0,10150.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,CU2605|22:53:29.000,20260130,22:53:29.000,22:53:30.000,CU,CU2605,6809000,13533,13533,6809000,interval_execution_drop,112700.0,1.4826,5,"CU2603,CU2604,CU2606,CU2602,CU2609",20,460,290.0,112620.0,112086.00529100529,8.0,7.098491570541261,61.399470899470906,54.48045332694845,112173.0941704036,52.690582959640594,24.2216,21.0064,61.399470899470906,52.690582959640594,46.75295737323922,detector_event_depth,378.0,211842550.0,378.0,1160450.0000000002,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,CU2605|23:02:23.500,20260130,23:02:23.500,,CU,CU2605,7343500,14599,14599,7343500,visible_execution_drop,111832.5,0.37065,4,"CU2603,CU2604,CU2602,CU2609",20,434,290.0,111600.0,111675.2564102564,23.25,20.79002079002079,15.724358974359347,14.060634408029282,,,20.5064,20.0,22.76388888888905,23.25,20.79002079002079,detector_event_depth,78.0,43553350.0,78.0,61325.000000001455,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,CU2605|00:17:18.000,20260130,00:17:18.000,,CU,CU2605,11838000,23567,23567,11838000,visible_execution_drop,107595.0,0.37065,4,"CU2603,CU2604,CU2606,CU2609",20,376,290.0,107360.0,107481.33333333333,23.5,21.841163622844928,11.366666666667152,10.56430751119211,,,20.0,20.0,21.25,23.5,21.841163622844928,detector_event_depth,15.0,8061100.0,15.0,8525.000000000364,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,CU2606|10:36:47.000,20260130,10:36:47.000,,CU,CU2606,49007000,37150,37150,49007000,visible_execution_drop,104145.0,0.7413,5,"CU2603,CU2604,CU2605,CU2602,CU2609",20,426,290.0,103830.0,104014.61538461539,31.5,30.246291228575544,13.038461538460979,12.51952713856736,,,26.311799999999998,23.2216,29.5,31.5,30.246291228575544,detector_event_depth,13.0,6760950.0,13.0,8474.999999999636,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,CU2607|10:40:09.000,20260130,10:40:09.000,,CU,CU2607,49209000,36199,36199,49209000,visible_execution_drop,104960.0,2.9652,5,"CU2603,CU2604,CU2605,CU2606,CU2602",20,123,290.0,104550.0,104695.0,41.0,39.0625,26.5,25.24771341463415,,,26.7216,26.7216,41.0,41.0,39.0625,detector_event_depth,10.0,5234750.0,10.0,13250.0,quote_only_recovered_3s,3.5,,0.5,
