检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI603|21:13:14.000,20260130,21:13:14.000,21:13:15.000,OI,OI603,794000,1187,1187,794000,interval_execution_drop,9648.0,0.7413,5,"OI605,OI607,OI609,OI701,OI611",20,117,289.0,9646.0,9611.666666666666,2.0,2.0729684908789388,36.33333333333394,37.658927584301345,9614.619047619048,33.380952380952294,20.2912,21.151999999999997,33.83333333333394,39.0,374855.0,39.0,1417.0000000000236,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI605|21:04:41.000,20260130,21:04:41.000,21:04:42.000,OI,OI605,281000,634,635,281000,interval_execution_drop,9357.5,1.4826,5,"OI607,OI603,OI609,OI701,OI611",20,202,271.0,9356.0,9225.554054054053,1.5,1.6029922522041145,131.94594594594673,141.005552707397,9251.978021978022,105.5219780219777,20.0,44.873599999999996,129.44594594594673,74.0,682691.0,74.0,9764.000000000058,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI605|21:05:36.000,20260130,21:05:36.000,21:05:37.000,OI,OI605,336000,744,745,336000,interval_execution_drop,9353.0,1.8532499999999998,4,"OI607,OI603,OI609,OI611",20,255,290.0,9353.0,9239.344444444445,0.0,0.0,113.65555555555511,121.51775425591265,9244.734042553191,108.2659574468089,20.0,20.151999999999997,113.15555555555511,90.0,831541.0,90.0,10228.99999999996,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI605|21:06:06.000,20260130,21:06:06.000,21:06:07.000,OI,OI605,366000,804,805,366000,interval_execution_drop,9345.5,2.2239,5,"OI607,OI603,OI609,OI701,OI611",20,285,290.0,9346.0,9175.703125,-0.5,-0.5350168530308704,169.796875,181.68837943395215,9258.728070175439,86.77192982456108,20.0,22.867199999999997,169.796875,64.0,587245.0,64.0,10867.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI605|21:29:19.000,20260130,21:29:19.000,21:29:20.000,OI,OI605,1759000,3357,3358,1759000,interval_execution_drop,9348.25,1.8532499999999998,2,"OI607,OI609",20,232,290.0,9345.0,9296.65393258427,3.25,3.4765865268900598,51.59606741573043,55.19329009785835,9300.16313559322,48.08686440677957,20.0,27.367199999999997,49.59606741573043,445.0,4137011.0,445.0,22960.250000000044,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI607|09:14:38.000,20260202,09:14:38.000,09:14:39.000,OI,OI607,44078000,8610,8611,44078000,interval_execution_drop,9282.5,0.7413,5,"OI605,OI603,OI609,OI701,OI611",20,101,290.0,9281.0,9128.545454545454,1.5,1.6159439806086722,153.95454545454595,165.85461400974518,9221.8,60.70000000000073,20.0,20.0,152.45454545454595,22.0,200828.0,22.0,3387.000000000011,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI607|09:21:06.000,20260202,09:21:06.000,09:21:07.000,OI,OI607,44466000,9154,9155,44466000,interval_execution_drop,9271.5,2.2239,5,"OI605,OI603,OI609,OI701,OI611",20,102,290.0,9270.0,9191.307692307691,1.5,1.6178611875101117,80.19230769230853,86.49334810150303,9194.2,77.29999999999927,20.0,20.0,78.44230769230853,39.0,358461.0,39.0,3127.5000000000327,quote_only_recovered_3s,,7.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI607|09:23:15.000,20260202,09:23:15.000,09:23:16.000,OI,OI607,44595000,9348,9349,44595000,interval_execution_drop,9252.0,2.2239,5,"OI605,OI603,OI609,OI701,OI611",20,106,290.0,9252.0,9108.333333333334,0.0,0.0,143.66666666666606,155.28174088485306,9152.741935483871,99.2580645161288,20.0,20.0,143.66666666666606,24.0,218600.0,24.0,3447.9999999999854,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI607|09:31:19.000,20260202,09:31:19.000,09:31:20.000,OI,OI607,45079000,10081,10082,45079000,interval_execution_drop,9236.5,2.2239,5,"OI605,OI603,OI609,OI701,OI611",20,121,289.0,9233.0,9141.384615384615,3.5,3.7893141341417205,95.11538461538476,102.97773465640097,9204.746268656716,31.753731343284016,20.0,20.0,92.86538461538476,39.0,356514.0,39.0,3709.5000000000055,quote_only_recovered_3s,,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI607|09:35:03.000,20260202,09:35:03.000,09:35:04.000,OI,OI607,45303000,10443,10444,45303000,interval_execution_drop,9236.5,2.2239,5,"OI605,OI603,OI609,OI701,OI611",20,150,290.0,9237.0,9130.068181818182,-0.5,-0.5413305905916743,106.43181818181802,115.2295979882185,9176.79365079365,59.70634920634984,20.0,20.0,106.43181818181802,44.0,401723.0,44.0,4682.999999999993,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|09:06:18.000,20260202,09:06:18.000,09:06:19.000,OI,OI609,43578000,7070,7070,43578000,interval_execution_drop,9229.0,0.7413,5,"OI605,OI607,OI603,OI701,OI611",20,117,289.0,9224.0,9058.82142857143,5.0,5.417705060136527,170.17857142857065,184.3954615110745,9097.323529411764,131.67647058823604,20.0,31.1648,166.17857142857065,28.0,253647.0,28.0,4764.999999999978,trade_recovered_3s,,2.0,1.0,
