检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|10:51:23.000,20260224,10:51:23.000,10:51:24.000,TA,TA605,49883000,11483,11484,49883000,interval_execution_drop,5388.0,0.0,5,"TA609,TA604,TA606,TA607,TA603",20,276,290.0,5388.0,5328.0,0.0,0.0,30.0,111.35857461024499,5328.0,30.0,20.0,29.5,30.0,10.0,53280.0,10.0,600.0,quote_only_recovered_3s,,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|14:04:47.000,20260224,14:04:47.000,14:04:48.000,TA,TA605,61487000,20071,20072,61487000,interval_execution_drop,5397.0,0.0,5,"TA609,TA604,TA606,TA607,TA603",20,243,290.0,5398.0,5344.0,-0.5,-1.8528812303131368,26.5,98.20270520659625,5344.0,26.5,20.0,26.5,26.5,5.0,26720.0,5.0,265.0,quote_only_recovered_3s,,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|14:05:17.000,20260224,14:05:17.000,14:05:18.000,TA,TA605,61517000,20127,20128,61517000,interval_execution_drop,5397.0,0.0,4,"TA609,TA604,TA606,TA607",20,236,290.0,5398.0,5344.0,-0.5,-1.8528812303131368,26.5,98.20270520659625,5344.0,26.5,20.0,26.5,26.5,10.0,53440.0,10.0,530.0,quote_only_recovered_3s,,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|14:11:30.000,20260224,14:11:30.000,14:11:31.000,TA,TA605,61890000,20830,20831,61890000,interval_execution_drop,5395.0,0.0,5,"TA609,TA604,TA606,TA607,TA603",20,256,290.0,5394.0,5344.0,0.5,1.8535681186283595,25.5,94.53197405004634,5344.0,25.5,20.0,24.5,25.5,4.0,21376.0,4.0,204.0,quote_only_recovered_3s,,5.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|14:11:36.000,20260224,14:11:36.000,14:11:37.000,TA,TA605,61896000,20842,20843,61896000,interval_execution_drop,5397.0,0.0,5,"TA609,TA604,TA606,TA607,TA603",20,255,290.0,5398.0,5346.0,-0.5,-1.8528812303131368,25.5,94.49694274596997,5346.0,25.5,20.0,24.5,12.5,18.0,96228.0,18.0,918.0,quote_only_recovered_3s,,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|14:12:01.000,20260224,14:12:01.000,14:12:02.000,TA,TA605,61921000,20888,20889,61921000,interval_execution_drop,5395.0,0.0,5,"TA609,TA604,TA606,TA607,TA603",20,252,290.0,5396.0,5346.0,-0.5,-1.8535681186283595,24.5,90.82483781278962,5346.0,24.5,20.0,24.5,24.5,1.0,5346.0,1.0,49.0,quote_only_recovered_3s,,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|14:12:26.000,20260224,14:12:26.000,14:12:27.000,TA,TA605,61946000,20929,20929,61946000,interval_execution_drop,5395.0,0.0,5,"TA609,TA604,TA606,TA607,TA603",20,246,290.0,5396.0,5346.0,-0.5,-1.8535681186283595,24.5,90.82483781278962,5346.0,24.5,20.0,24.5,24.5,2.0,10692.0,2.0,98.0,quote_only_recovered_3s,,7.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|14:14:42.000,20260224,14:14:42.000,14:14:43.000,TA,TA605,62082000,21176,21177,62082000,interval_execution_drop,5395.0,0.0,5,"TA609,TA604,TA606,TA607,TA603",20,234,290.0,5394.0,5346.0,0.5,1.8535681186283595,24.5,90.82483781278962,5346.0,24.5,20.0,24.5,24.5,214.0,1144044.0,214.0,10486.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA609|10:47:24.000,20260224,10:47:24.000,10:47:25.000,TA,TA609,49644000,9173,9173,49644000,interval_execution_drop,5355.0,0.0,5,"TA605,TA604,TA606,TA607,TA603",20,113,289.0,5354.0,5292.0,0.5,1.8674136321195143,31.5,117.6470588235294,5292.0,31.5,20.0,30.5,31.5,51.0,269892.0,51.0,3213.0,quote_only_recovered_3s,,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA609|10:50:41.000,20260224,10:50:41.000,10:50:42.000,TA,TA609,49841000,9451,9452,49841000,interval_execution_drop,5355.0,0.0,5,"TA605,TA604,TA606,TA607,TA603",20,119,290.0,5352.0,5292.0,1.5,5.602240896358543,31.5,117.6470588235294,5292.0,31.5,20.0,31.5,31.5,2.0,10584.0,2.0,126.0,quote_only_recovered_3s,,,1.0,
