交易日,事件编号,日线边界判定,排除原因,规则或数据版本
20260227,CF607|21:06:29.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260227,SR609|21:30:03.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260303,OI607|21:17:21.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260303,OI607|21:17:30.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260306,OI609|21:27:59.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260306,PF604|22:02:07.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260306,PF605|22:01:51.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260306,PF605|22:01:56.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260306,PF605|22:02:08.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,MA605|21:09:06.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,MA605|21:11:10.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,MA605|21:13:10.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,MA606|21:08:16.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,MA606|21:08:50.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,MA606|21:09:04.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,MA606|21:24:31.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,MA607|21:09:04.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,MA607|21:10:49.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,MA607|21:20:07.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,MA701|21:14:37.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,OI605|21:08:44.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,OI609|21:32:33.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PF604|21:19:02.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PF604|21:20:05.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PF604|21:26:42.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PF604|21:30:05.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PF604|21:31:54.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PF604|21:37:42.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PF604|21:54:05.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PF605|21:05:23.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PF605|21:21:12.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PF605|21:23:00.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PF605|21:24:47.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PF605|21:30:13.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PF606|21:34:18.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PR605|21:16:00.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PX605|21:11:02.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PX605|21:14:42.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PX605|21:23:03.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PX605|21:31:08.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PX605|21:32:16.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PX607|21:13:47.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PX609|21:32:16.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,PX609|21:39:21.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
20260309,SH604|21:04:22.000,建议排除,imported_daily_guard_review,daily_guard_review_20260727
