检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记,日线边界判定
aggregated-tick-v1,AUTO_INFERRED_V1,validated,CF607|21:06:29.000,20260227,21:06:29.000,21:06:30.000,CF,CF607,389000,747,748,389000,interval_execution_drop,15348.75,0.37065,4,"CF605,CF609,CF701,CF611",20,115,290.0,15350.0,15083.684210526317,-0.25,-0.8143985666585227,53.01315789473701,172.69535921406307,15162.592592592591,37.23148148148139,20.0,25.5064,53.01315789473701,19.0,286590.0,19.0,5036.250000000016,quote_only_recovered_3s,,4.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SR609|21:30:03.000,20260227,21:30:03.000,21:30:04.000,SR,SR609,1803000,2488,2489,1803000,interval_execution_drop,5320.5,0.7413,5,"SR605,SR607,SR701,SR611,SR603",20,157,290.0,5320.0,5294.747706422018,0.5,0.93976130062964,25.752293577981614,48.402017814080665,5296.74347826087,23.75652173913022,20.0,20.0,25.752293577981614,218.0,1154255.0,218.0,5613.999999999993,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI607|21:17:21.000,20260303,21:17:21.000,21:17:22.000,OI,OI607,1041000,1841,1842,1042000,interval_execution_drop,9536.0,5.1891,5,"OI605,OI609,OI701,OI611,OI603",20,151,290.0,9535.0,9502.0,1.0,1.0486577181208054,34.0,35.65436241610738,9502.0,34.0,20.0,33.2912,14.75,3.0,28506.0,7.0,102.0,quote_only_recovered_3s,,,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI607|21:17:30.000,20260303,21:17:30.000,21:17:31.000,OI,OI607,1050000,1857,1858,1050000,interval_execution_drop,9537.0,4.4478,5,"OI605,OI609,OI701,OI611,OI603",20,156,290.0,9535.0,9502.0,2.0,2.097095522701059,35.0,36.699171647268535,9502.0,35.0,20.0,33.2912,35.0,31.0,294562.0,31.0,1085.0,quote_only_recovered_3s,,,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|21:27:59.000,20260306,21:27:59.000,21:28:00.000,OI,OI609,1679000,2814,2815,1680000,interval_execution_drop,9683.5,3.7065,5,"OI605,OI607,OI701,OI611,OI603",20,102,289.0,9683.0,9660.0,0.5,0.5163422316311251,23.5,24.26808488666288,9660.0,23.5,20.0,20.0,12.25,9.0,86940.0,17.0,211.5,quote_only_recovered_3s,,,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF604|22:02:07.000,20260306,22:02:07.000,22:02:08.000,PF,PF604,3727000,7338,7339,3728000,interval_execution_drop,7860.0,0.0,2,"PF605,PF608",20,230,290.0,7860.0,7764.0,0.0,0.0,48.0,122.13740458015268,7764.0,48.0,20.0,41.3956,48.0,11.0,85404.0,23.0,1056.0,quote_only_recovered_3s,,,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF605|22:01:51.000,20260306,22:01:51.000,22:01:52.000,PF,PF605,3711000,6583,6584,3711000,interval_execution_drop,7844.0,1.4826,3,"PF604,PF608,PF609",20,136,290.0,7844.0,7754.0,0.0,0.0,45.0,114.73737888832228,7754.0,45.0,20.0,41.6108,45.0,22.0,170588.0,22.0,1980.0,quote_only_recovered_3s,,,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF605|22:01:56.000,20260306,22:01:56.000,22:01:57.000,PF,PF605,3716000,6590,6591,3716000,interval_execution_drop,7844.0,1.4826,3,"PF604,PF608,PF609",20,138,290.0,7844.0,7754.0,0.0,0.0,45.0,114.73737888832228,7754.0,45.0,20.0,44.826,45.0,9.0,69786.0,9.0,810.0,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF605|22:02:08.000,20260306,22:02:08.000,22:02:09.000,PF,PF605,3728000,6613,6613,3729000,interval_execution_drop,7844.0,1.4826,2,"PF604,PF608",20,136,290.0,7844.0,7754.0,0.0,0.0,45.0,114.73737888832228,7754.0,45.0,20.0,44.826,45.0,8.0,62032.0,9.0,720.0,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA605|21:09:06.000,20260309,21:09:06.000,21:09:07.000,MA,MA605,546000,1139,1140,546000,interval_execution_drop,2702.5,2.2239,5,"MA609,MA606,MA607,MA604,MA608",20,291,290.0,2698.0,2515.3614363778297,4.5,16.651248843663275,187.1385636221703,692.4646202485487,2584.829989440338,117.67001055966192,42.0824,54.5192,178.6385636221703,1281.0,3222178.0,1281.0,239724.50000000015,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA605|21:11:10.000,20260309,21:11:10.000,21:11:11.000,MA,MA605,670000,1387,1388,670000,interval_execution_drop,2691.0,2.2239,5,"MA609,MA606,MA607,MA604,MA608",20,291,290.0,2689.0,2430.668458781362,2.0,7.432181345224824,260.331541218638,967.4156121093944,2503.898589657488,187.10141034251183,48.0128,91.2504,257.831541218638,1116.0,2712626.0,1116.0,290530.0,trade_recovered_3s,,2.0,1.0,,建议排除
