检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2604|09:19:50.126,20260304,09:19:50.126,09:19:51.126,PG,PG2604,44390126,16702,16702,44390126,"visible_execution_drop,interval_execution_drop",5291.5,2.9652,3,"PG2605,PG2609,PG2608",20,555,289.505,5269.0,5267.7037037037035,22.5,42.521024284229426,23.796296296296532,44.97079523064638,5267.963636363636,23.536363636363603,20.0,20.0,11.421296296296532,27.0,2844560.0,27.0,12850.000000000127,trade_recovered_3s,2.0,3.0,2.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2604|09:20:40.126,20260304,09:20:40.126,09:20:41.126,PG,PG2604,44440126,16802,16802,44440126,interval_execution_drop,5264.5,2.2239,3,"PG2606,PG2609,PG2608",20,542,289.505,5245.0,5241.839285714285,19.5,37.040554658562066,22.660714285714675,43.04438082574732,5243.46875,21.03125,20.0,20.0,11.436224489796587,56.0,5870860.0,56.0,25380.000000000437,trade_recovered_3s,,1.5,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2604|09:33:45.135,20260304,09:33:45.135,09:33:46.135,PG,PG2604,45225135,18372,18372,45225635,"visible_execution_drop,interval_execution_drop",5167.75,4.8184499999999995,2,"PG2609,PG2608",20,525,289.506,5127.0,5131.526315789474,40.75,78.85443374776256,36.22368421052579,70.09565905960194,5129.077283372366,38.672716627634145,32.652,32.652,28.242957746478623,114.0,11699880.0,360.0,82589.9999999988,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2604|14:52:26.834,20260304,14:52:26.834,14:52:27.834,PG,PG2604,64346334,40117,40117,64347834,"visible_execution_drop,interval_execution_drop",5316.5,2.9652,2,"PG2609,PG2608",20,539,289.507,5275.0,5274.8866995073895,41.5,78.05887331891282,41.613300492610506,78.27198437432617,5275.345609065156,41.15439093484383,20.0,20.0,26.657437958917853,203.0,21416040.0,541.0,168949.99999999866,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2604|14:52:47.834,20260304,14:52:47.834,14:52:48.834,PG,PG2604,64367334,40159,40159,64367834,"visible_execution_drop,interval_execution_drop",5303.5,8.1543,2,"PG2609,PG2608",20,518,289.507,5256.0,5258.515625,47.5,89.5634958046573,44.984375,84.82016592816066,5257.539534883721,45.96046511627901,20.0,20.0,12.5,64.0,6730900.0,243.0,57580.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2605|09:28:10.629,20260304,09:28:10.629,09:28:11.629,PG,PG2605,44890629,14628,14628,44890629,interval_execution_drop,5058.5,4.4478,3,"PG2607,PG2609,PG2608",20,419,289.501,5028.0,5028.5,30.5,60.294553721458925,30.0,59.306118414549765,5023.735294117647,34.764705882353155,31.151999999999997,27.78609729729234,24.0,6.0,603420.0,6.0,3600.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2605|09:33:45.135,20260304,09:33:45.135,09:33:46.135,PG,PG2605,45225135,15297,15297,45225635,"visible_execution_drop,interval_execution_drop",5051.5,4.4478,2,"PG2609,PG2608",20,440,289.506,5010.0,5014.0,41.5,82.15381569830744,37.5,74.2353756310007,5012.089552238806,39.41044776119361,24.2216,24.647041739127292,29.625,24.0,2406720.0,91.0,18000.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2605|14:52:26.834,20260304,14:52:26.834,14:52:27.834,PG,PG2605,64346334,36063,36063,64350334,"visible_execution_drop,interval_execution_drop",5198.0,5.9304,3,"PG2604,PG2609,PG2608",20,260,289.007,5162.0,5165.901408450704,36.0,69.25740669488265,32.098591549295634,61.75181136840253,5167.084033613445,30.915966386554828,20.0,20.0,25.85096153846189,71.0,7335580.0,218.0,45579.999999999796,quote_only_recovered_3s,2.0,4.0,2.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2605|14:52:46.334,20260304,14:52:46.334,14:52:47.334,PG,PG2605,64366334,36102,36102,64368334,"visible_execution_drop,interval_execution_drop",5193.0,9.636899999999999,2,"PG2609,PG2608",20,260,289.507,5151.0,5150.045454545454,42.0,80.87810514153668,42.95454545454595,82.71624389475438,5148.461538461538,44.53846153846189,20.0,20.0,26.02121212121301,22.0,2266020.0,95.0,18900.00000000022,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2606|21:12:05.321,20260304,21:12:05.321,21:12:06.321,PG,PG2606,725321,1346,1346,725321,"visible_execution_drop,interval_execution_drop",5114.5,9.636899999999999,2,"PG2604,PG2609",20,221,289.518,5086.0,5086.333333333334,28.5,55.72392218203148,28.16666666666606,55.07218040212349,5084.7,29.800000000000182,20.0,20.0,17.75,6.0,610360.0,6.0,3379.9999999999272,persistent_10s,,,,
