检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|22:41:23.000,20260304,22:41:23.000,22:41:24.000,AG,AG2604,6083000,12165,12165,6083000,interval_execution_drop,20865.0,0.7413,5,"AG2606,AG2608,AG2605,AG2612,AG2610",20,558,290.0,20868.0,20821.22043010753,-3.0,-1.4378145219266716,43.779569892471045,20.98230045169952,20824.632034632035,40.36796536796464,38.0128,32.81812631577876,43.779569892471045,186.0,58091205.0,186.0,122144.9999999942,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|22:44:17.500,20260304,22:44:17.500,,AG,AG2605,6257500,12484,12484,6257500,visible_execution_drop,20456.25,4.633125,4,"AG2606,AG2608,AG2612,AG2610",20,468,290.0,20401.0,20429.6,55.25,27.008860372746717,26.650000000001455,13.027803238619716,,,46.4432,43.73963529412145,54.269736842104976,35.0,10725540.0,35.0,13991.250000000764,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|01:13:57.000,20260304,01:13:57.000,,AG,AG2605,15237000,30337,30337,15237000,visible_execution_drop,21158.0,3.7065,5,"AG2604,AG2606,AG2608,AG2612,AG2610",20,252,290.0,21100.0,21123.5625,58.0,27.4127989412988,34.4375,16.27634937139616,,,56.0888,50.53050000000719,55.5,16.0,5069655.0,16.0,8265.0,trade_recovered_3s,1.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|11:27:16.500,20260304,11:27:16.500,,AG,AG2606,52036500,55403,55403,52036500,visible_execution_drop,21373.25,4.262474999999999,4,"AG2604,AG2605,AG2612,AG2610",20,419,290.0,21350.0,21362.0,23.25,10.878083585790648,11.25,5.263588831834185,,,22.2216,20.0,22.399999999999636,21.0,6729030.0,21.0,3543.75,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|14:29:00.500,20260304,14:29:00.500,,AG,AG2606,62940500,62792,62792,62940500,visible_execution_drop,21365.5,2.59455,4,"AG2604,AG2608,AG2605,AG2612",20,517,290.0,21341.0,21349.513513513513,24.5,11.467084786220775,15.986486486486683,7.482383509155734,,,21.7216,24.0317333333465,19.25,37.0,11848980.0,37.0,8872.50000000011,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2609|22:08:35.000,20260304,22:08:35.000,,AG,AG2609,4115000,8154,8154,4115000,visible_execution_drop,21011.0,1.4826,5,"AG2604,AG2606,AG2608,AG2605,AG2612",20,112,290.0,20978.0,20978.0,33.0,15.70605873114083,33.0,15.70605873114083,,,32.5824,38.5128,31.5,1.0,314670.0,1.0,495.0,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2610|22:47:58.000,20260304,22:47:58.000,,AG,AG2610,6478000,12903,12903,6478000,visible_execution_drop,20324.0,0.7413,5,"AG2604,AG2606,AG2608,AG2605,AG2612",20,290,290.0,20240.0,20282.0,84.0,41.33044676244833,42.0,20.66522338122417,,,67.842,69.44959999999999,69.5,23.0,6997290.0,23.0,14490.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2612|21:08:48.000,20260304,21:08:48.000,,AG,AG2612,528000,1056,1056,528000,visible_execution_drop,20482.5,4.4478,5,"AG2604,AG2606,AG2608,AG2605,AG2610",20,268,290.0,20390.0,20409.25,92.5,45.16050286830221,73.25,35.76223605516905,,,82.0778,81.90280000000072,72.66666666666606,12.0,3673665.0,12.0,13185.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP605|09:03:13.000,20260304,09:03:13.000,09:03:14.000,AP,AP605,43393000,387,388,43393000,interval_execution_drop,10252.5,1.85325,5,"AP610,AP611,AP701,AP604,AP612",20,107,243.0,10230.0,10174.029411764706,22.5,21.94586686174104,78.47058823529369,76.53800364330036,10199.007692307692,53.49230769230781,82.3736,20.0,57.47058823529369,102.0,1037751.0,102.0,8003.999999999956,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP605|09:03:18.000,20260304,09:03:18.000,09:03:19.000,AP,AP605,43398000,397,398,43398000,interval_execution_drop,10253.5,2.59455,4,"AP610,AP611,AP701,AP604",20,112,248.0,10235.0,10182.49557522124,18.5,18.042619593309603,71.00442477876095,69.2489635527,10200.507352941177,52.99264705882342,84.65129999999999,20.0,49.50442477876095,113.0,1150622.0,113.0,8023.499999999987,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP605|14:04:32.000,20260304,14:04:32.000,14:04:33.000,AP,AP605,61472000,18085,18086,61472000,interval_execution_drop,10392.0,1.4826,4,"AP610,AP611,AP701,AP604",20,158,290.0,10417.0,10280.0,-25.0,-24.05696689761355,112.0,107.77521170130868,10280.0,112.0,27.4558,109.3608,9.5,312.0,3207360.0,312.0,34944.0,quote_only_recovered_3s,,4.0,1.0,
