检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:18:14.500,20260305,14:18:14.500,,SC,SC2604,62294500,59867,59867,62294500,visible_execution_drop,716.05,5.189099999998651,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,507,290.0,711.3,711.3,47.5,66.33614971021576,47.5,66.33614971021576,,,43.943200000010556,43.94319999999707,47.5,2.0,1422600.0,2.0,9500.0,trade_recovered_10s,9.0,,8.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:19:14.000,20260305,14:19:14.000,,SC,SC2604,62354000,59984,59984,62354000,visible_execution_drop,717.3499999999999,4.447800000001011,4,"SC2605,SC2606,SC2607,SC2609",20,459,290.0,711.3,711.3,60.499999999999545,84.33818916846666,60.499999999999545,84.33818916846666,,,40.01280000002989,40.01280000001527,60.499999999999545,1.0,711300.0,1.0,6049.9999999999545,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:19:59.500,20260305,14:19:59.500,,SC,SC2604,62399500,60063,60063,62399500,visible_execution_drop,720.75,8.895600000000336,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,388,290.0,711.3,711.3,94.50000000000045,131.11342351717025,94.50000000000045,131.11342351717025,,,49.658400000002025,47.399200000001194,94.50000000000045,2.0,1422600.0,2.0,18900.00000000009,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:20:06.000,20260305,14:20:06.000,,SC,SC2604,62406000,60072,60072,62406000,visible_execution_drop,720.05,5.189099999998651,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,375,290.0,711.3,711.3,87.5,121.51933893479621,87.5,121.51933893479621,,,46.94320000001124,46.943199999983136,87.5,1.0,711300.0,1.0,8750.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:20:10.500,20260305,14:20:10.500,,SC,SC2604,62410500,60079,60079,62410500,visible_execution_drop,719.6,5.930399999999662,3,"SC2606,SC2607,SC2609",20,367,290.0,711.3,711.3,83.00000000000068,115.34185658699371,83.00000000000068,115.34185658699371,,,46.943200000012375,45.93016470586641,83.00000000000068,1.0,711300.0,1.0,8300.00000000007,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:20:15.500,20260305,14:20:15.500,,SC,SC2604,62415500,60087,60087,62415500,visible_execution_drop,718.9,2.965200000000674,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,358,290.0,711.3,711.3,76.00000000000023,105.71706774238451,76.00000000000023,105.71706774238451,,,47.44320000000347,46.44579076922101,76.00000000000023,1.0,711300.0,1.0,7600.000000000023,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:20:19.500,20260305,14:20:19.500,,SC,SC2604,62419500,60091,60091,62419500,visible_execution_drop,718.6000000000001,8.154299999995954,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,351,290.0,711.3,711.3,73.00000000000182,101.5864180350707,73.00000000000182,101.5864180350707,,,47.443200000025406,47.025476923080305,73.00000000000182,1.0,711300.0,1.0,7300.000000000182,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:20:36.500,20260305,14:20:36.500,,SC,SC2604,62436500,60110,60110,62436500,visible_execution_drop,717.1000000000001,9.63689999999629,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,327,290.0,711.3,711.3,58.00000000000182,80.88132756937918,58.00000000000182,80.88132756937918,,,54.3736000000191,47.94320000001033,58.00000000000182,1.0,711300.0,1.0,5800.000000000182,trade_recovered_3s,2.0,,2.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:21:06.000,20260305,14:21:06.000,,SC,SC2604,62466000,60138,60138,62466000,visible_execution_drop,719.3,8.15430000000101,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,275,290.0,711.3,711.3,80.0,111.21924092868068,80.0,111.21924092868068,,,66.73440000000787,67.54318297874183,80.0,6.0,4267800.0,6.0,48000.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:37:46.000,20260305,14:37:46.000,,SC,SC2604,63466000,61765,61765,63466000,visible_execution_drop,715.5500000000001,2.9651999999989886,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,385,290.0,711.3,711.3,42.50000000000114,59.39487107819319,42.50000000000114,59.39487107819319,,,34.58239999996627,29.738080000012268,42.50000000000114,1.0,711300.0,1.0,4250.000000000114,quote_only_recovered_3s,,,2.0,
