检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BU2607|14:55:15.500,20260305,14:55:15.500,,BU,BU2607,64515500,39886,39886,64515500,visible_execution_drop,3645.5,1.85325,4,"BU2604,BU2606,BU2605,BU2603",20,148,290.0,3621.0,3626.638297872341,24.5,67.2061445617885,18.861702127659555,51.73968489277069,,,20.0,20.0,13.99122807017534,47.0,1704520.0,47.0,8864.99999999999,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2606|10:37:51.179,20260305,10:37:51.179,10:37:52.179,EB,EB2606,49071179,22768,22768,49071179,interval_execution_drop,8530.75,4.07715,3,"EB2607,EB2608,EB2609",20,241,289.004,8501.0,8381.484184914842,29.75,34.873838759780796,149.2658150851585,174.97384765133015,8385.11724137931,145.63275862068986,77.7582,75.68603999999064,117.07831508515848,411.0,17223950.0,411.0,306741.25000000064,trade_recovered_3s,,2.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2606|10:37:57.179,20260305,10:37:57.179,10:37:58.179,EB,EB2606,49077179,22779,22779,49077179,interval_execution_drop,8531.0,4.4478,3,"EB2607,EB2608,EB2609",20,245,289.504,8502.0,8393.0,29.0,33.99367014418005,138.0,161.76298206540852,8445.615384615385,85.38461538461524,82.45599999999999,78.9650285714201,110.02777777777828,10.0,419650.0,10.0,6900.0,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2606|10:38:14.679,20260305,10:38:14.679,10:38:15.679,EB,EB2606,49094679,22811,22811,49094679,interval_execution_drop,8544.125,9.822225,2,"EB2608,EB2609",20,238,289.504,8510.0,8413.5,34.125,39.93972466460872,130.625,152.88282884438138,8433.0,111.125,97.7994,99.66184761904664,103.625,24.0,1009620.0,24.0,15675.0,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2606|11:17:17.221,20260305,11:17:17.221,11:17:18.221,EB,EB2606,51437221,25557,25557,51437221,interval_execution_drop,8433.5,1.4826,3,"EB2605,EB2607,EB2608",20,136,289.0,8434.0,8399.0,-0.5,-0.5928736586233474,34.5,40.90828244501097,8400.26923076923,33.23076923076951,23.4716,29.342202985070923,34.375,50.0,2099750.0,50.0,8625.0,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FU2604|21:07:47.000,20260305,21:07:47.000,,FU,FU2604,467000,931,931,467000,visible_execution_drop,3657.75,1.4826,4,"FU2605,FU2609,FU2607,FU2608",20,420,290.0,3633.0,3643.363636363636,24.75,67.66454787779372,14.386363636363969,39.33118347717577,,,24.2216,24.2216,22.333333333333485,11.0,400770.0,11.0,1582.5000000000364,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FU2605|14:01:12.000,20260305,14:01:12.000,14:01:13.000,FU,FU2605,61272000,34348,34348,61272000,"visible_execution_drop,interval_execution_drop",4155.5,0.7413,5,"FU2606,FU2609,FU2607,FU2604,FU2608",20,581,290.0,4122.0,4126.185528756958,33.5,80.61605101672482,29.314471243042135,70.54378833604171,4124.773010920437,30.72698907956328,20.0,20.0,12.438697318007598,539.0,22240140.0,539.0,158004.99999999712,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FU2606|09:30:16.500,20260305,09:30:16.500,,FU,FU2606,45016500,18020,18020,45016500,visible_execution_drop,3750.5,1.4826,3,"FU2609,FU2607,FU2608",20,486,290.0,3730.0,3731.096774193548,20.5,54.659378749500064,19.4032258064517,51.73503747887402,,,20.0,20.0,17.383333333333212,31.0,1156640.0,31.0,6015.000000000027,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FU2606|14:01:22.000,20260305,14:01:22.000,14:01:23.000,FU,FU2606,61281000,34284,34284,61282000,"visible_execution_drop,interval_execution_drop",3821.0,8.8956,3,"FU2605,FU2609,FU2608",20,476,290.0,3791.0,3792.0,30.0,78.51347814708191,29.0,75.89636220884586,3791.015384615384,29.98461538461561,20.0,20.0,11.576923076923094,10.0,379200.0,49.0,2900.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FU2606|14:50:07.000,20260305,14:50:07.000,14:50:08.000,FU,FU2606,64206500,40107,40107,64207000,"visible_execution_drop,interval_execution_drop",3751.5,8.1543,4,"FU2605,FU2609,FU2607,FU2608",20,402,290.0,3720.0,3722.575,31.5,83.96641343462616,28.925000000000185,77.10249233639925,3721.8125,29.6875,24.2216,26.43016275862119,27.083333333333485,40.0,1489030.0,94.0,11570.000000000073,trade_recovered_10s,3.5,4.5,5.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FU2606|14:50:12.500,20260305,14:50:12.500,14:50:13.500,FU,FU2606,64212500,40118,40118,64213500,"visible_execution_drop,interval_execution_drop",3756.0,4.4478,3,"FU2605,FU2609,FU2608",20,398,290.0,3730.0,3728.727272727273,26.0,69.22257720979766,27.272727272727025,72.61109497531157,3728.175675675676,27.824324324324152,24.2216,26.083521985817608,27.272727272727025,11.0,410160.0,74.0,2999.9999999999727,trade_recovered_10s,4.0,5.0,4.0,
