检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2605|09:40:52.852,20260306,09:40:52.852,09:40:53.852,EB,EB2605,45652852,19033,19033,45652852,interval_execution_drop,8856.5,4.4478,2,"EB2606,EB2609",20,527,289.534,8855.0,8814.934725848563,1.5,1.6936713148534976,41.565274151436824,46.9319416828734,8822.680084745762,33.81991525423837,22.2216,20.52720000000308,40.815274151436824,383.0,16880600.0,383.0,79597.50000000151,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2605|09:41:04.361,20260306,09:41:04.361,09:41:05.361,EB,EB2605,45664361,19056,19056,45667861,interval_execution_drop,8860.75,7.78365,4,"EB2606,EB2607,EB2609,EB2608",20,524,289.53,8861.0,8824.323529411766,-0.25,-0.2821431594390994,36.426470588234224,41.10991799591933,8831.856152512999,28.89384748700104,22.2216,20.357978947373965,36.426470588234224,34.0,1500135.0,1119.0,6192.499999999818,trade_recovered_3s,,2.0,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2605|09:41:53.365,20260306,09:41:53.365,09:41:54.365,EB,EB2605,45713365,19154,19154,45715865,interval_execution_drop,8856.0,1.4826,3,"EB2606,EB2607,EB2608",20,538,289.543,8859.0,8809.980392156864,-3.0,-3.3875338753387534,46.01960784313633,51.96432683280977,8813.864864864865,42.13513513513499,21.7216,22.663285178237608,46.01960784313633,102.0,4493090.0,218.0,23469.999999999527,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2605|09:42:05.365,20260306,09:42:05.365,09:42:06.365,EB,EB2605,45725365,19178,19178,45725365,interval_execution_drop,8856.75,5.559749999999999,4,"EB2606,EB2607,EB2609,EB2608",20,538,289.54,8857.0,8812.5,-0.25,-0.2822705845823807,44.25,49.96189347108138,8831.083333333332,25.66666666666788,21.7216,22.891470581586937,44.0,54.0,2379375.0,54.0,11947.5,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2605|10:32:34.474,20260306,10:32:34.474,10:32:35.474,EB,EB2605,48754474,23083,23083,48754474,interval_execution_drop,8859.0,1.8532499999999998,4,"EB2606,EB2607,EB2609,EB2608",20,136,144.016,8858.0,8811.23076923077,1.0,1.1287955751213454,47.76923076923049,53.921696319257805,8816.423948220065,42.57605177993537,29.2042,32.391952000020936,47.76923076923049,273.0,12027330.0,273.0,65204.99999999962,trade_recovered_3s,,2.502,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2605|10:32:41.976,20260306,10:32:41.976,10:32:42.976,EB,EB2605,48761976,23098,23098,48761976,interval_execution_drop,8860.75,7.04235,2,"EB2606,EB2607",20,150,151.516,8857.0,8811.958333333332,3.75,4.232147391586491,48.79166666666788,55.06493995053227,8821.295081967213,39.454918032786736,30.436799999999998,34.20214716979639,46.04166666666788,48.0,2114870.0,48.0,11710.000000000291,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2605|10:32:55.476,20260306,10:32:55.476,10:32:56.476,EB,EB2605,48775476,23125,23125,48775476,interval_execution_drop,8859.0,2.2239,3,"EB2606,EB2607,EB2609",20,176,165.018,8860.0,8810.146067415732,-1.0,-1.1287955751213454,48.85393258426848,55.146102928398776,8814.642857142857,44.35714285714312,29.508,33.402,48.85393258426848,89.0,3920515.0,89.0,21739.999999999472,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2605|10:34:02.981,20260306,10:34:02.981,10:34:03.981,EB,EB2605,48842981,23258,23258,48842981,interval_execution_drop,8864.25,1.11195,2,"EB2606,EB2607",20,295,232.518,8862.0,8816.510204081633,2.25,2.5382858109823165,47.739795918367236,53.856554043903586,8823.620689655172,40.6293103448279,31.151999999999997,34.6172,45.739795918367236,49.0,2160045.0,49.0,11696.249999999973,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2605|10:35:04.981,20260306,10:35:04.981,10:35:05.981,EB,EB2605,48904981,23373,23373,48904981,interval_execution_drop,8857.75,1.4826,4,"EB2606,EB2607,EB2609,EB2608",20,381,289.521,8857.0,8814.272727272728,0.75,0.8467161525218029,43.477272727272066,49.08387878103589,8825.488888888889,32.26111111111095,28.186799999999998,28.686799999999998,41.727272727272066,33.0,1454355.0,33.0,7173.749999999891,trade_recovered_3s,,2.0,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2605|10:35:26.983,20260306,10:35:26.983,10:35:27.983,EB,EB2605,48926983,23415,23415,48926983,interval_execution_drop,8855.5,1.4826,2,"EB2606,EB2607",20,412,289.523,8853.0,8817.125,2.5,2.8231042854723056,38.375,43.33465078199989,8827.44117647059,28.0588235294108,25.2216,25.90672727273266,36.125,24.0,1058055.0,24.0,4605.0,trade_recovered_3s,,1.5,0.5,
