检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,M2607|09:12:27.944,20260309,09:12:27.944,09:12:28.944,M,M2607,43947944,12582,12582,43947944,interval_execution_drop,2996.0,0.37065,4,"M2609,M2701,M2611,M2608",20,482,290.0,2993.0,2955.967741935484,3.0,10.013351134846463,40.0322580645161,133.61901890692957,2961.972972972973,34.02702702702709,25.4716,28.64976464646588,36.7822580645161,31.0,916350.0,31.0,12409.99999999999,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,M2607|09:22:55.955,20260309,09:22:55.955,09:22:56.955,M,M2607,44575955,13690,13690,44576455,interval_execution_drop,3009.25,0.7413,4,"M2609,M2701,M2611,M2608",20,271,289.505,3008.0,2978.2400000000002,1.25,4.153858934950569,31.009999999999764,103.04893245825293,2977.8245614035086,31.425438596491404,20.4162,28.8292,27.62999999999988,25.0,744560.0,33.0,7752.499999999941,trade_recovered_3s,,2.0,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,M2607|09:23:04.957,20260309,09:23:04.957,09:23:05.957,M,M2607,44584957,13707,13707,44584957,interval_execution_drop,3008.75,0.7413,4,"M2609,M2701,M2611,M2608",20,268,289.505,3006.0,2980.090909090909,2.75,9.140008309098462,28.65909090909099,95.25248328738178,2980.695652173913,28.054347826086996,20.2912,27.2216,28.65909090909099,11.0,327810.0,11.0,3152.500000000009,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,M2609|09:11:51.944,20260309,09:11:51.944,09:11:52.944,M,M2609,43911944,14091,14091,43911944,interval_execution_drop,3150.5,0.7413,4,"M2607,M2701,M2611,M2608",20,575,290.0,3150.0,3119.979166666667,0.5,1.5870496746548166,30.52083333333303,96.87615722372014,3130.3297872340427,20.17021276595733,20.0,20.0,30.38178838951285,48.0,1497590.0,48.0,14649.999999999854,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,M2609|09:13:01.944,20260309,09:13:01.944,09:13:02.944,M,M2609,43981944,14231,14231,43981944,interval_execution_drop,3137.25,0.37065,4,"M2607,M2701,M2611,M2608",20,577,290.0,3138.0,3105.2,-0.75,-2.390628735357399,32.05000000000018,102.15953462427343,3115.8470588235296,21.40294117647045,20.0,20.0,31.175000000000182,35.0,1086820.0,35.0,11217.500000000064,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,M2609|09:13:14.444,20260309,09:13:14.444,09:13:15.444,M,M2609,43994444,14256,14256,43994444,interval_execution_drop,3133.5,1.11195,4,"M2607,M2701,M2611,M2608",20,577,290.0,3134.0,3110.289473684211,-0.5,-1.5956598053295037,23.21052631578914,74.07220780529484,3111.7664233576643,21.73357664233572,20.0,20.0,13.463510400669747,38.0,1181910.0,38.0,8819.999999999873,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,M2609|09:13:23.444,20260309,09:13:23.444,09:13:24.444,M,M2609,44003444,14274,14274,44003444,interval_execution_drop,3134.25,0.37065,4,"M2607,M2701,M2611,M2608",20,577,290.0,3134.0,3103.3492822966505,0.25,0.7976389885937624,30.900717703349528,98.59046886288435,3105.5244444444443,28.72555555555573,20.0,20.0,30.730302478435988,209.0,6486000.0,209.0,64582.50000000051,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,M2609|09:15:10.950,20260309,09:15:10.950,09:15:11.950,M,M2609,44110950,14489,14489,44110950,interval_execution_drop,3129.5,1.11195,4,"M2607,M2701,M2611,M2608",20,575,289.506,3130.0,3099.0619469026547,-0.5,-1.5976993129892954,30.438053097345346,97.26171304472071,3100.752,28.748000000000047,20.0,20.0,29.938053097345346,113.0,3501940.0,113.0,34395.00000000024,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,M2609|09:15:20.950,20260309,09:15:20.950,09:15:21.950,M,M2609,44120950,14509,14509,44120950,interval_execution_drop,3129.5,1.4826,4,"M2607,M2701,M2611,M2608",20,574,289.506,3130.0,3105.0095238095237,-0.5,-1.5976993129892954,24.49047619047633,78.25683396860946,3107.9358490566037,21.56415094339627,20.0,20.0,24.100476190476456,105.0,3260260.0,105.0,25715.000000000146,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,M2609|09:16:31.950,20260309,09:16:31.950,09:16:32.950,M,M2609,44189950,14651,14651,44191950,interval_execution_drop,3137.5,0.0,4,"M2607,M2701,M2611,M2608",20,570,289.506,3137.0,3106.5882352941176,0.5,1.5936254980079683,30.911764705882433,98.52355284743405,3116.229166666667,21.27083333333303,20.0,20.0,29.326398852223974,17.0,528120.0,90.0,5255.000000000014,trade_recovered_3s,,1.5,0.5,
