检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:11:02.000,20260309,21:11:02.000,21:11:03.000,PX,PX605,662000,1325,1326,662000,interval_execution_drop,9417.5,1.4826,4,"PX609,PX606,PX607,PX608",20,139,290.0,9428.0,8272.959537572255,-5.25,-11.149455800371648,572.2702312138726,1215.3336473881022,8442.030303030304,487.73484848484804,60.8388,100.15559999999999,572.2702312138726,173.0,1431222.0,173.0,198005.49999999994,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:12:19.000,20260309,21:12:19.000,21:12:20.000,PX,PX605,739000,1478,1479,739000,interval_execution_drop,9430.0,8.8956,5,"PX609,PX606,PX607,PX604,PX608",20,171,290.0,9444.0,8913.358166189111,-7.0,-14.846235418875928,258.3209169054444,547.870449428302,9061.558558558558,184.22072072072115,79.59519999999999,138.6336,258.3209169054444,349.0,3110762.0,349.0,180308.00000000017,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:14:42.000,20260309,21:14:42.000,21:14:43.000,PX,PX605,882000,1763,1764,882000,interval_execution_drop,9359.5,5.1891,4,"PX609,PX606,PX604,PX608",20,202,290.0,9354.0,8421.58371040724,2.75,5.876382285378493,468.9581447963801,1002.10084896924,8969.653012048193,194.9234939759035,41.4432,20.0,465.9581447963801,221.0,1861170.0,221.0,207279.5,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:23:03.000,20260309,21:23:03.000,21:23:04.000,PX,PX605,1383000,2761,2762,1383000,interval_execution_drop,9304.0,2.2239,5,"PX609,PX606,PX607,PX604,PX608",20,275,290.0,9320.0,8287.32824427481,-8.0,-17.196904557179707,508.3358778625952,1092.7254468241513,8544.060790273556,379.96960486322223,38.5128,60.8296,508.3358778625952,262.0,2171280.0,262.0,266367.9999999999,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:26:58.000,20260309,21:26:58.000,21:26:59.000,PX,PX605,1618000,3227,3228,1618000,interval_execution_drop,9388.5,1.11195,4,"PX609,PX607,PX604,PX608",20,277,290.0,9402.0,8947.278317152104,-6.75,-14.379293816903658,220.61084142394793,469.95971970804266,8962.034700315457,213.2326498422717,20.0,20.0,220.61084142394793,618.0,5529418.0,618.0,272674.99999999965,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:31:08.000,20260309,21:31:08.000,21:31:09.000,PX,PX605,1868000,3717,3718,1868000,interval_execution_drop,9388.0,3.7064999999999997,5,"PX609,PX606,PX607,PX604,PX608",20,285,290.0,9388.0,8645.336363636363,0.0,0.0,371.33181818181856,791.0775845373212,9007.139037433155,190.43048128342252,29.151999999999997,45.6776,367.33181818181856,440.0,3803948.0,440.0,326772.00000000035,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:31:30.000,20260309,21:31:30.000,21:31:31.000,PX,PX605,1890000,3761,3762,1890000,interval_execution_drop,9355.0,4.4478,5,"PX609,PX606,PX607,PX604,PX608",20,285,290.0,9348.0,9021.397435897436,3.5,7.482629609834314,166.80128205128221,356.6034891529283,9046.397076735688,154.30146163215613,29.651999999999997,34.3168,161.30128205128221,780.0,7036690.0,780.0,260210.00000000026,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:32:16.000,20260309,21:32:16.000,21:32:17.000,PX,PX605,1936000,3853,3854,1936000,interval_execution_drop,9261.0,5.559749999999999,4,"PX609,PX606,PX607,PX608",20,286,290.0,9238.0,8775.749077490775,11.5,24.835330957779938,242.62546125461267,523.9724894819408,9024.313725490196,118.3431372549021,27.936799999999998,34.3168,239.12546125461267,542.0,4756456.0,542.0,263006.0000000001,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX607|21:13:47.000,20260309,21:13:47.000,21:13:48.000,PX,PX607,827000,946,947,827000,interval_execution_drop,9151.0,6.6716999999999995,5,"PX605,PX609,PX606,PX604,PX608",20,100,288.0,9158.0,8037.2,-3.5,-7.649437219975958,556.9000000000001,1217.1347393727463,8159.454545454545,495.7727272727275,63.303999999999995,105.988,556.9000000000001,10.0,80372.0,10.0,11138.000000000002,quote_only_recovered_3s,,5.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|21:32:16.000,20260309,21:32:16.000,21:32:17.000,PX,PX609,1936000,2977,2978,1936000,interval_execution_drop,8789.0,8.8956,3,"PX606,PX607,PX608",20,114,290.0,8800.0,8385.291666666666,-5.5,-12.51564455569462,201.85416666666697,459.333636742899,8555.641791044776,116.67910447761187,35.565,113.25999999999999,201.85416666666697,48.0,402494.0,48.0,19378.00000000003,truncated,,,,
