检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|00:47:45.000,20260310,00:47:45.000,00:47:46.000,AG,AG2604,13665000,25749,25749,13665000,"visible_execution_drop,interval_execution_drop",21941.5,2.2239,5,"AG2606,AG2608,AG2605,AG2610,AG2612",20,140,288.0,21884.0,21907.402777777777,57.5,26.20604790009799,34.097222222222626,15.540059805493074,21912.745901639344,28.754098360655917,22.2216,22.2216,57.5,72.0,23659995.0,72.0,36825.00000000044,quote_only_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|09:13:33.500,20260310,09:13:33.500,,AG,AG2605,44013500,38359,38359,44013500,visible_execution_drop,22454.0,3.7065,5,"AG2606,AG2604,AG2608,AG2610,AG2612",20,318,290.0,22413.0,22434.0,41.0,18.259552863632315,20.0,8.907098957869422,,,36.0824,37.26848000000431,35.75,10.0,3365100.0,10.0,3000.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|21:57:23.500,20260310,21:57:23.500,,AG,AG2606,3443500,6886,6886,3443500,visible_execution_drop,21486.0,2.2239,5,"AG2604,AG2608,AG2605,AG2610,AG2612",20,565,290.0,21438.0,21460.434146341464,48.0,22.34012845573862,25.56585365853607,11.898842808589812,,,31.651999999999997,28.432640000003698,46.25,205.0,65990835.0,205.0,78614.99999999841,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|01:10:58.000,20260310,01:10:58.000,,AG,AG2606,15058000,30006,30006,15058000,visible_execution_drop,21741.0,1.4826,5,"AG2604,AG2608,AG2605,AG2610,AG2612",20,446,289.5,21720.0,21721.727272727276,21.0,9.659169311439216,19.272727272724296,8.86469218192553,,,20.0,20.0,13.617647058823422,44.0,14336340.0,44.0,12719.999999998035,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|01:14:12.500,20260310,01:14:12.500,,AG,AG2606,15252500,30392,30392,15252500,visible_execution_drop,21713.75,3.33585,4,"AG2604,AG2608,AG2610,AG2612",20,435,290.0,21690.0,21703.571428571428,23.75,10.93776984629555,10.178571428572468,4.687615648412857,,,20.0,20.13423999999137,15.924999999999272,14.0,4557750.0,14.0,2137.5000000002183,trade_recovered_3s,0.5,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|02:29:57.500,20260310,02:29:57.500,,AG,AG2606,19797500,39400,39400,19797500,visible_execution_drop,21760.25,1.85325,2,"AG2608,AG2612",20,392,290.0,21731.0,21737.0,29.25,13.441941154168724,23.25,10.684619891775142,,,28.9107,25.98426666667325,24.75,12.0,3912660.0,12.0,4185.0,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|02:16:18.500,20260310,02:16:18.500,,AG,AG2608,18978500,37128,37128,18978500,visible_execution_drop,21646.0,2.9652,5,"AG2606,AG2604,AG2605,AG2610,AG2612",20,147,290.0,21600.0,21626.966666666667,46.0,21.251039453016723,19.03333333333285,8.793002556284232,,,23.2216,23.2216,46.0,30.0,9732135.0,30.0,8564.999999999782,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2604|09:07:15.500,20260310,09:07:15.500,,AU,AU2604,43635500,38811,38811,43635500,visible_execution_drop,1148.35,2.9652000000310132,5,"AU2606,AU2608,AU2610,AU2612,AU2702",20,512,290.0,1147.5,1147.9535483870968,42.50000000000682,7.401924500371283,19.822580645166,3.4523587138356766,,,32.61719999983549,28.70875000000001,39.62500000000091,31.0,35586560.0,31.0,12290.00000000292,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2606|21:54:15.000,20260310,21:54:15.000,,AU,AU2606,3255000,6463,6463,3255000,visible_execution_drop,1139.4199999999998,8.524950000000674,4,"AU2604,AU2608,AU2610,AU2612",20,323,290.0,1138.52,1138.7813333333334,44.99999999999318,7.898755507186672,31.933333333324754,5.605190945099219,,,40.01279999995224,39.41976000011247,42.87500000000364,15.0,17081720.0,15.0,9579.999999997426,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2606|22:18:54.500,20260310,22:18:54.500,,AU,AU2606,4734500,9413,9413,4734500,visible_execution_drop,1140.12,5.189100000020563,4,"AU2604,AU2608,AU2610,AU2702",20,297,290.0,1139.3,1139.746666666667,40.99999999999682,7.192225379784026,18.666666666661055,3.274509115998502,,,36.58239999995536,33.36719999989655,38.125000000002274,21.0,23934680.0,21.0,7839.999999997644,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2604|21:31:41.756,20260310,21:31:41.756,21:31:42.756,EB,EB2604,1901256,3804,3804,1901756,"visible_execution_drop,interval_execution_drop",10118.5,6.6716999999999995,3,"EB2605,EB2609,EB2608",20,342,290.0,10053.0,10051.560209424084,65.5,64.73291495775067,66.93979057591605,66.15584382657117,10049.273607748184,69.22639225181592,57.3388,58.21485186801691,34.75154356396433,191.0,9599240.0,297.0,63927.499999999825,trade_recovered_3s,1.5,2.5,1.5,
