检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2604|09:17:02.060,20260313,09:17:02.060,09:17:03.060,EB,EB2604,44222060,16233,16233,44222060,"visible_execution_drop,interval_execution_drop",10036.0,1.4826,3,"EB2607,EB2609,EB2608",20,510,289.504,9990.0,9998.683760683762,46.0,45.83499402152252,37.31623931623835,37.182382738380184,9997.57142857143,38.42857142857065,31.651999999999997,26.6841844804138,18.5,468.0,23396920.0,468.0,87319.99999999774,quote_only_recovered_3s,2.5,,2.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2605|09:53:49.609,20260313,09:53:49.609,,EB,EB2605,46429609,20049,20049,46429609,visible_execution_drop,10047.0,2.2239,5,"EB2604,EB2607,EB2606,EB2609,EB2608",20,251,289.505,10014.0,10027.401639344262,33.0,32.845625559868616,19.59836065573836,19.506679263201313,,,29.651999999999997,31.91833600000086,33.0,122.0,6116715.0,122.0,11955.0000000004,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2605|14:11:18.809,20260313,14:11:18.809,,EB,EB2605,61878809,33678,33678,61878809,visible_execution_drop,9709.5,9.6369,3,"EB2604,EB2609,EB2608",20,291,289.515,9641.0,9641.6,68.5,70.54946186724342,67.89999999999964,69.93151037643507,,,42.5476,43.15097777778875,25.875,20.0,964160.0,20.0,6789.999999999964,trade_recovered_10s,5.0,,4.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EG2605|09:30:13.570,20260313,09:30:13.570,,EG,EG2605,45013570,16315,16315,45013570,visible_execution_drop,4669.5,7.412999999999999,3,"EG2607,EG2606,EG2608",20,395,289.005,4645.0,4654.2660000000005,24.5,52.468144340935865,15.233999999999469,32.62447799550159,,,21.7564,21.7564,22.0,1000.0,46542660.0,1000.0,152339.9999999947,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FU2604|09:18:37.500,20260313,09:18:37.500,,FU,FU2604,44317500,15025,15025,44317500,visible_execution_drop,4946.75,4.262474999999999,4,"FU2606,FU2609,FU2607,FU2608",20,199,290.0,4864.0,4889.711538461538,82.75,167.28154849143377,57.03846153846189,115.30492048003616,,,80.59519999999999,86.5256,57.75,52.0,2542650.0,52.0,29660.000000000186,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2605|11:18:05.160,20260313,11:18:05.160,11:18:06.160,L,L2605,51484660,28375,28375,51485160,"visible_execution_drop,interval_execution_drop",8548.0,3.7065,3,"L2609,L2608,L2701",20,216,290.0,8522.0,8521.041666666668,26.0,30.416471689284045,26.95833333333212,31.537591639368415,8520.268817204302,27.73118279569826,24.488999999999997,22.46010897356293,26.95833333333212,24.0,1022525.0,99.0,3234.9999999998545,quote_only_recovered_3s,3.0,4.0,3.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2605|14:50:05.853,20260313,14:50:05.853,,L,L2605,64205853,38957,38957,64205853,visible_execution_drop,8417.5,2.2239,2,"L2609,L2606",20,197,290.0,8390.0,8397.475065616798,27.5,32.67003267003267,20.02493438320198,23.78964583688979,,,22.7216,22.7216,27.5,381.0,15997190.0,381.0,38147.499999999774,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:05:29.000,20260312,21:05:29.000,21:05:30.000,PX,PX605,329000,723,724,329000,interval_execution_drop,10135.0,2.2239,5,"PX609,PX606,PX604,PX607,PX608",20,195,290.0,10126.0,9763.696,4.5,8.880118401578688,185.65200000000004,366.3581647755304,9987.36350777935,73.81824611032516,32.652,49.4212,180.15200000000004,375.0,3661386.0,375.0,139239.00000000003,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:06:22.000,20260312,21:06:22.000,21:06:23.000,PX,PX605,382000,829,830,382000,interval_execution_drop,10126.0,2.9652,5,"PX609,PX606,PX604,PX607,PX608",20,236,290.0,10114.0,9840.914979757084,6.0,11.850681414181317,142.54251012145778,281.5376459045186,9991.1072319202,67.4463840399003,32.652,23.19959999999999,138.04251012145778,494.0,4861412.0,494.0,140832.0000000003,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:06:26.000,20260312,21:06:26.000,21:06:27.000,PX,PX605,386000,837,838,389000,interval_execution_drop,10107.0,5.1891,5,"PX609,PX606,PX604,PX607,PX608",20,237,290.0,10086.0,9854.306513409962,10.5,20.777678836449983,126.34674329501922,250.0182908776476,10032.106962663976,37.44651866801178,26.7216,20.0,121.34674329501922,522.0,5143948.0,2101.0,131906.00000000006,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:07:37.000,20260312,21:07:37.000,21:07:38.000,PX,PX605,457000,979,980,457000,interval_execution_drop,10087.0,1.4826,5,"PX609,PX606,PX604,PX607,PX608",20,283,290.0,10074.0,9873.946508172365,6.5,12.88787548329533,106.52674591381856,211.2159133812205,9928.0,79.5,26.7216,22.1648,99.02674591381856,673.0,6645166.0,673.0,143384.99999999977,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:07:41.000,20260312,21:07:41.000,21:07:42.000,PX,PX605,461000,987,988,461000,interval_execution_drop,10076.0,2.9652,5,"PX609,PX606,PX604,PX607,PX608",20,284,290.0,10064.0,9869.852507374631,6.0,11.909487892020644,103.0737463126843,204.5925889493535,9936.037959667852,69.9810201660739,26.7216,22.1648,98.0737463126843,678.0,6691760.0,678.0,139767.9999999999,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:11:05.000,20260312,21:11:05.000,21:11:06.000,PX,PX605,665000,1395,1396,665000,interval_execution_drop,10007.5,6.30105,5,"PX609,PX606,PX604,PX607,PX608",20,242,290.0,9984.0,9827.406411582211,11.75,23.48238820884337,90.04679420889352,179.95861945319714,9886.132315521629,60.68384223918565,51.0128,20.0,79.04679420889352,967.0,9503102.0,967.0,174150.50000000006,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|11:19:46.000,20260313,11:19:46.000,,PX,PX605,51586000,28582,28583,51586000,visible_execution_drop,9966.0,0.7413,3,"PX609,PX607,PX608",20,277,290.0,9922.0,10172.0,22.0,44.150110375275936,-103.0,-206.70278948424644,,,20.0,37.24719999999999,13.0,140.0,1424080.0,140.0,0.0,trade_recovered_3s,2.0,,1.0,
