检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP605|09:11:23.000,20260323,09:11:23.000,09:11:24.000,AP,AP605,43883000,1348,1349,43883000,interval_execution_drop,10648.0,6.6716999999999995,5,"AP610,AP701,AP611,AP604,AP612",20,276,290.0,10623.0,10446.172839506173,25.0,23.4785875281743,201.82716049382725,189.54466612868825,10523.953125,124.046875,36.3063,58.977999999999994,182.32716049382725,81.0,846140.0,81.0,16348.000000000007,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP605|09:12:16.000,20260323,09:12:16.000,09:12:17.000,AP,AP605,43936000,1454,1455,43936000,interval_execution_drop,10658.5,5.1891,5,"AP610,AP701,AP611,AP604,AP612",20,274,290.0,10613.0,10306.67924528302,45.5,42.688933714875446,351.82075471698045,330.08467862924465,10412.394736842105,246.10526315789502,70.6648,137.5384,311.82075471698045,53.0,546254.0,53.0,18646.499999999964,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP605|09:15:06.000,20260323,09:15:06.000,09:15:07.000,AP,AP605,44106000,1794,1795,44106000,interval_execution_drop,10608.75,1.8532499999999998,5,"AP610,AP701,AP611,AP604,AP612",20,269,290.0,10596.0,10275.35,12.75,12.01838105337575,333.39999999999964,314.26888181925267,10385.24705882353,223.5029411764699,164.5796,68.3072,325.39999999999964,60.0,616521.0,60.0,20003.999999999978,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP605|09:15:56.000,20260323,09:15:56.000,09:15:57.000,AP,AP605,44156000,1894,1895,44156000,interval_execution_drop,10598.5,1.4826,5,"AP610,AP701,AP611,AP604,AP612",20,279,290.0,10594.0,10396.083333333334,4.5,4.245883851488418,202.41666666666606,190.98614583824696,10417.419047619047,181.08095238095302,135.17759999999998,109.6776,195.91666666666606,96.0,998024.0,96.0,19431.99999999994,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP605|09:18:20.000,20260323,09:18:20.000,09:18:21.000,AP,AP605,44300000,2178,2179,44300000,interval_execution_drop,10596.0,2.2239,5,"AP610,AP701,AP611,AP604,AP612",20,279,290.0,10600.0,10326.280487804877,-4.0,-3.7750094375235936,269.71951219512266,254.54842600521204,10452.627737226278,143.37226277372247,122.6776,70.1428,269.71951219512266,82.0,846755.0,82.0,22117.00000000006,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP605|09:19:10.000,20260323,09:19:10.000,09:19:11.000,AP,AP605,44350000,2268,2269,44350000,interval_execution_drop,10593.0,1.4826,5,"AP610,AP701,AP611,AP604,AP612",20,276,290.0,10602.0,10531.555555555555,-9.0,-8.496176720475786,61.44444444444525,58.004762054607056,10545.885714285714,47.11428571428587,97.1712,20.0,61.44444444444525,243.0,2559168.0,243.0,14931.000000000196,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP605|09:21:07.000,20260323,09:21:07.000,09:21:08.000,AP,AP605,44467000,2496,2497,44467000,interval_execution_drop,10583.5,1.4826,5,"AP610,AP701,AP611,AP604,AP612",20,274,290.0,10579.0,10105.865384615385,4.5,4.251901544857562,477.63461538461524,451.3011908958428,10212.292307692307,371.2076923076929,52.5888,20.0,476.38461538461524,52.0,525505.0,52.0,24836.999999999993,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP605|09:25:42.000,20260323,09:25:42.000,09:25:43.000,AP,AP605,44742000,3005,3006,44742000,interval_execution_drop,10525.25,3.7064999999999997,4,"AP610,AP611,AP604,AP612",20,262,290.0,10557.0,10411.503546099291,-31.75,-30.165554262369067,113.74645390070873,108.07007330059497,10482.20673076923,43.04326923076951,102.21239999999999,20.0,113.74645390070873,141.0,1468022.0,141.0,16038.24999999993,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP605|09:29:24.000,20260323,09:29:24.000,09:29:25.000,AP,AP605,44964000,3434,3435,44964000,interval_execution_drop,10513.0,1.4826,3,"AP610,AP611,AP604",20,135,290.0,10510.0,10228.966666666667,3.0,2.8536098164177686,284.03333333333285,270.17343606328626,10271.554455445545,241.4455445544554,58.5604,92.43419999999998,283.03333333333285,90.0,920607.0,90.0,25562.999999999956,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP605|09:29:33.000,20260323,09:29:33.000,09:29:34.000,AP,AP605,44973000,3452,3453,44973000,interval_execution_drop,10488.5,2.9652,5,"AP610,AP701,AP611,AP604,AP612",20,139,290.0,10481.0,10283.398148148148,7.5,7.1506888496925205,205.1018518518522,195.54927001177688,10412.289772727272,76.21022727272793,80.5668,39.72199999999998,192.6018518518522,108.0,1110607.0,108.0,22151.000000000036,trade_recovered_3s,,2.0,1.0,
