检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2605|10:07:34.724,20260323,10:07:34.724,,L,L2605,47254724,22078,22078,47254724,visible_execution_drop,9452.5,1.4826,3,"L2609,L2607,L2606",20,370,289.501,9432.0,9433.032258064517,20.5,21.6873842898704,19.46774193548299,20.595336615163177,,,20.0,20.0,9.500877192982443,31.0,1462120.0,31.0,3017.4999999998636,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2605|10:07:59.724,20260323,10:07:59.724,,L,L2605,47279724,22127,22127,47279724,visible_execution_drop,9435.0,0.0,3,"L2608,L2607,L2606",20,370,289.501,9412.0,9416.449152542373,23.0,24.377318494965554,18.550847457627242,19.661735514178318,,,20.0,20.0,11.75,118.0,5555705.0,118.0,10945.000000000073,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2609|22:59:58.160,20260323,22:59:58.160,22:59:59.160,L,L2609,7198160,14171,14171,7198160,"visible_execution_drop,interval_execution_drop",8937.125,7.227675,2,"L2608,L2606",20,412,289.501,8916.0,8911.34328358209,21.125,23.637355413513852,25.781716417910502,28.847886113163355,8911.786666666667,25.33833333333314,20.648799999999998,21.137927272721207,22.615049751242623,67.0,2985300.0,67.0,8636.875000000018,truncated,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2609|09:28:52.168,20260323,09:28:52.168,09:28:53.168,L,L2609,44932168,17631,17631,44932168,interval_execution_drop,9109.5,5.1891,2,"L2605,L2608",20,494,289.505,9107.0,9042.0,2.5,2.744387727098084,67.5,74.09846863164829,9083.333333333332,26.16666666666788,23.4716,23.34793846154026,62.5,3.0,135630.0,3.0,1012.5,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2609|09:29:02.668,20260323,09:29:02.668,09:29:03.668,L,L2609,44942668,17652,17652,44942668,interval_execution_drop,9106.5,4.4478,4,"L2605,L2608,L2607,L2606",20,492,289.505,9106.0,9063.440476190477,0.5,0.5490583649041894,43.05952380952294,47.28438347281936,9072.415094339622,34.084905660378354,23.7216,23.7216,40.503968253968196,84.0,3806645.0,84.0,18084.999999999636,trade_recovered_3s,,3.0,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2609|09:41:59.192,20260323,09:41:59.192,09:42:00.192,L,L2609,45719192,19189,19189,45719192,interval_execution_drop,9157.5,1.4826,4,"L2605,L2608,L2607,L2606",20,474,289.512,9156.0,9101.578947368422,1.5,1.638001638001638,55.92105263157828,61.06585053953402,9133.08695652174,24.41304347826008,20.0,20.0,55.42105263157828,19.0,864650.0,19.0,5312.499999999936,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2609|09:49:34.206,20260323,09:49:34.206,09:49:35.206,L,L2609,46174206,20079,20079,46174206,interval_execution_drop,9168.75,1.4826,4,"L2605,L2608,L2607,L2606",20,393,289.513,9169.0,9131.333333333332,-0.25,-0.27266530334015,37.41666666666788,40.8089070665771,9146.4,22.350000000000364,20.0,20.0,36.66666666666788,3.0,136970.0,3.0,561.2500000000182,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2609|09:49:41.706,20260323,09:49:41.706,09:49:42.706,L,L2609,46181706,20094,20094,46182706,interval_execution_drop,9168.0,0.37065,4,"L2605,L2608,L2607,L2606",20,392,289.513,9171.0,9102.0,-3.0,-3.2722513089005236,66.0,71.98952879581151,9131.916666666668,36.08333333333212,20.0,20.0,41.973214285714675,6.0,273060.0,24.0,1980.0,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2609|09:49:54.706,20260323,09:49:54.706,09:49:55.706,L,L2609,46194706,20120,20120,46194706,interval_execution_drop,9165.75,2.2239,4,"L2605,L2608,L2607,L2606",20,401,289.513,9166.0,9104.0,-0.25,-0.27275454818209094,61.75,67.37037340097646,9144.0,21.75,20.0,20.0,61.75,4.0,182080.0,4.0,1235.0,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2609|09:53:34.712,20260323,09:53:34.712,09:53:35.712,L,L2609,46414712,20542,20542,46414712,interval_execution_drop,9183.0,0.0,4,"L2605,L2608,L2607,L2606",20,413,289.511,9183.0,9119.5,0.0,0.0,63.5,69.14951540890776,9157.6,25.399999999999636,20.0,20.0,63.41666666666788,2.0,91195.0,2.0,635.0,trade_recovered_3s,,1.5,0.5,
