检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|22:06:46.129,20260323,22:06:46.129,22:06:47.129,PP,PP2609,4006129,7887,7887,4006629,"visible_execution_drop,interval_execution_drop",8874.0,5.1891,3,"PP2605,PP2608,PP2606",20,433,290.0,8849.0,8848.25,25.0,28.17218841559612,25.75,29.017354068064005,8848.944444444443,25.055555555556566,20.0,20.0,18.75,4.0,176965.0,34.0,515.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|22:06:55.629,20260323,22:06:55.629,22:06:56.629,PP,PP2609,4015629,7905,7905,4015629,"visible_execution_drop,interval_execution_drop",8880.0,6.6716999999999995,3,"PP2605,PP2608,PP2606",20,417,290.0,8855.0,8855.0,25.0,28.153153153153152,25.0,28.153153153153152,8855.0,25.0,20.0,20.0,20.5,1.0,44275.0,1.0,125.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|22:07:35.129,20260323,22:07:35.129,,PP,PP2609,4055129,7979,7979,4055129,visible_execution_drop,8873.0,5.9304,3,"PP2605,PP2608,PP2606",20,393,290.0,8851.0,8851.5,22.0,24.794319846726022,21.5,24.230812577482247,,,20.0,20.0,15.875,2.0,88515.0,2.0,215.0,trade_recovered_10s,4.0,,8.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|22:29:19.642,20260323,22:29:19.642,22:29:20.642,PP,PP2609,5359642,10475,10475,5360642,"visible_execution_drop,interval_execution_drop",8946.0,0.7413,3,"PP2605,PP2607,PP2606",20,297,289.505,8924.0,8922.0,22.0,24.591996422982337,24.0,26.82763246143528,8921.75,24.25,20.0,20.0,24.0,4.0,178440.0,12.0,480.0,trade_recovered_3s,2.0,1.5,5.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:23:35.163,20260323,09:23:35.163,09:23:36.163,PP,PP2609,44615163,16838,16838,44615163,interval_execution_drop,9060.0,2.59455,5,"PP2605,PP2608,PP2607,PP2606,PP2701",20,447,289.51,9058.0,9026.744186046511,2.0,2.207505518763797,33.25581395348854,36.706196416654016,9028.08888888889,31.911111111110586,20.0,20.0,31.25581395348854,43.0,1940750.0,43.0,7150.000000000036,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:25:31.666,20260323,09:25:31.666,09:25:32.666,PP,PP2609,44731666,17068,17068,44731666,interval_execution_drop,9098.5,2.2239,3,"PP2605,PP2608,PP2607",20,437,289.507,9104.0,9050.404761904761,-5.5,-6.044952464691983,48.09523809523853,52.86062328431997,9068.174603174604,30.32539682539573,20.2564,20.220651851875765,48.09523809523853,42.0,1900585.0,42.0,10100.000000000091,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:28:35.668,20260323,09:28:35.668,09:28:36.668,PP,PP2609,44915668,17428,17428,44915668,interval_execution_drop,9144.25,3.7064999999999997,4,"PP2605,PP2608,PP2607,PP2606",20,469,289.505,9140.0,9080.94117647059,4.25,4.647729447466988,63.3088235294108,69.23347844756081,9119.288888888888,24.961111111111677,20.0,20.0,60.71953781512548,17.0,771880.0,17.0,5381.249999999918,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:34:23.673,20260323,09:34:23.673,09:34:24.673,PP,PP2609,45263673,18118,18118,45263673,interval_execution_drop,9162.5,1.8532499999999998,4,"PP2605,PP2608,PP2607,PP2606",20,458,289.505,9164.0,9108.94117647059,-1.5,-1.6371077762619373,53.5588235294108,58.45437765829283,9117.25,45.25,25.238999999999997,24.812311111105622,53.5588235294108,17.0,774260.0,17.0,4552.499999999918,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:35:34.678,20260323,09:35:34.678,09:35:35.678,PP,PP2609,45334678,18259,18259,45335678,interval_execution_drop,9161.25,2.59455,4,"PP2605,PP2608,PP2607,PP2606",20,492,289.5,9163.0,9113.588235294117,-1.75,-1.9102196752626552,47.66176470588289,52.02539468509526,9114.617647058823,46.63235294117658,31.151999999999997,30.957871111114844,47.66176470588289,17.0,774655.0,34.0,4051.2500000000455,trade_recovered_3s,,2.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:36:46.180,20260323,09:36:46.180,09:36:47.180,PP,PP2609,45406180,18399,18399,45406180,interval_execution_drop,9161.75,1.4826,4,"PP2605,PP2608,PP2607,PP2606",20,505,289.507,9162.0,9111.42857142857,-0.25,-0.2728736322209185,50.32142857142935,54.92556397132574,9126.2,35.54999999999927,26.936799999999998,28.120800000006163,49.82142857142935,7.0,318900.0,7.0,1761.2500000000273,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:36:58.680,20260323,09:36:58.680,09:36:59.680,PP,PP2609,45418680,18421,18421,45418680,interval_execution_drop,9156.5,0.7413,4,"PP2605,PP2608,PP2607,PP2606",20,506,289.507,9157.0,9028.0,-0.5,-0.5460601758313767,128.5,140.33746518866377,9131.0,25.5,23.7216,24.257466666658868,128.5,1.0,45140.0,1.0,642.5,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:39:05.184,20260323,09:39:05.184,09:39:06.184,PP,PP2609,45545184,18667,18667,45545184,interval_execution_drop,9169.25,2.038575,4,"PP2605,PP2608,PP2607,PP2606",20,480,289.511,9170.0,9084.8,-0.75,-0.8179513046323308,84.45000000000073,92.10131690160125,9134.083333333332,35.16666666666788,20.0,20.0,84.45000000000073,5.0,227120.0,5.0,2111.250000000018,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:41:49.192,20260323,09:41:49.192,09:41:50.192,PP,PP2609,45709192,18988,18988,45709192,interval_execution_drop,9185.5,2.9652,4,"PP2605,PP2608,PP2607,PP2606",20,453,289.512,9184.0,9029.0,1.5,1.633008546078058,156.5,170.37722497414404,9137.8,47.70000000000073,20.0,20.0,155.5,3.0,135435.0,3.0,2347.5,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:42:58.192,20260323,09:42:58.192,09:42:59.192,PP,PP2609,45778192,19123,19123,45779192,interval_execution_drop,9177.5,0.0,4,"PP2605,PP2608,PP2607,PP2606",20,440,289.512,9177.0,9042.454545454546,0.5,0.5448106782892944,135.04545454545405,147.14841138158982,9053.666666666668,123.83333333333212,20.0,20.0,135.04545454545405,11.0,497335.0,24.0,7427.499999999973,quote_only_recovered_3s,,4.0,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:43:40.693,20260323,09:43:40.693,09:43:41.693,PP,PP2609,45820693,19206,19206,45820693,interval_execution_drop,9182.25,0.37065,4,"PP2605,PP2608,PP2607,PP2606",20,447,289.509,9181.0,9081.0,1.25,1.3613221160390971,101.25,110.26709139916687,9154.272727272728,27.977272727272066,20.0,20.0,97.5,3.0,136215.0,3.0,1518.75,quote_only_recovered_3s,,3.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:43:59.193,20260323,09:43:59.193,09:44:00.193,PP,PP2609,45839193,19240,19240,45839193,interval_execution_drop,9182.75,0.37065,4,"PP2605,PP2608,PP2607,PP2606",20,433,289.509,9183.0,9151.0,-0.25,-0.2722495984318423,31.75,34.575699000843976,9156.166666666668,26.58333333333212,20.0,20.0,30.125,5.0,228775.0,5.0,793.75,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:45:47.193,20260323,09:45:47.193,09:45:48.193,PP,PP2609,45947193,19443,19443,45947193,interval_execution_drop,9182.5,1.8532499999999998,4,"PP2605,PP2608,PP2607,PP2606",20,399,289.509,9179.0,9030.0,3.5,3.811598148652328,152.5,166.07677647699427,9130.0,52.5,20.0,20.0,149.25,3.0,135450.0,3.0,2287.5,quote_only_recovered_3s,,6.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:56:47.712,20260323,09:56:47.712,09:56:48.712,PP,PP2609,46607712,20697,20697,46607712,interval_execution_drop,9223.75,5.1891,4,"PP2605,PP2608,PP2607,PP2606",20,369,289.505,9220.0,9031.0,3.75,4.06559154356959,192.75,208.9714053394769,9167.357142857143,56.39285714285688,20.0,20.0,189.5,4.0,180620.0,4.0,3855.0,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:57:08.212,20260323,09:57:08.212,09:57:09.212,PP,PP2609,46628212,20738,20738,46628212,interval_execution_drop,9239.25,0.37065,2,"PP2605,PP2607",20,362,290.0,9235.0,9153.4,4.25,4.5999404713586065,85.85000000000036,92.91879752144422,9208.866666666667,30.383333333333212,21.2564,20.02090000000719,82.72500000000036,10.0,457670.0,10.0,4292.500000000018,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:57:28.712,20260323,09:57:28.712,09:57:29.712,PP,PP2609,46648712,20779,20779,46648712,interval_execution_drop,9225.5,2.2239,4,"PP2605,PP2608,PP2607,PP2606",20,374,290.0,9223.0,9165.0,2.5,2.709880223294131,60.5,65.57910140371796,9179.5,46.0,21.5064,20.74571666667325,56.625,6.0,274950.0,6.0,1815.0,quote_only_recovered_3s,,10.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|10:00:23.722,20260323,10:00:23.722,10:00:24.722,PP,PP2609,46823722,21107,21107,46823722,interval_execution_drop,9219.5,1.4826,4,"PP2605,PP2608,PP2607,PP2606",20,365,289.51,9217.0,9151.5,2.5,2.711643798470633,68.0,73.75671131840122,9188.333333333332,31.16666666666788,23.2216,23.2216,66.25,4.0,183030.0,4.0,1360.0,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|10:05:09.223,20260323,10:05:09.223,10:05:10.223,PP,PP2609,47109223,21636,21636,47109223,interval_execution_drop,9260.0,2.9652,3,"PP2605,PP2608,PP2607",20,353,289.501,9259.0,9107.166666666668,1.0,1.079913606911447,152.83333333333212,165.0467962562982,9182.0,78.0,20.0,20.0,151.83333333333212,6.0,273215.0,6.0,4584.999999999964,quote_only_recovered_3s,,3.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|10:05:37.223,20260323,10:05:37.223,10:05:38.223,PP,PP2609,47137223,21691,21691,47138223,interval_execution_drop,9256.75,3.3358499999999998,4,"PP2605,PP2608,PP2607,PP2606",20,357,289.501,9256.0,9130.222222222223,0.75,0.8102195695033354,126.52777777777737,136.68704218843263,9126.92857142857,129.82142857142935,21.5064,20.0,124.77777777777737,9.0,410860.0,14.0,5693.749999999982,quote_only_recovered_3s,,4.0,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|10:05:52.223,20260323,10:05:52.223,10:05:53.223,PP,PP2609,47152223,21720,21720,47152223,interval_execution_drop,9265.25,2.59455,4,"PP2605,PP2608,PP2607,PP2606",20,362,289.501,9263.0,9032.0,2.25,2.428428806562154,233.25,251.74711961361,9180.857142857143,84.39285714285688,21.7564,21.05386666667325,231.5,5.0,225800.0,5.0,5831.25,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|10:39:28.736,20260323,10:39:28.736,10:39:29.736,PP,PP2609,49168736,23883,23883,49168736,interval_execution_drop,9234.75,1.11195,4,"PP2605,PP2608,PP2607,PP2606",20,409,290.0,9234.0,9169.5,0.75,0.8121497604158207,65.25,70.6570291561764,9202.0,32.75,20.113999999999997,20.0,64.75,2.0,91695.0,2.0,652.5,trade_recovered_3s,,3.0,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|10:39:42.736,20260323,10:39:42.736,10:39:43.736,PP,PP2609,49182736,23910,23910,49182736,interval_execution_drop,9233.5,0.7413,4,"PP2605,PP2608,PP2607,PP2606",20,409,290.0,9235.0,9170.0,-1.5,-1.6245194130069855,63.5,68.77132181729571,9201.75,31.75,20.0,21.4716,62.41666666666606,2.0,91700.0,2.0,635.0,trade_recovered_3s,,3.0,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|11:02:10.251,20260323,11:02:10.251,11:02:11.251,PP,PP2609,50530251,26368,26368,50530251,interval_execution_drop,9238.75,2.2239,4,"PP2605,PP2608,PP2607,PP2606",20,313,289.007,9239.0,9174.0,-0.25,-0.27059937762143144,64.75,70.08523880395076,9195.333333333332,43.41666666666788,20.0,20.0,64.75,2.0,91740.0,2.0,647.5,quote_only_recovered_3s,,3.5,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|13:40:54.353,20260323,13:40:54.353,13:40:55.353,PP,PP2609,60054353,30499,30499,60054353,interval_execution_drop,9231.75,5.559749999999999,4,"PP2605,PP2608,PP2607,PP2606",20,421,289.503,9237.0,9023.956521739132,-5.25,-5.686895767324722,207.79347826086814,225.0856860951262,9055.518518518518,176.23148148148175,20.0,21.4716,207.79347826086814,23.0,1037755.0,23.0,23896.249999999836,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|13:43:59.353,20260323,13:43:59.353,13:44:00.353,PP,PP2609,60239353,30849,30849,60239353,interval_execution_drop,9278.75,2.9652,4,"PP2605,PP2608,PP2607,PP2606",20,373,290.0,9275.0,9114.0,3.75,4.041492657955005,164.75,177.55624410615653,9222.0,56.75,21.2216,24.186799999999998,160.75,1.0,45570.0,1.0,823.75,trade_recovered_3s,,3.0,1.0,
