检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF605|21:05:18.000,20260324,21:05:18.000,21:05:19.000,PF,PF605,318000,626,627,318000,interval_execution_drop,8262.0,3.7064999999999997,5,"PF606,PF607,PF608,PF604,PF609",20,134,290.0,8264.0,8073.069767441861,-1.0,-2.420721374969741,94.46511627906966,228.67372616574596,8083.155555555555,89.42222222222244,20.0,26.0128,93.96511627906966,43.0,347142.0,43.0,8123.999999999991,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF605|21:12:58.000,20260324,21:12:58.000,21:12:59.000,PF,PF605,778000,1385,1386,778000,interval_execution_drop,8255.0,0.7413,5,"PF606,PF607,PF608,PF604,PF609",20,104,290.0,8254.0,8150.019801980198,0.5,1.2113870381586918,52.49009900990086,127.17165114452057,8160.293577981652,47.353211009174174,20.0,31.943199999999997,51.24009900990086,101.0,823152.0,101.0,10602.999999999975,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF605|21:13:05.000,20260324,21:13:05.000,21:13:06.000,PF,PF605,785000,1398,1399,785000,interval_execution_drop,8254.0,0.7413,5,"PF606,PF607,PF608,PF604,PF609",20,105,290.0,8250.0,8104.493827160494,2.0,4.8461352071722805,74.75308641975289,181.13178197177828,8172.775193798449,40.61240310077528,20.0,26.0128,73.25308641975289,81.0,656464.0,81.0,12109.999999999967,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF606|21:07:59.000,20260324,21:07:59.000,21:08:00.000,PF,PF606,479000,935,936,479000,interval_execution_drop,8241.0,2.59455,5,"PF607,PF605,PF608,PF604,PF609",20,257,290.0,8250.0,8050.414414414415,-4.5,-10.921004732435385,95.29279279279262,231.26512023490503,8118.113924050633,61.44303797468365,20.0,23.5128,95.29279279279262,111.0,893596.0,111.0,21154.999999999964,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF606|21:14:07.000,20260324,21:14:07.000,21:14:08.000,PF,PF606,847000,1562,1563,847000,interval_execution_drop,8262.0,0.0,5,"PF607,PF605,PF608,PF604,PF609",20,192,290.0,8262.0,7940.9320388349515,0.0,0.0,160.53398058252424,388.60803820509375,7950.301886792453,155.84905660377353,20.0,53.234399999999994,159.78398058252424,103.0,817916.0,103.0,33069.99999999999,quote_only_recovered_3s,,6.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF606|22:00:00.000,20260324,22:00:00.000,22:00:01.000,PF,PF606,3600000,5462,5463,3600000,interval_execution_drop,8190.0,0.7413,5,"PF607,PF605,PF608,PF604,PF609",20,133,289.0,8188.0,8029.768115942029,1.0,2.442002442002442,80.1159420289855,195.6433260781087,8047.0,71.5,20.0,20.0,78.1159420289855,345.0,2770270.0,345.0,55279.99999999999,quote_only_recovered_3s,,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF606|22:10:28.000,20260324,22:10:28.000,22:10:29.000,PF,PF606,4228000,6382,6383,4228000,interval_execution_drop,8148.0,0.7413,5,"PF607,PF605,PF608,PF604,PF609",20,123,289.0,8150.0,7813.514563106796,-1.0,-2.454590083456063,167.24271844660188,410.5123182292633,7927.879003558719,110.06049822064051,20.0,20.0,167.24271844660188,206.0,1609584.0,206.0,68903.99999999997,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF606|22:11:28.000,20260324,22:11:28.000,22:11:29.000,PF,PF606,4288000,6483,6484,4288000,interval_execution_drop,8146.0,0.7413,5,"PF607,PF605,PF608,PF604,PF609",20,144,290.0,8146.0,8079.989380530974,0.0,0.0,33.00530973451305,81.0343965983625,8092.518760195759,26.74061990212067,20.0,20.0,32.00530973451305,565.0,4565194.0,565.0,37295.999999999745,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF606|22:11:48.000,20260324,22:11:48.000,22:11:49.000,PF,PF606,4308000,6521,6522,4308000,interval_execution_drop,8145.0,0.0,5,"PF607,PF605,PF608,PF604,PF609",20,153,290.0,8142.0,7863.8130081300815,1.5,3.6832412523020257,140.59349593495926,345.2265093553328,7906.884892086331,119.05755395683445,20.0,20.0,140.09349593495926,246.0,1934498.0,246.0,69171.99999999996,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF606|22:15:25.000,20260324,22:15:25.000,22:15:26.000,PF,PF606,4525000,6861,6862,4525000,interval_execution_drop,8144.0,0.7413,5,"PF607,PF605,PF608,PF604,PF609",20,179,290.0,8146.0,8066.470383275261,-1.0,-2.455795677799607,38.76480836236942,95.1984488270369,8096.429184549356,23.785407725321875,20.0,20.0,38.76480836236942,574.0,4630154.0,574.0,44502.000000000095,quote_only_recovered_3s,,4.0,1.0,
