检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|10:01:05.000,20260325,10:01:05.000,,AG,AG2604,46865000,44286,44286,46865000,visible_execution_drop,18280.0,1.85325,4,"AG2606,AG2608,AG2610,AG2612",20,278,290.0,18233.0,18256.68181818182,47.0,25.711159737417944,23.318181818180165,12.756116968369891,,,32.099799999999995,27.651999999999997,47.0,22.0,6024705.0,22.0,7694.999999999454,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|22:48:37.000,20260325,22:48:37.000,,AG,AG2605,6517000,12941,12941,6517000,visible_execution_drop,17435.0,5.1891,5,"AG2606,AG2608,AG2604,AG2610,AG2612",20,329,290.0,17400.0,17413.666666666668,35.0,20.07456266131345,21.33333333333212,12.235923907847502,,,32.3672,29.651999999999997,34.0,3.0,783615.0,3.0,959.9999999999454,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|10:44:48.000,20260325,10:44:48.000,,AG,AG2606,49488000,50326,50326,49488000,visible_execution_drop,18325.0,2.2239,5,"AG2608,AG2604,AG2605,AG2610,AG2612",20,567,290.0,18305.0,18314.446153846155,20.0,10.914051841746248,10.55384615384537,5.759261202644131,,,20.0,20.0,16.599999999998545,65.0,17856585.0,65.0,10289.999999999236,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|01:04:49.000,20260325,01:04:49.000,,AG,AG2608,14689000,29245,29245,14689000,visible_execution_drop,17197.0,1.4826,5,"AG2606,AG2604,AG2605,AG2610,AG2612",20,361,290.0,17156.0,17179.941176470587,41.0,23.841367680409377,17.05882352941262,9.919650828291342,,,20.0,20.0,32.5,51.0,13142655.0,51.0,13050.000000000657,trade_recovered_3s,0.5,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|01:33:49.000,20260325,01:33:49.000,,AG,AG2608,16429000,32694,32694,16429000,visible_execution_drop,17110.0,5.1891,5,"AG2606,AG2604,AG2605,AG2610,AG2612",20,375,290.0,17080.0,17088.3,30.0,17.533606078316772,21.700000000000728,12.682641729982892,,,23.2216,22.509951999984462,28.5,30.0,7689735.0,30.0,9765.000000000327,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|02:29:59.500,20260325,02:29:59.500,,AG,AG2608,19797500,39002,39002,19799500,visible_execution_drop,17205.0,5.1891,3,"AG2606,AG2604,AG2605",20,204,290.0,17100.0,17139.0,105.0,61.02877070619006,66.0,38.36094158674804,,,25.7216,23.57813333334113,101.5,5.0,1285425.0,31.0,4950.0,truncated,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2610|22:51:54.000,20260325,22:51:54.000,,AG,AG2610,6714000,13247,13247,6714000,visible_execution_drop,17244.5,0.7413,3,"AG2604,AG2605,AG2612",20,229,290.0,17208.0,17240.8,36.5,21.16616892342486,3.700000000000728,2.145611644292805,,,31.151999999999997,31.151999999999997,28.277777777777377,5.0,1293060.0,5.0,277.50000000005457,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2604|22:11:16.000,20260325,22:11:16.000,,AU,AU2604,4276000,8535,8535,4276000,visible_execution_drop,977.45,1.4825999999986514,3,"AU2606,AU2608,AU2612",20,364,290.0,976.54,977.4016666666666,45.49999999999841,9.309939127320764,2.4166666666644687,0.4944839463224653,,,33.08240000003165,30.319733333305756,45.49999999999841,12.0,11728820.0,12.0,579.9999999994725,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2604|22:47:01.000,20260325,22:47:01.000,22:47:02.000,AU,AU2604,6421000,12816,12816,6421000,visible_execution_drop,981.38,2.223899999997977,4,"AU2608,AU2610,AU2612,AU2605",20,374,290.0,980.66,980.66,36.000000000001364,7.336607634148111,36.000000000001364,7.336607634148111,980.8739130434784,25.30434782608495,28.65200000004136,28.65199999997394,29.499999999995907,1.0,980660.0,1.0,720.0000000000273,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2604|01:51:27.000,20260325,01:51:27.000,,AU,AU2604,17487000,34208,34208,17487000,visible_execution_drop,975.56,8.895599999991909,4,"AU2606,AU2608,AU2612,AU2605",20,185,290.0,974.2,975.352,67.999999999995,13.940710976258766,10.3999999999985,2.132108737545307,,,35.08239999996809,30.55706666664456,63.99999999999864,10.0,9753520.0,10.0,2079.9999999997,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2604|01:53:33.000,20260325,01:53:33.000,,AU,AU2604,17613000,34444,34444,17613000,visible_execution_drop,975.16,2.223899999997977,5,"AU2606,AU2608,AU2610,AU2612,AU2605",20,191,290.0,974.5,974.93,32.99999999999841,6.768120103367326,11.50000000000091,2.35858730874952,,,31.15199999983114,28.1868000000361,32.99999999999841,4.0,3899720.0,4.0,920.0000000000728,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2604|02:29:50.500,20260325,02:29:50.500,,AU,AU2604,19790500,38207,38207,19790500,visible_execution_drop,979.8099999999998,3.3358500000138207,3,"AU2606,AU2612,AU2605",20,175,289.0,978.68,978.68,56.49999999999409,11.532848205263084,56.49999999999409,11.532848205263084,,,48.44319999995594,50.41999999995414,56.49999999999409,2.0,1957360.0,2.0,2259.9999999997635,trade_recovered_3s,1.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2604|09:17:35.000,20260325,09:17:35.000,,AU,AU2604,44255000,40335,40335,44256000,visible_execution_drop,1014.92,4.447799999995954,5,"AU2606,AU2608,AU2610,AU2612,AU2605",20,453,290.0,1014.28,1014.565,31.99999999999932,6.305915737200827,17.749999999995225,3.4978126354777177,,,27.152000000110142,27.40200000010992,31.99999999999932,4.0,4058260.0,16.0,1419.999999999618,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2604|13:33:10.000,20260325,13:33:10.000,,AU,AU2604,59590000,54420,54420,59590000,visible_execution_drop,1012.83,0.7412999999908981,3,"AU2606,AU2612,AU2605",20,153,179.5,1012.0,1012.3890909090908,41.500000000002046,8.194859946881914,22.045454545457233,4.353238854587094,,,39.29760000017789,38.84506666666789,41.500000000002046,11.0,11136280.0,11.0,4850.000000000591,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2604|14:00:51.500,20260325,14:00:51.500,,AU,AU2604,61251500,57601,57601,61251500,visible_execution_drop,1013.93,1.4826000000155066,5,"AU2606,AU2608,AU2610,AU2612,AU2605",20,296,290.0,1013.28,1013.634,32.50000000000455,6.410698963440187,14.800000000002456,2.919333681812838,,,28.65199999997394,25.348250000000004,32.50000000000455,10.0,10136340.0,10.0,2960.000000000491,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2606|21:33:20.000,20260325,21:33:20.000,,AU,AU2606,2000000,3997,3997,2000000,visible_execution_drop,973.25,5.18909999999528,4,"AU2608,AU2610,AU2612,AU2605",20,520,290.0,972.5,972.768,37.5,7.706139224248652,24.099999999998545,4.952478808116834,,,36.58240000003415,32.42801523805605,37.08333333333371,10.0,9727680.0,10.0,4819.999999999709,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2606|01:13:46.500,20260325,01:13:46.500,,AU,AU2606,15226500,30249,30249,15226500,visible_execution_drop,980.85,4.447799999995954,5,"AU2604,AU2608,AU2610,AU2612,AU2605",20,491,290.0,979.98,980.493,43.50000000000023,8.869857776418458,17.849999999998545,3.639700259978293,,,35.08240000003551,33.272266666574666,43.50000000000023,20.0,19609860.0,20.0,7139.999999999418,trade_recovered_3s,0.5,,1.0,
aggregated-tick-v1,AU_V1,validated,AU2606|10:39:15.000,20260325,10:39:15.000,,AU,AU2606,49155000,49276,49276,49155000,visible_execution_drop,1024.96,8.895599999991909,5,"AU2604,AU2608,AU2610,AU2612,AU2605",20,539,290.0,1024.36,1024.7568,30.00000000000682,5.853886980956686,10.159999999996217,1.9825163908828085,,,25.624,25.624,25.50000000001091,25.0,25618920.0,25.0,5079.999999998108,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2606|10:55:29.500,20260325,10:55:29.500,,AU,AU2606,50129500,51210,51210,50129500,visible_execution_drop,1023.895,5.559749999978088,5,"AU2604,AU2608,AU2610,AU2612,AU2605",20,502,290.0,1023.1,1023.457894736842,39.74999999999227,7.764468036271741,21.85526315788593,4.2690438292766215,,,30.151999999972578,25.597375,39.24999999999272,19.0,19445700.0,19.0,8304.999999996653,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2608|21:35:43.000,20260325,21:35:43.000,,AU,AU2608,2143000,4285,4285,2143000,visible_execution_drop,974.26,1.1119499999989886,4,"AU2606,AU2610,AU2612,AU2605",20,323,290.0,973.38,973.785,43.99999999999977,9.032496458850774,23.750000000001137,4.875495247675392,,,41.26280000002421,41.012800000103226,33.499999999997954,4.0,3895140.0,4.0,1900.000000000091,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2608|21:39:28.000,20260325,21:39:28.000,,AU,AU2608,2368000,4735,4735,2368000,visible_execution_drop,974.68,1.4826000000070791,5,"AU2606,AU2604,AU2610,AU2612,AU2605",20,327,290.0,973.78,974.0533333333334,44.99999999999886,9.23379981121986,31.333333333327573,6.429460609292809,,,43.512800000027845,44.08453333336066,37.3333333333278,3.0,2922160.0,3.0,1879.9999999996544,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2608|21:59:01.500,20260325,21:59:01.500,,AU,AU2608,3541500,7082,7082,3541500,visible_execution_drop,979.05,4.447800000004382,4,"AU2606,AU2610,AU2612,AU2605",20,265,290.0,978.0,978.4644444444446,52.499999999997726,10.724682089780446,29.277777777770098,5.980854456415933,,,39.01280000009936,39.01280000003194,45.99999999999227,9.0,8806180.0,9.0,5269.999999998618,trade_recovered_3s,3.0,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2608|22:00:28.500,20260325,22:00:28.500,,AU,AU2608,3628500,7256,7256,3628500,visible_execution_drop,980.14,4.447800000004382,5,"AU2606,AU2604,AU2610,AU2612,AU2605",20,235,290.0,979.2,979.686,46.99999999999704,9.590466668026414,22.699999999997544,4.63199134817425,,,41.76280000002944,39.86933333323533,45.999999999997954,10.0,9796860.0,10.0,4539.999999999509,trade_recovered_3s,2.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BU2604|21:37:04.000,20260325,21:37:04.000,,BU,BU2604,2224000,3946,3946,2224000,visible_execution_drop,4462.0,0.7413,5,"BU2606,BU2609,BU2605,BU2607,BU2612",20,371,290.0,4433.0,4444.279411764705,29.0,64.99327655759748,17.7205882352946,39.71445144620037,,,20.0,20.0,25.0,68.0,3022110.0,68.0,12050.000000000327,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BU2609|22:39:56.000,20260325,22:39:56.000,,BU,BU2609,5995500,10460,10460,5996000,visible_execution_drop,4157.25,1.11195,4,"BU2606,BU2604,BU2605,BU2607",20,199,290.0,4130.0,4140.830985915492,27.25,65.5481387936737,16.41901408450758,39.49489225932427,,,20.0,20.0,18.25,142.0,5879980.0,248.0,23315.000000000764,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FU2607|22:40:45.500,20260325,22:40:45.500,,FU,FU2607,6045500,11327,11327,6046000,visible_execution_drop,4326.5,5.1891,5,"FU2605,FU2606,FU2609,FU2608,FU2701",20,114,290.0,4306.0,4313.05,20.5,47.382410724604185,13.449999999999818,31.087484109556957,,,20.0,20.0,19.5,100.0,4313050.0,200.0,13449.999999999818,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,IC2604|11:00:12.100,20260325,11:00:12.100,,IC,IC2604,50412100,10187,10187,50412100,visible_execution_drop,7710.6,2.223900000001348,3,"IC2606,IC2609,IC2605",20,253,290.0,7700.8,7704.054545454546,49.00000000000091,12.709776152310043,32.72727272727025,8.488904294677521,,,45.4432000000126,44.943199999912,49.00000000000091,33.0,50846760.0,33.0,43199.999999996726,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,IF2604|09:37:27.100,20260325,09:37:27.100,09:37:28.100,IF,IF2604,45447100,885,885,45447100,visible_execution_drop,4501.0,5.930400000001348,3,"IF2606,IF2609,IF2605",20,499,290.0,4484.8,4494.595652173913,80.99999999999909,35.9920017773824,32.0217391304368,14.228722119723084,4495.956962025316,25.21518987342006,30.2215999999163,28.07813333333931,78.24999999999818,46.0,62025420.0,46.0,88380.00000000556,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,IM2604|14:59:40.600,20260325,14:59:40.600,,IM,IM2604,64780600,26707,26707,64780600,visible_execution_drop,7661.6,5.930399999994605,2,"IM2606,IM2609",20,506,290.0,7642.6,7654.28679245283,95.0,24.798997598412864,36.56603773585175,9.545274547314332,,,41.58240000009702,43.75687999997823,87.39999999999554,53.0,81135440.0,53.0,77520.0000000057,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA605|21:04:02.000,20260324,21:04:02.000,21:04:03.000,MA,MA605,242000,559,560,242000,interval_execution_drop,3161.5,2.9652,5,"MA609,MA610,MA606,MA701,MA607",20,162,232.0,3160.0,3118.807303807304,1.5,4.744583267436344,42.69269619269608,135.03936799840605,3128.9406190777004,32.559380922299624,20.0,25.0824,40.69269619269608,1287.0,4013905.0,1287.0,54945.49999999985,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA605|21:05:14.000,20260324,21:05:14.000,21:05:15.000,MA,MA605,314000,701,702,314000,interval_execution_drop,3164.5,0.7413,5,"MA609,MA610,MA606,MA701,MA607",20,233,290.0,3163.0,3014.0533596837945,1.5,4.740085321535788,150.4466403162055,475.41994095814664,3050.7238239757207,113.77617602427928,20.0,26.0824,150.4466403162055,506.0,1525111.0,506.0,76125.99999999999,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA606|22:27:54.000,20260324,22:27:54.000,22:27:55.000,MA,MA606,5274000,8157,8158,5274000,interval_execution_drop,3062.0,7.412999999999999,5,"MA605,MA609,MA610,MA701,MA607",20,104,290.0,3053.0,2982.673333333333,9.0,29.39255388634879,79.32666666666682,259.06814718049253,2998.005882352941,63.99411764705883,32.652,37.1648,70.57666666666682,150.0,447401.0,150.0,11899.000000000024,quote_only_recovered_3s,,7.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA609|21:03:24.000,20260324,21:03:24.000,21:03:25.000,MA,MA609,204000,462,463,204000,interval_execution_drop,2956.5,1.4826,5,"MA605,MA610,MA606,MA701,MA607",20,120,194.0,2958.0,2915.6308724832215,-1.5,-5.073566717402334,40.86912751677846,138.2348300922661,2922.2321428571427,34.26785714285734,20.0,24.5824,40.86912751677846,149.0,434429.0,149.0,6089.499999999991,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA609|21:07:48.000,20260324,21:07:48.000,21:07:49.000,MA,MA609,468000,915,916,468000,interval_execution_drop,2967.75,0.7413,5,"MA605,MA610,MA606,MA701,MA607",20,212,290.0,2964.0,2929.23642172524,3.75,12.635835228708618,38.51357827476022,129.77366110609125,2930.375776397515,37.37422360248456,20.0,20.651999999999997,35.76357827476022,313.0,916851.0,313.0,12054.749999999947,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2604|14:27:05.000,20260325,14:27:05.000,,NI,NI2604,62825000,42783,42783,62825000,visible_execution_drop,136950.0,2.2238999999999995,5,"NI2605,NI2606,NI2609,NI2607,NI2608",20,217,290.0,136740.0,136886.66666666666,21.0,15.334063526834612,6.333333333334304,4.62455884142702,,,20.0,20.0,21.0,3.0,410660.0,3.0,190.0000000000291,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF605|21:05:18.000,20260324,21:05:18.000,21:05:19.000,PF,PF605,318000,626,627,318000,interval_execution_drop,8262.0,3.7065,5,"PF606,PF607,PF608,PF604,PF609",20,134,290.0,8264.0,8073.069767441861,-1.0,-2.420721374969741,94.46511627906966,228.67372616574596,8083.155555555555,89.42222222222244,20.0,26.0128,93.96511627906966,43.0,347142.0,43.0,8123.999999999991,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF605|21:12:58.000,20260324,21:12:58.000,21:12:59.000,PF,PF605,778000,1385,1386,778000,interval_execution_drop,8255.0,0.7413,5,"PF606,PF607,PF608,PF604,PF609",20,104,290.0,8254.0,8150.019801980198,0.5,1.2113870381586918,52.49009900990086,127.17165114452057,8160.293577981652,47.353211009174174,20.0,31.943199999999997,51.24009900990086,101.0,823152.0,101.0,10602.999999999976,trade_recovered_3s,,2.0,1.0,
