检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,IF2609|11:03:06.700,20260507,11:03:06.700,,IF,IF2609,50586700,8052,8052,50586700,visible_execution_drop,4767.300000000001,0.7412999999892126,3,"IF2606,IF2605,IF2612",20,150,290.0,4763.2,4765.4,20.500000000006366,8.600255910056578,9.500000000007276,3.9854844461255943,,,20.0,20.0,20.500000000006366,23.0,32881260.0,23.0,13110.00000001004,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA607|21:03:42.000,20260506,21:03:42.000,21:03:43.000,MA,MA607,222000,481,482,222000,interval_execution_drop,3077.5,0.7413,5,"MA609,MA610,MA701,MA608,MA606",20,126,212.0,3079.0,3041.5409090909093,-1.5,-4.8740861088545895,35.95909090909072,116.84513699135896,3055.691616766467,21.808383233532822,20.0,20.0,35.45909090909072,220.0,669139.0,220.0,7910.999999999958,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA607|21:04:38.000,20260506,21:04:38.000,21:04:39.000,MA,MA607,278000,591,592,278000,interval_execution_drop,3073.5,1.4826,5,"MA609,MA610,MA701,MA608,MA606",20,165,268.0,3073.0,3018.3121387283236,0.5,1.6268098259313488,55.18786127167641,179.56030997779862,3033.886462882096,39.61353711790389,20.0,20.0,55.18786127167641,173.0,522168.0,173.0,9547.500000000018,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA607|21:04:49.000,20260506,21:04:49.000,21:04:50.000,MA,MA607,289000,613,614,289000,interval_execution_drop,3071.5,1.4826,5,"MA609,MA610,MA701,MA608,MA606",20,173,279.0,3067.0,3028.0482456140353,4.5,14.65082207390526,43.451754385964705,141.4675382906225,3038.489436619718,33.01056338028184,22.0064,20.0,40.951754385964705,228.0,690395.0,228.0,9906.999999999953,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA607|21:40:48.000,20260506,21:40:48.000,21:40:49.000,MA,MA607,2448000,4090,4091,2448000,interval_execution_drop,3066.5,0.7413,5,"MA609,MA610,MA701,MA608,MA606",20,105,290.0,3065.0,2981.870786516854,1.5,4.891570194032284,84.62921348314603,275.97982547903484,3041.9389067524116,24.56109324758836,20.0,20.0,83.62921348314603,356.0,1061546.0,356.0,30127.999999999985,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA607|09:54:33.000,20260507,09:54:33.000,09:54:34.000,MA,MA607,46473000,16316,16317,46473000,interval_execution_drop,3002.0,0.7413,5,"MA609,MA610,MA701,MA608,MA606",20,125,290.0,3001.0,2953.857627118644,1.0,3.331112591605596,48.142372881356096,160.36766449485705,2954.5521885521885,47.447811447811546,20.0,20.0,47.142372881356096,885.0,2614164.0,885.0,42606.000000000146,quote_only_recovered_3s,,8.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA607|10:03:12.000,20260507,10:03:12.000,10:03:13.000,MA,MA607,46992000,17221,17222,46992000,interval_execution_drop,2994.5,0.7413,5,"MA609,MA610,MA701,MA608,MA606",20,121,290.0,2995.0,2961.096437880104,-0.5,-1.6697278343629989,33.40356211989592,111.54971487692744,2962.540170940171,31.95982905982919,20.0,20.0,33.40356211989592,1151.0,3408222.0,1151.0,38447.50000000021,quote_only_recovered_3s,,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2609|21:26:10.500,20260507,21:26:10.500,,NI,NI2609,1570500,3126,3126,1570500,visible_execution_drop,150355.0,2.2238999999999995,4,"NI2606,NI2607,NI2608,NI2610",20,404,290.0,150140.0,150212.36842105264,21.5,14.299491204150176,14.263157894735922,9.486320970194488,,,20.0,20.0,21.5,38.0,5708070.0,38.0,5419.999999999651,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF606|21:04:38.000,20260506,21:04:38.000,21:04:39.000,PF,PF606,278000,590,590,278000,interval_execution_drop,8284.0,0.7413,5,"PF607,PF610,PF608,PF609,PF611",20,142,268.0,8292.0,8175.585365853659,-4.0,-9.657170449058423,54.20731707317054,130.87232514044072,8200.372549019608,41.81372549019579,20.0,24.151999999999997,54.20731707317054,82.0,670398.0,82.0,8889.999999999969,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF607|21:04:06.000,20260506,21:04:06.000,21:04:07.000,PF,PF607,246000,525,526,246000,interval_execution_drop,8339.0,3.7065,5,"PF610,PF606,PF608,PF609,PF611",20,158,236.0,8338.0,8187.884057971014,0.5,1.199184554502938,75.55797101449298,181.21590362032137,8201.513274336283,68.74336283185858,20.0,25.151999999999997,75.05797101449298,207.0,1694892.0,207.0,31281.000000000095,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PS2609|09:10:45.104,20260507,09:10:45.104,,PS,PS2609,43845104,1020,1020,43845624,visible_execution_drop,40613.75,4.81845,4,"PS2606,PS2607,PS2608,PS2611",20,218,289.325,40405.0,40503.72549019608,41.75,51.3988489120064,22.00490196078463,27.090458232476227,,,36.5824,36.5824,28.25,51.0,6197070.0,56.0,16833.75000000024,trade_recovered_3s,1.561,,0.52,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX606|21:04:04.000,20260506,21:04:04.000,21:04:05.000,PX,PX606,244000,489,489,244000,interval_execution_drop,9672.0,1.4826,5,"PX607,PX609,PX608,PX610,PX701",20,111,234.0,9674.0,9458.666666666666,-1.0,-2.0678246484698097,106.66666666666696,220.567962503447,9479.23076923077,96.38461538461524,20.0,20.0,106.66666666666696,24.0,227008.0,24.0,5120.000000000015,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX607|21:03:02.000,20260506,21:03:02.000,21:03:03.000,PX,PX607,182000,442,443,182000,interval_execution_drop,9680.0,1.4826,5,"PX609,PX608,PX610,PX606,PX701",20,101,172.0,9680.0,9398.565789473683,0.0,0.0,140.71710526315746,290.73782079164766,9507.336206896553,86.33189655172373,20.0,20.0,140.71710526315746,152.0,1428582.0,152.0,42777.99999999987,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SM609|09:32:08.000,20260507,09:32:08.000,09:32:09.000,SM,SM609,45128000,3188,3189,45128000,interval_execution_drop,6092.0,0.0,5,"SM607,SM608,SM606,SM610,SM701",20,197,287.0,6096.0,6028.6330097087375,-2.0,-6.5659881812212735,31.68349514563124,104.01672733299816,6038.953367875648,26.523316062176036,20.0,20.0,31.68349514563124,515.0,3104746.0,515.0,32634.00000000018,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|21:35:57.000,20260507,21:35:57.000,21:35:58.000,SN,SN2606,2157000,4314,4314,2157000,interval_execution_drop,421167.5,1.85325,3,"SN2608,SN2609,SN2610",20,536,290.0,420930.0,420910.0,23.75,5.639086586690568,25.75,6.11395703609609,420914.0,25.35,30.651999999999997,24.7216,19.75,2.0,841820.0,2.0,515.0,trade_recovered_3s,,1.5,0.5,
