检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PR607|21:03:43.000,20260521,21:03:43.000,21:03:44.000,PR,PR607,223000,470,471,223000,interval_execution_drop,8318.0,2.2239,5,"PR608,PR609,PR606,PR610,PR611",20,125,213.0,8322.0,7907.578947368421,-2.0,-4.80884828083674,205.2105263157896,493.41314334164366,8022.923076923077,147.53846153846143,20.0,20.0,205.2105263157896,19.0,150244.0,19.0,7798.000000000005,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PR607|21:05:01.000,20260521,21:05:01.000,21:05:02.000,PR,PR607,301000,610,611,301000,interval_execution_drop,8309.0,2.2239,5,"PR608,PR609,PR606,PR610,PR611",20,186,290.0,8308.0,7935.652173913043,0.5,1.2035142616440004,186.67391304347848,449.3294332494367,8229.886363636364,39.55681818181802,20.0,20.0,185.67391304347848,23.0,182520.0,23.0,8587.000000000011,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PR607|21:06:09.000,20260521,21:06:09.000,21:06:10.000,PR,PR607,369000,740,741,369000,interval_execution_drop,8299.0,3.7064999999999997,5,"PR608,PR609,PR606,PR610,PR611",20,251,290.0,8296.0,8061.2692307692305,1.5,3.614893360645861,118.86538461538476,286.45712643784736,8083.964912280701,107.51754385964932,20.0,30.422599999999996,116.24038461538476,52.0,419186.0,52.0,12362.000000000015,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PR607|21:09:56.000,20260521,21:09:56.000,21:09:57.000,PR,PR607,596000,1187,1188,596000,interval_execution_drop,8245.0,5.9304,2,"PR606,PR611",20,281,290.0,8234.0,7981.477477477478,5.5,13.341419041843542,131.7612612612611,319.6149454487837,8004.766666666666,120.11666666666679,20.0,20.0,125.0112612612611,111.0,885944.0,111.0,29250.999999999964,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PR607|21:13:01.000,20260521,21:13:01.000,21:13:02.000,PR,PR607,781000,1549,1550,781000,interval_execution_drop,8204.5,4.8184499999999995,4,"PR608,PR609,PR606,PR610",20,281,290.0,8196.0,7962.641791044776,4.25,10.36016820037784,120.92910447761187,294.7872618139116,8127.615658362989,38.442170818505474,23.7912,20.0,116.92910447761187,134.0,1066994.0,134.0,32408.99999999998,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PR607|21:13:11.000,20260521,21:13:11.000,21:13:12.000,PR,PR607,791000,1568,1569,791000,interval_execution_drop,8204.5,3.3358499999999998,4,"PR608,PR609,PR606,PR610",20,281,290.0,8200.0,7923.5609756097565,2.25,5.484794929611798,140.46951219512175,342.4206525568207,8040.402173913043,82.04891304347848,25.273799999999998,20.0,137.21951219512175,123.0,974598.0,123.0,34555.49999999995,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PR607|21:16:26.000,20260521,21:16:26.000,21:16:27.000,PR,PR607,986000,1945,1946,986000,interval_execution_drop,8207.5,4.8184499999999995,5,"PR608,PR609,PR606,PR610,PR611",20,277,290.0,8188.0,8010.112820512821,9.75,23.758757234236977,98.69358974358965,240.4961065941874,8095.1164383561645,56.191780821917746,23.5412,20.0,94.19358974358965,195.0,1561972.0,195.0,38490.49999999996,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PR608|21:11:23.000,20260521,21:11:23.000,21:11:24.000,PR,PR608,683000,1275,1276,683000,interval_execution_drop,8028.75,9.080924999999999,4,"PR607,PR609,PR606,PR610",20,227,289.0,8032.0,7736.375,-1.625,-4.047952670091858,146.1875,364.1600498209559,7756.235294117647,136.25735294117658,21.2564,41.0888,146.1875,64.0,495128.0,64.0,18712.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PR608|09:15:09.000,20260522,09:15:09.000,09:15:10.000,PR,PR608,44109000,11276,11277,44109000,interval_execution_drop,7836.0,0.7413,5,"PR607,PR609,PR606,PR610,PR611",20,161,290.0,7830.0,7746.514851485149,3.0,7.656967840735069,44.74257425742553,114.19748406693601,7791.308641975309,22.3456790123455,20.0,20.0,42.24257425742553,202.0,1564796.0,202.0,18075.999999999913,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PR609|21:09:35.000,20260521,21:09:35.000,21:09:36.000,PR,PR609,575000,894,895,575000,interval_execution_drop,7855.0,4.4478,4,"PR607,PR608,PR606,PR610",20,117,290.0,7868.0,7622.4,-6.5,-16.54996817313813,116.30000000000018,296.11712285168727,7702.857142857143,76.07142857142844,20.0,27.443199999999997,116.30000000000018,5.0,38112.0,5.0,1163.0000000000018,quote_only_recovered_3s,,4.0,1.0,
