detail_id,commodity,contract,trade_date,candidate_score,candidate_level,sample_status,trigger_reasons,main_reference_contract
AU|AU2502|2025-01-02,AU,AU2502,2025-01-02,60.0,medium,valid,结构失真,AU2502
AU|AU2512|2025-01-02,AU,AU2512,2025-01-02,60.0,medium,valid,结构失真,AU2502
AU|AU2501|2025-01-02,AU,AU2501,2025-01-02,50.0,medium,valid,结构失真；目标合约流动性偏弱,AU2502
AU|AU2504|2025-01-02,AU,AU2504,2025-01-02,0.0,none,valid,无明显触发项,AU2502
AU|AU2506|2025-01-02,AU,AU2506,2025-01-02,0.0,none,valid,无明显触发项,AU2502
AU|AU2508|2025-01-02,AU,AU2508,2025-01-02,0.0,none,valid,无明显触发项,AU2502
AU|AU2510|2025-01-02,AU,AU2510,2025-01-02,0.0,none,valid,无明显触发项,AU2502
AU|AU2503|2025-01-02,AU,AU2503,2025-01-02,0.0,none,invalid_insufficient_history,样本状态=历史样本不足,AU2502
AU|AU2501|2025-01-03,AU,AU2501,2025-01-03,0.0,none,valid,无明显触发项,AU2502
AU|AU2502|2025-01-03,AU,AU2502,2025-01-03,0.0,none,valid,无明显触发项,AU2502
AU|AU2504|2025-01-03,AU,AU2504,2025-01-03,0.0,none,valid,无明显触发项,AU2502
AU|AU2506|2025-01-03,AU,AU2506,2025-01-03,0.0,none,valid,无明显触发项,AU2502
AU|AU2508|2025-01-03,AU,AU2508,2025-01-03,0.0,none,valid,无明显触发项,AU2502
AU|AU2510|2025-01-03,AU,AU2510,2025-01-03,0.0,none,valid,无明显触发项,AU2502
AU|AU2512|2025-01-03,AU,AU2512,2025-01-03,0.0,none,valid,无明显触发项,AU2502
AU|AU2503|2025-01-03,AU,AU2503,2025-01-03,0.0,none,invalid_insufficient_history,样本状态=历史样本不足,AU2502
AU|AU2501|2025-01-06,AU,AU2501,2025-01-06,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,AU2502
AU|AU2502|2025-01-06,AU,AU2502,2025-01-06,0.0,none,valid,无明显触发项,AU2502
AU|AU2504|2025-01-06,AU,AU2504,2025-01-06,0.0,none,valid,无明显触发项,AU2502
AU|AU2506|2025-01-06,AU,AU2506,2025-01-06,0.0,none,valid,无明显触发项,AU2502
AU|AU2508|2025-01-06,AU,AU2508,2025-01-06,0.0,none,valid,无明显触发项,AU2502
AU|AU2510|2025-01-06,AU,AU2510,2025-01-06,0.0,none,valid,无明显触发项,AU2502
AU|AU2512|2025-01-06,AU,AU2512,2025-01-06,0.0,none,valid,无明显触发项,AU2502
AU|AU2503|2025-01-06,AU,AU2503,2025-01-06,0.0,none,invalid_insufficient_history,样本状态=历史样本不足,AU2502
AU|AU2502|2025-01-07,AU,AU2502,2025-01-07,4.0,none,valid,无明显触发项,AU2502
AU|AU2508|2025-01-07,AU,AU2508,2025-01-07,4.0,none,valid,无明显触发项,AU2502
AU|AU2512|2025-01-07,AU,AU2512,2025-01-07,4.0,none,valid,无明显触发项,AU2502
AU|AU2501|2025-01-07,AU,AU2501,2025-01-07,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,AU2502
AU|AU2504|2025-01-07,AU,AU2504,2025-01-07,0.0,none,valid,无明显触发项,AU2502
AU|AU2506|2025-01-07,AU,AU2506,2025-01-07,0.0,none,valid,无明显触发项,AU2502
AU|AU2510|2025-01-07,AU,AU2510,2025-01-07,0.0,none,valid,无明显触发项,AU2502
AU|AU2503|2025-01-07,AU,AU2503,2025-01-07,0.0,none,invalid_insufficient_history,样本状态=历史样本不足,AU2502
AU|AU2501|2025-01-08,AU,AU2501,2025-01-08,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,AU2502
AU|AU2502|2025-01-08,AU,AU2502,2025-01-08,0.0,none,valid,无明显触发项,AU2502
AU|AU2504|2025-01-08,AU,AU2504,2025-01-08,0.0,none,valid,无明显触发项,AU2502
AU|AU2506|2025-01-08,AU,AU2506,2025-01-08,0.0,none,valid,无明显触发项,AU2502
AU|AU2508|2025-01-08,AU,AU2508,2025-01-08,0.0,none,valid,无明显触发项,AU2502
AU|AU2510|2025-01-08,AU,AU2510,2025-01-08,0.0,none,valid,无明显触发项,AU2502
AU|AU2512|2025-01-08,AU,AU2512,2025-01-08,0.0,none,valid,无明显触发项,AU2502
AU|AU2503|2025-01-08,AU,AU2503,2025-01-08,0.0,none,invalid_insufficient_history,样本状态=历史样本不足,AU2502
AU|AU2501|2025-01-09,AU,AU2501,2025-01-09,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,AU2502
AU|AU2502|2025-01-09,AU,AU2502,2025-01-09,0.0,none,valid,无明显触发项,AU2502
AU|AU2504|2025-01-09,AU,AU2504,2025-01-09,0.0,none,valid,无明显触发项,AU2502
AU|AU2506|2025-01-09,AU,AU2506,2025-01-09,0.0,none,valid,无明显触发项,AU2502
AU|AU2508|2025-01-09,AU,AU2508,2025-01-09,0.0,none,valid,无明显触发项,AU2502
AU|AU2510|2025-01-09,AU,AU2510,2025-01-09,0.0,none,valid,无明显触发项,AU2502
AU|AU2512|2025-01-09,AU,AU2512,2025-01-09,0.0,none,valid,无明显触发项,AU2502
AU|AU2503|2025-01-09,AU,AU2503,2025-01-09,0.0,none,invalid_insufficient_history,样本状态=历史样本不足,AU2502
AU|AU2501|2025-01-10,AU,AU2501,2025-01-10,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,AU2502
AU|AU2502|2025-01-10,AU,AU2502,2025-01-10,0.0,none,valid,无明显触发项,AU2502
AU|AU2504|2025-01-10,AU,AU2504,2025-01-10,0.0,none,valid,无明显触发项,AU2502
AU|AU2506|2025-01-10,AU,AU2506,2025-01-10,0.0,none,valid,无明显触发项,AU2502
AU|AU2508|2025-01-10,AU,AU2508,2025-01-10,0.0,none,valid,无明显触发项,AU2502
AU|AU2510|2025-01-10,AU,AU2510,2025-01-10,0.0,none,valid,无明显触发项,AU2502
