detail_id,commodity,contract,trade_date,candidate_score,candidate_level,sample_status,trigger_reasons,main_reference_contract
A|A2503|2025-01-02,A,A2503,2025-01-02,32.0,low,valid,结构失真,A2505
A|A2501|2025-01-02,A,A2501,2025-01-02,0.0,none,valid,目标合约流动性偏弱,A2505
A|A2505|2025-01-02,A,A2505,2025-01-02,0.0,none,valid,无明显触发项,A2505
A|A2507|2025-01-02,A,A2507,2025-01-02,0.0,none,valid,无明显触发项,A2505
A|A2509|2025-01-02,A,A2509,2025-01-02,0.0,none,valid,无明显触发项,A2505
A|A2511|2025-01-02,A,A2511,2025-01-02,0.0,none,valid,无明显触发项,A2505
A|A2503|2025-01-03,A,A2503,2025-01-03,44.0,low,valid,结构失真,A2505
A|A2501|2025-01-03,A,A2501,2025-01-03,0.0,none,valid,目标合约流动性偏弱,A2505
A|A2505|2025-01-03,A,A2505,2025-01-03,0.0,none,valid,无明显触发项,A2505
A|A2507|2025-01-03,A,A2507,2025-01-03,0.0,none,valid,无明显触发项,A2505
A|A2509|2025-01-03,A,A2509,2025-01-03,0.0,none,valid,无明显触发项,A2505
A|A2511|2025-01-03,A,A2511,2025-01-03,0.0,none,valid,无明显触发项,A2505
A|A2511|2025-01-06,A,A2511,2025-01-06,8.0,none,valid,振幅异常,A2505
A|A2501|2025-01-06,A,A2501,2025-01-06,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,A2505
A|A2503|2025-01-06,A,A2503,2025-01-06,0.0,none,valid,无明显触发项,A2505
A|A2505|2025-01-06,A,A2505,2025-01-06,0.0,none,valid,无明显触发项,A2505
A|A2507|2025-01-06,A,A2507,2025-01-06,0.0,none,valid,无明显触发项,A2505
A|A2509|2025-01-06,A,A2509,2025-01-06,0.0,none,valid,无明显触发项,A2505
A|A2507|2025-01-07,A,A2507,2025-01-07,20.0,none,valid,振幅异常,A2505
A|A2509|2025-01-07,A,A2509,2025-01-07,20.0,none,valid,振幅异常,A2505
A|A2511|2025-01-07,A,A2511,2025-01-07,20.0,none,valid,振幅异常,A2505
A|A2505|2025-01-07,A,A2505,2025-01-07,17.0,none,valid,振幅异常,A2505
A|A2503|2025-01-07,A,A2503,2025-01-07,15.0,none,valid,振幅异常,A2505
A|A2501|2025-01-07,A,A2501,2025-01-07,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,A2505
A|A2503|2025-01-08,A,A2503,2025-01-08,44.0,low,valid,结构失真,A2505
A|A2505|2025-01-08,A,A2505,2025-01-08,40.0,low,valid,结构失真,A2505
A|A2501|2025-01-08,A,A2501,2025-01-08,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,A2505
A|A2507|2025-01-08,A,A2507,2025-01-08,0.0,none,valid,无明显触发项,A2505
A|A2509|2025-01-08,A,A2509,2025-01-08,0.0,none,valid,无明显触发项,A2505
A|A2511|2025-01-08,A,A2511,2025-01-08,0.0,none,valid,无明显触发项,A2505
A|A2503|2025-01-09,A,A2503,2025-01-09,60.0,medium,valid,结构失真,A2505
A|A2505|2025-01-09,A,A2505,2025-01-09,40.0,low,valid,结构失真,A2505
A|A2501|2025-01-09,A,A2501,2025-01-09,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,A2505
A|A2507|2025-01-09,A,A2507,2025-01-09,0.0,none,valid,无明显触发项,A2505
A|A2509|2025-01-09,A,A2509,2025-01-09,0.0,none,valid,无明显触发项,A2505
A|A2511|2025-01-09,A,A2511,2025-01-09,0.0,none,valid,无明显触发项,A2505
A|A2503|2025-01-10,A,A2503,2025-01-10,20.0,none,valid,振幅异常,A2505
A|A2505|2025-01-10,A,A2505,2025-01-10,11.0,none,valid,振幅异常,A2505
A|A2507|2025-01-10,A,A2507,2025-01-10,4.0,none,valid,无明显触发项,A2505
A|A2509|2025-01-10,A,A2509,2025-01-10,0.0,none,valid,无明显触发项,A2505
A|A2511|2025-01-10,A,A2511,2025-01-10,0.0,none,valid,无明显触发项,A2505
