trade_id,trade_date,target_contract,hedge_contract,direction,fill_key,fill_time,fill_context,event_label,fill_evidence,target_entry_price,hedge_entry_key,hedge_entry_price,exit_key,exit_time,exit_reason,status,target_exit_price,hedge_exit_price,target_pnl,hedge_pnl,gross_pnl,commission,net_pnl,gross_margin,unhedged_worst_mark_pnl,hedged_worst_mark_pnl,observed_worst_mark_pnl
20260303-AP605-0001,20260303,AP605,AP604,short,43367000,09:02:47.000,normal_quote,normal_move_fill,interval_vwap,10121.0,43368000,9624.0,43369000,09:02:49.000,reversion_exit,closed,9884.0,9604.0,237.0,-20.0,217.0,0.0,217.0,1974.5,0.0,217.0,0.0
20260303-AP605-0002,20260303,AP605,AP604,short,43594000,09:06:34.000,normal_quote,normal_move_fill,interval_vwap,10132.0,43595000,9629.0,43618000,09:06:58.000,reference_invalid_exit,closed,9891.0,9605.0,241.0,-24.0,217.0,0.0,217.0,1976.1000000000001,0.0,214.0,0.0
20260303-AP605-0003,20260303,AP605,AP604,short,43771000,09:09:31.000,normal_quote,normal_move_fill,interval_vwap,10134.0,43772000,9628.0,43773000,09:09:33.000,reversion_exit,closed,9894.0,9607.0,240.0,-21.0,219.0,0.0,219.0,1976.2000000000003,0.0,219.0,0.0
20260303-AP605-0004,20260303,AP605,AP604,short,43947000,09:12:27.000,normal_quote,normal_move_fill,interval_vwap,10144.0,43948000,9641.0,43949000,09:12:29.000,reversion_exit,closed,9915.0,9615.0,229.0,-26.0,203.0,0.0,203.0,1978.5,0.0,203.0,0.0
20260303-AP605-0005,20260303,AP605,AP604,short,43983000,09:13:03.000,normal_quote,normal_move_fill,interval_vwap,10144.0,43984000,9641.0,43985000,09:13:05.000,reversion_exit,closed,9919.0,9619.0,225.0,-22.0,203.0,0.0,203.0,1978.5,0.0,203.0,0.0
20260303-AP605-0006,20260303,AP605,AP604,short,43997000,09:13:17.000,normal_quote,normal_move_fill,interval_vwap,10146.0,43998000,9641.0,43999000,09:13:19.000,reversion_exit,closed,9918.0,9618.0,228.0,-23.0,205.0,0.0,205.0,1978.7,0.0,205.0,0.0
20260303-AP605-0007,20260303,AP605,AP604,short,45420000,09:37:00.000,normal_quote,normal_move_fill,interval_vwap,10169.0,45421000,9701.0,45422000,09:37:02.000,reversion_exit,closed,9935.0,9679.0,234.0,-22.0,212.0,0.0,212.0,1987.0,0.0,212.0,0.0
20260303-AP605-0008,20260303,AP605,AP604,short,46082000,09:48:02.000,normal_quote,normal_move_fill,interval_vwap,10180.0,46083000,9699.0,46084000,09:48:04.000,reversion_exit,closed,9946.0,9673.0,234.0,-26.0,208.0,0.0,208.0,1987.9,0.0,208.0,0.0
20260303-AP605-0009,20260303,AP605,AP604,short,47404000,10:10:04.000,normal_quote,normal_move_fill,interval_vwap,10182.0,47405000,9690.0,47406000,10:10:06.000,reversion_exit,closed,9941.0,9669.0,241.0,-21.0,220.0,0.0,220.0,1987.2,0.0,220.0,0.0
20260303-AP605-0010,20260303,AP605,AP604,short,49210000,10:40:10.000,normal_quote,normal_move_fill,interval_vwap,10230.0,49211000,9739.0,49212000,10:40:12.000,reversion_exit,closed,9999.0,9707.0,231.0,-32.0,199.0,0.0,199.0,1996.9,0.0,199.0,0.0
20260303-AP605-0011,20260303,AP605,AP604,short,49811000,10:50:11.000,normal_quote,normal_move_fill,interval_vwap,10232.0,49812000,9721.0,49813000,10:50:13.000,reversion_exit,closed,10005.0,9712.0,227.0,-9.0,218.0,0.0,218.0,1995.3000000000002,0.0,218.0,0.0
20260303-AP605-0012,20260303,AP605,AP604,long,59472000,13:31:12.000,normal_quote,normal_move_fill,interval_vwap,10131.0,59473000,10084.0,59474000,13:31:14.000,reversion_exit,closed,10371.0,10119.0,240.0,-35.0,205.0,0.0,205.0,2021.5,0.0,205.0,0.0
20260303-AP605-0013,20260303,AP605,AP604,long,59477000,13:31:17.000,normal_quote,normal_move_fill,interval_vwap,10128.0,59478000,10079.0,59479000,13:31:19.000,reference_invalid_exit,closed,10370.0,10121.0,242.0,-42.0,200.0,0.0,200.0,2020.7000000000003,0.0,200.0,0.0
20260303-AP605-0014,20260303,AP605,AP604,long,61192000,13:59:52.000,normal_quote,normal_move_fill,interval_vwap,10144.0,61193000,10084.0,61194000,13:59:54.000,reversion_exit,closed,10391.0,10115.0,247.0,-31.0,216.0,0.0,216.0,2022.8000000000002,0.0,216.0,0.0
20260303-AP605-0015,20260303,AP605,AP604,long,61198000,13:59:58.000,normal_quote,normal_move_fill,interval_vwap,10144.0,61199000,10086.0,61200000,14:00:00.000,reference_invalid_exit,closed,10394.0,10118.0,250.0,-32.0,218.0,0.0,218.0,2023.0,0.0,218.0,0.0
20260303-AP605-0016,20260303,AP605,AP604,long,61453000,14:04:13.000,normal_quote,normal_move_fill,interval_vwap,10188.0,61454000,10120.0,61455000,14:04:15.000,reversion_exit,closed,10420.0,10150.0,232.0,-30.0,202.0,0.0,202.0,2030.8000000000002,0.0,202.0,0.0
20260303-AP605-0017,20260303,AP605,AP604,long,61458000,14:04:18.000,normal_quote,normal_move_fill,interval_vwap,10176.0,61459000,10102.0,61460000,14:04:20.000,reference_invalid_exit,closed,10399.0,10113.0,223.0,-11.0,212.0,0.0,212.0,2027.8000000000002,0.0,212.0,0.0
