trade_id,trade_date,target_contract,hedge_contract,direction,fill_key,fill_time,fill_context,event_label,fill_evidence,target_entry_price,hedge_entry_key,hedge_entry_price,exit_key,exit_time,exit_reason,status,target_exit_price,hedge_exit_price,target_pnl,hedge_pnl,gross_pnl,commission,net_pnl,gross_margin,unhedged_worst_mark_pnl,hedged_worst_mark_pnl,observed_worst_mark_pnl
20260303-AP605-0001,20260303,AP605,AP604,short,43367000,09:02:47.000,normal_quote,normal_move_fill,interval_vwap,10112.0,43368000,9623.0,43370000,09:02:50.000,hedged_exit,closed,9884.0,9606.0,228.0,-17.0,211.0,0.0,211.0,1973.5,0.0,211.0,0.0
20260303-AP605-0002,20260303,AP605,AP604,short,43594000,09:06:34.000,normal_quote,normal_move_fill,interval_vwap,10120.0,43595000,9628.0,43597000,09:06:37.000,hedged_exit,closed,9894.0,9607.0,226.0,-21.0,205.0,0.0,205.0,1974.8000000000002,0.0,205.0,0.0
20260303-AP605-0003,20260303,AP605,AP604,short,43771000,09:09:31.000,normal_quote,normal_move_fill,interval_vwap,10129.0,43772000,9627.0,43774000,09:09:34.000,hedged_exit,closed,9893.0,9608.0,236.0,-19.0,217.0,0.0,217.0,1975.6000000000001,0.0,217.0,0.0
20260303-AP605-0004,20260303,AP605,AP604,short,43947000,09:12:27.000,normal_quote,normal_move_fill,interval_vwap,10134.0,43948000,9640.0,43950000,09:12:30.000,hedged_exit,closed,9913.0,9615.0,221.0,-25.0,196.0,0.0,196.0,1977.4,0.0,196.0,0.0
20260303-AP605-0005,20260303,AP605,AP604,short,43983000,09:13:03.000,normal_quote,normal_move_fill,interval_vwap,10144.0,43984000,9640.0,43986000,09:13:06.000,hedged_exit,closed,9918.0,9620.0,226.0,-20.0,206.0,0.0,206.0,1978.4,0.0,206.0,0.0
20260303-AP605-0006,20260303,AP605,AP604,short,43997000,09:13:17.000,normal_quote,normal_move_fill,interval_vwap,10146.0,43998000,9640.0,44000000,09:13:20.000,hedged_exit,closed,9917.0,9619.0,229.0,-21.0,208.0,0.0,208.0,1978.6,0.0,208.0,0.0
20260303-AP605-0007,20260303,AP605,AP604,short,45420000,09:37:00.000,normal_quote,normal_move_fill,interval_vwap,10150.0,45421000,9700.0,45423000,09:37:03.000,hedged_exit,closed,9934.0,9678.0,216.0,-22.0,194.0,0.0,194.0,1985.0,0.0,194.0,0.0
20260303-AP605-0008,20260303,AP605,AP604,short,45815000,09:43:35.000,normal_quote,normal_move_fill,interval_vwap,10171.0,45816000,9703.0,45818000,09:43:38.000,hedged_exit,closed,9943.0,9672.0,228.0,-31.0,197.0,0.0,197.0,1987.4,0.0,197.0,0.0
20260303-AP605-0009,20260303,AP605,AP604,short,46082000,09:48:02.000,normal_quote,normal_move_fill,interval_vwap,10185.0,46083000,9698.0,46085000,09:48:05.000,hedged_exit,closed,9946.0,9674.0,239.0,-24.0,215.0,0.0,215.0,1988.3000000000002,0.0,215.0,0.0
20260303-AP605-0010,20260303,AP605,AP604,short,47404000,10:10:04.000,normal_quote,normal_move_fill,interval_vwap,10184.0,47405000,9689.0,47407000,10:10:07.000,hedged_exit,closed,9940.0,9670.0,244.0,-19.0,225.0,0.0,225.0,1987.3000000000002,0.0,225.0,0.0
20260303-AP605-0011,20260303,AP605,AP604,short,49099000,10:38:19.000,normal_quote,normal_move_fill,interval_vwap,10204.0,49100000,9719.0,49102000,10:38:22.000,hedged_exit,closed,9984.0,9694.0,220.0,-25.0,195.0,0.0,195.0,1992.3000000000002,0.0,194.0,0.0
20260303-AP605-0012,20260303,AP605,AP604,short,49136000,10:38:56.000,normal_quote,normal_move_fill,interval_vwap,10228.0,49137000,9731.0,49139000,10:38:59.000,hedged_exit,closed,9991.0,9701.0,237.0,-30.0,207.0,0.0,207.0,1995.9,0.0,207.0,0.0
20260303-AP605-0013,20260303,AP605,AP604,short,49210000,10:40:10.000,normal_quote,normal_move_fill,interval_vwap,10233.0,49211000,9738.0,49213000,10:40:13.000,hedged_exit,closed,9996.0,9706.0,237.0,-32.0,205.0,0.0,205.0,1997.1000000000001,0.0,205.0,0.0
20260303-AP605-0014,20260303,AP605,AP604,short,49811000,10:50:11.000,normal_quote,normal_move_fill,interval_vwap,10234.0,49812000,9720.0,49814000,10:50:14.000,hedged_exit,closed,10002.0,9713.0,232.0,-7.0,225.0,0.0,225.0,1995.4,0.0,223.0,0.0
