trade_id,trade_date,target_contract,hedge_contract,direction,fill_key,fill_time,fill_context,event_label,fill_evidence,target_entry_price,hedge_entry_key,hedge_entry_price,exit_key,exit_time,exit_reason,status,target_exit_price,hedge_exit_price,target_pnl,hedge_pnl,gross_pnl,commission,net_pnl,gross_margin,unhedged_worst_mark_pnl,hedged_worst_mark_pnl,observed_worst_mark_pnl
20260305-AP605-0001,20260305,AP605,AP604,short,43286000,09:01:26.000,normal_quote,normal_move_fill,interval_vwap,10632.0,43287000.0,9972.0,43289000,09:01:29.000,hedged_exit,closed,10414.0,9945.0,218.0,-27.0,191.0,0.0,191.0,2060.4,0.0,191.0,0.0
20260305-AP605-0002,20260305,AP605,AP604,short,43512000,09:05:12.000,normal_quote,normal_move_fill,interval_vwap,10653.0,43513000.0,9973.0,43515000,09:05:15.000,hedged_exit,closed,10424.0,9953.0,229.0,-20.0,209.0,0.0,209.0,2062.6,0.0,209.0,0.0
20260305-AP605-0003,20260305,AP605,AP604,short,43546000,09:05:46.000,normal_quote,normal_move_fill,interval_vwap,10664.0,43547000.0,9975.0,43549000,09:05:49.000,hedged_exit,closed,10430.0,9961.0,234.0,-14.0,220.0,0.0,220.0,2063.9,0.0,219.0,0.0
20260305-AP605-0004,20260305,AP605,AP604,short,43571000,09:06:11.000,normal_quote,normal_move_fill,interval_vwap,10654.0,43572000.0,9960.0,43574000,09:06:14.000,hedged_exit,closed,10412.0,9942.0,242.0,-18.0,224.0,0.0,224.0,2061.4,0.0,224.0,0.0
20260305-AP605-0005,20260305,AP605,AP604,short,44112000,09:15:12.000,normal_quote,normal_move_fill,interval_vwap,10645.0,44113000.0,9980.0,44115000,09:15:15.000,hedged_exit,closed,10446.0,9975.0,199.0,-5.0,194.0,0.0,194.0,2062.5,0.0,194.0,0.0
20260305-AP605-0006,20260305,AP605,AP604,short,44272000,09:17:52.000,normal_quote,normal_move_fill,interval_vwap,10681.0,44273000.0,10025.0,44275000,09:17:55.000,hedged_exit,closed,10475.0,9992.0,206.0,-33.0,173.0,0.0,173.0,2070.6000000000004,0.0,173.0,0.0
20260305-AP605-0007,20260305,AP605,AP604,short,44480000,09:21:20.000,normal_quote,normal_move_fill,interval_vwap,10709.0,44481000.0,10059.0,44483000,09:21:23.000,hedged_exit,closed,10492.0,10015.0,217.0,-44.0,173.0,0.0,173.0,2076.8,0.0,173.0,0.0
20260305-AP605-0008,20260305,AP605,AP604,short,44552000,09:22:32.000,normal_quote,normal_move_fill,interval_vwap,10731.0,44553000.0,10054.0,44555000,09:22:35.000,hedged_exit,closed,10516.0,10022.0,215.0,-32.0,183.0,0.0,183.0,2078.5,0.0,183.0,0.0
20260305-AP605-0009,20260305,AP605,AP604,short,46621000,09:57:01.000,normal_quote,normal_move_fill,interval_vwap,10757.0,46622000.0,10097.0,46624000,09:57:04.000,hedged_exit,closed,10559.0,10063.0,198.0,-34.0,164.0,0.0,164.0,2085.4,0.0,160.0,0.0
20260305-AP605-0010,20260305,AP605,AP604,short,47077000,10:04:37.000,normal_quote,normal_move_fill,interval_vwap,10797.0,47078000.0,10083.0,47080000,10:04:40.000,hedged_exit,closed,10603.0,10052.0,194.0,-31.0,163.0,0.0,163.0,2088.0,0.0,163.0,0.0
20260306-AP605-0001,20260306,AP605,AP604,long,43284000,09:01:24.000,normal_quote,normal_move_fill,interval_vwap,10366.0,43285000.0,9954.0,43287000,09:01:27.000,hedged_exit,closed,10586.0,9987.0,220.0,-33.0,187.0,0.0,187.0,2032.0000000000002,0.0,183.0,0.0
20260306-AP605-0002,20260306,AP605,AP604,long,43375000,09:02:55.000,normal_quote,normal_move_fill,interval_vwap,10343.0,43376000.0,9931.0,43378000,09:02:58.000,hedged_exit,closed,10534.0,9955.0,191.0,-24.0,167.0,0.0,167.0,2027.4,0.0,162.0,0.0
20260306-AP605-0003,20260306,AP605,AP604,long,43387000,09:03:07.000,normal_quote,normal_move_fill,interval_vwap,10300.0,43388000.0,9954.0,43390000,09:03:10.000,hedged_exit,closed,10557.0,9982.0,257.0,-28.0,229.0,0.0,229.0,2025.4,0.0,224.0,0.0
20260306-AP605-0004,20260306,AP605,AP604,long,43618000,09:06:58.000,normal_quote,normal_move_fill,interval_vwap,10307.0,43619000.0,9829.0,43621000,09:07:01.000,hedged_exit,closed,10471.0,9874.0,164.0,-45.0,119.0,0.0,119.0,2013.6000000000001,0.0,119.0,0.0
20260309-AP605-0001,20260309,AP605,AP604,short,43346000,09:02:26.000,normal_quote,normal_move_fill,interval_vwap,10698.0,,,43347000,09:02:27.000,hedge_failure_exit,hedge_failure_exit,10535.0,,163.0,,163.0,0.0,163.0,,0.0,,0.0
