detail_id,commodity,contract,trade_date,candidate_score,candidate_level,sample_status,trigger_reasons,main_reference_contract
AU|AU2512|2025-11-17,AU,AU2512,2025-11-17,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2601|2025-11-17,AU,AU2601,2025-11-17,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2602|2025-11-17,AU,AU2602,2025-11-17,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2604|2025-11-17,AU,AU2604,2025-11-17,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2606|2025-11-17,AU,AU2606,2025-11-17,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2608|2025-11-17,AU,AU2608,2025-11-17,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2610|2025-11-17,AU,AU2610,2025-11-17,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2512|2025-11-18,AU,AU2512,2025-11-18,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2601|2025-11-18,AU,AU2601,2025-11-18,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2602|2025-11-18,AU,AU2602,2025-11-18,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2604|2025-11-18,AU,AU2604,2025-11-18,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2606|2025-11-18,AU,AU2606,2025-11-18,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2608|2025-11-18,AU,AU2608,2025-11-18,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2610|2025-11-18,AU,AU2610,2025-11-18,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2612|2025-11-18,AU,AU2612,2025-11-18,0.0,none,invalid_lifecycle_edge,无活跃可比合约；样本状态=生命周期边界无效,AU2512
AU|AU2512|2025-11-19,AU,AU2512,2025-11-19,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2601|2025-11-19,AU,AU2601,2025-11-19,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2602|2025-11-19,AU,AU2602,2025-11-19,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2604|2025-11-19,AU,AU2604,2025-11-19,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2606|2025-11-19,AU,AU2606,2025-11-19,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2608|2025-11-19,AU,AU2608,2025-11-19,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2610|2025-11-19,AU,AU2610,2025-11-19,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2512
AU|AU2612|2025-11-19,AU,AU2612,2025-11-19,0.0,none,invalid_lifecycle_edge,无活跃可比合约；样本状态=生命周期边界无效,AU2512
AU|AU2512|2025-11-20,AU,AU2512,2025-11-20,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2601|2025-11-20,AU,AU2601,2025-11-20,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2602|2025-11-20,AU,AU2602,2025-11-20,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2604|2025-11-20,AU,AU2604,2025-11-20,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2606|2025-11-20,AU,AU2606,2025-11-20,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2608|2025-11-20,AU,AU2608,2025-11-20,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2610|2025-11-20,AU,AU2610,2025-11-20,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2612|2025-11-20,AU,AU2612,2025-11-20,0.0,none,invalid_lifecycle_edge,无活跃可比合约；样本状态=生命周期边界无效,AU2602
AU|AU2512|2025-11-21,AU,AU2512,2025-11-21,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2601|2025-11-21,AU,AU2601,2025-11-21,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2602|2025-11-21,AU,AU2602,2025-11-21,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2604|2025-11-21,AU,AU2604,2025-11-21,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2606|2025-11-21,AU,AU2606,2025-11-21,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2608|2025-11-21,AU,AU2608,2025-11-21,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2610|2025-11-21,AU,AU2610,2025-11-21,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2612|2025-11-21,AU,AU2612,2025-11-21,0.0,none,invalid_lifecycle_edge,无活跃可比合约；样本状态=生命周期边界无效,AU2602
AU|AU2512|2025-11-24,AU,AU2512,2025-11-24,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2601|2025-11-24,AU,AU2601,2025-11-24,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2602|2025-11-24,AU,AU2602,2025-11-24,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2604|2025-11-24,AU,AU2604,2025-11-24,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2606|2025-11-24,AU,AU2606,2025-11-24,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2608|2025-11-24,AU,AU2608,2025-11-24,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2610|2025-11-24,AU,AU2610,2025-11-24,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2612|2025-11-24,AU,AU2612,2025-11-24,0.0,none,invalid_lifecycle_edge,无活跃可比合约；样本状态=生命周期边界无效,AU2602
AU|AU2512|2025-11-25,AU,AU2512,2025-11-25,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2601|2025-11-25,AU,AU2601,2025-11-25,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2602|2025-11-25,AU,AU2602,2025-11-25,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2604|2025-11-25,AU,AU2604,2025-11-25,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2606|2025-11-25,AU,AU2606,2025-11-25,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2608|2025-11-25,AU,AU2608,2025-11-25,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2610|2025-11-25,AU,AU2610,2025-11-25,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2612|2025-11-25,AU,AU2612,2025-11-25,0.0,none,invalid_lifecycle_edge,无活跃可比合约；样本状态=生命周期边界无效,AU2602
AU|AU2512|2025-11-26,AU,AU2512,2025-11-26,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2601|2025-11-26,AU,AU2601,2025-11-26,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2602|2025-11-26,AU,AU2602,2025-11-26,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2604|2025-11-26,AU,AU2604,2025-11-26,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2606|2025-11-26,AU,AU2606,2025-11-26,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2608|2025-11-26,AU,AU2608,2025-11-26,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2610|2025-11-26,AU,AU2610,2025-11-26,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2612|2025-11-26,AU,AU2612,2025-11-26,0.0,none,invalid_lifecycle_edge,无活跃可比合约；样本状态=生命周期边界无效,AU2602
AU|AU2512|2025-11-27,AU,AU2512,2025-11-27,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2601|2025-11-27,AU,AU2601,2025-11-27,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2602|2025-11-27,AU,AU2602,2025-11-27,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2604|2025-11-27,AU,AU2604,2025-11-27,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2606|2025-11-27,AU,AU2606,2025-11-27,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2608|2025-11-27,AU,AU2608,2025-11-27,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2610|2025-11-27,AU,AU2610,2025-11-27,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2612|2025-11-27,AU,AU2612,2025-11-27,0.0,none,invalid_lifecycle_edge,无活跃可比合约；样本状态=生命周期边界无效,AU2602
AU|AU2512|2025-11-28,AU,AU2512,2025-11-28,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2601|2025-11-28,AU,AU2601,2025-11-28,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2602|2025-11-28,AU,AU2602,2025-11-28,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2604|2025-11-28,AU,AU2604,2025-11-28,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2606|2025-11-28,AU,AU2606,2025-11-28,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2608|2025-11-28,AU,AU2608,2025-11-28,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2610|2025-11-28,AU,AU2610,2025-11-28,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2612|2025-11-28,AU,AU2612,2025-11-28,0.0,none,invalid_insufficient_history,无活跃可比合约；样本状态=历史样本不足,AU2602
AU|AU2512|2025-12-01,AU,AU2512,2025-12-01,0.0,none,valid,无明显触发项,AU2602
AU|AU2601|2025-12-01,AU,AU2601,2025-12-01,0.0,none,valid,无明显触发项,AU2602
AU|AU2602|2025-12-01,AU,AU2602,2025-12-01,0.0,none,valid,无明显触发项,AU2602
AU|AU2604|2025-12-01,AU,AU2604,2025-12-01,0.0,none,valid,无明显触发项,AU2602
AU|AU2606|2025-12-01,AU,AU2606,2025-12-01,0.0,none,valid,无明显触发项,AU2602
AU|AU2608|2025-12-01,AU,AU2608,2025-12-01,0.0,none,valid,无明显触发项,AU2602
AU|AU2610|2025-12-01,AU,AU2610,2025-12-01,0.0,none,valid,无明显触发项,AU2602
AU|AU2612|2025-12-01,AU,AU2612,2025-12-01,0.0,none,invalid_insufficient_history,样本状态=历史样本不足,AU2602
AU|AU2512|2025-12-02,AU,AU2512,2025-12-02,0.0,none,valid,无明显触发项,AU2602
AU|AU2601|2025-12-02,AU,AU2601,2025-12-02,0.0,none,valid,无明显触发项,AU2602
AU|AU2602|2025-12-02,AU,AU2602,2025-12-02,0.0,none,valid,无明显触发项,AU2602
AU|AU2604|2025-12-02,AU,AU2604,2025-12-02,0.0,none,valid,无明显触发项,AU2602
AU|AU2606|2025-12-02,AU,AU2606,2025-12-02,0.0,none,valid,无明显触发项,AU2602
AU|AU2608|2025-12-02,AU,AU2608,2025-12-02,0.0,none,valid,无明显触发项,AU2602
AU|AU2610|2025-12-02,AU,AU2610,2025-12-02,0.0,none,valid,无明显触发项,AU2602
AU|AU2612|2025-12-02,AU,AU2612,2025-12-02,0.0,none,invalid_insufficient_history,样本状态=历史样本不足,AU2602
AU|AU2512|2025-12-03,AU,AU2512,2025-12-03,0.0,none,valid,无明显触发项,AU2602
AU|AU2601|2025-12-03,AU,AU2601,2025-12-03,0.0,none,valid,无明显触发项,AU2602
AU|AU2602|2025-12-03,AU,AU2602,2025-12-03,0.0,none,valid,无明显触发项,AU2602
AU|AU2604|2025-12-03,AU,AU2604,2025-12-03,0.0,none,valid,无明显触发项,AU2602
AU|AU2606|2025-12-03,AU,AU2606,2025-12-03,0.0,none,valid,无明显触发项,AU2602
AU|AU2608|2025-12-03,AU,AU2608,2025-12-03,0.0,none,valid,无明显触发项,AU2602
AU|AU2610|2025-12-03,AU,AU2610,2025-12-03,0.0,none,valid,无明显触发项,AU2602
AU|AU2612|2025-12-03,AU,AU2612,2025-12-03,0.0,none,invalid_insufficient_history,样本状态=历史样本不足,AU2602
AU|AU2512|2025-12-04,AU,AU2512,2025-12-04,0.0,none,valid,无明显触发项,AU2602
AU|AU2601|2025-12-04,AU,AU2601,2025-12-04,0.0,none,valid,无明显触发项,AU2602
AU|AU2602|2025-12-04,AU,AU2602,2025-12-04,0.0,none,valid,无明显触发项,AU2602
AU|AU2604|2025-12-04,AU,AU2604,2025-12-04,0.0,none,valid,无明显触发项,AU2602
AU|AU2606|2025-12-04,AU,AU2606,2025-12-04,0.0,none,valid,无明显触发项,AU2602
AU|AU2608|2025-12-04,AU,AU2608,2025-12-04,0.0,none,valid,无明显触发项,AU2602
AU|AU2610|2025-12-04,AU,AU2610,2025-12-04,0.0,none,valid,无明显触发项,AU2602
AU|AU2612|2025-12-04,AU,AU2612,2025-12-04,0.0,none,invalid_insufficient_history,样本状态=历史样本不足,AU2602
AU|AU2512|2025-12-05,AU,AU2512,2025-12-05,0.0,none,valid,无明显触发项,AU2602
AU|AU2601|2025-12-05,AU,AU2601,2025-12-05,0.0,none,valid,无明显触发项,AU2602
AU|AU2602|2025-12-05,AU,AU2602,2025-12-05,0.0,none,valid,无明显触发项,AU2602
AU|AU2604|2025-12-05,AU,AU2604,2025-12-05,0.0,none,valid,无明显触发项,AU2602
AU|AU2606|2025-12-05,AU,AU2606,2025-12-05,0.0,none,valid,无明显触发项,AU2602
AU|AU2608|2025-12-05,AU,AU2608,2025-12-05,0.0,none,valid,无明显触发项,AU2602
AU|AU2610|2025-12-05,AU,AU2610,2025-12-05,0.0,none,valid,无明显触发项,AU2602
AU|AU2612|2025-12-05,AU,AU2612,2025-12-05,0.0,none,invalid_insufficient_history,样本状态=历史样本不足,AU2602
AU|AU2512|2025-12-08,AU,AU2512,2025-12-08,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,AU2602
AU|AU2601|2025-12-08,AU,AU2601,2025-12-08,0.0,none,valid,无明显触发项,AU2602
AU|AU2602|2025-12-08,AU,AU2602,2025-12-08,0.0,none,valid,无明显触发项,AU2602
AU|AU2604|2025-12-08,AU,AU2604,2025-12-08,0.0,none,valid,无明显触发项,AU2602
AU|AU2606|2025-12-08,AU,AU2606,2025-12-08,0.0,none,valid,无明显触发项,AU2602
AU|AU2608|2025-12-08,AU,AU2608,2025-12-08,0.0,none,valid,无明显触发项,AU2602
AU|AU2610|2025-12-08,AU,AU2610,2025-12-08,0.0,none,valid,无明显触发项,AU2602
AU|AU2612|2025-12-08,AU,AU2612,2025-12-08,0.0,none,invalid_insufficient_history,样本状态=历史样本不足,AU2602
AU|AU2512|2025-12-09,AU,AU2512,2025-12-09,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,AU2602
