commodity,contract,trade_date,candidate_score,candidate_level,sample_status,trigger_reasons,main_reference_contract
AU,AU2604,2026-01-05,50.0,medium,valid,结构失真,AU2602
AU,AU2601,2026-01-05,0.0,none,valid,目标合约流动性偏弱,AU2602
AU,AU2602,2026-01-05,0.0,none,valid,无明显触发项,AU2602
AU,AU2606,2026-01-05,0.0,none,valid,无明显触发项,AU2602
AU,AU2608,2026-01-05,0.0,none,valid,无明显触发项,AU2602
AU,AU2610,2026-01-05,0.0,none,valid,无明显触发项,AU2602
AU,AU2612,2026-01-05,0.0,none,valid,无明显触发项,AU2602
AU,AU2603,2026-01-05,0.0,none,valid,无明显触发项,AU2602
AU,AU2604,2026-01-06,32.0,low,valid,结构失真,AU2602
AU,AU2601,2026-01-06,0.0,none,invalid_lifecycle_edge,样本状态=invalid_lifecycle_edge,AU2602
AU,AU2602,2026-01-06,0.0,none,valid,无明显触发项,AU2602
AU,AU2606,2026-01-06,0.0,none,valid,无明显触发项,AU2602
AU,AU2608,2026-01-06,0.0,none,valid,无明显触发项,AU2602
AU,AU2610,2026-01-06,0.0,none,valid,无明显触发项,AU2602
AU,AU2612,2026-01-06,0.0,none,valid,无明显触发项,AU2602
AU,AU2603,2026-01-06,0.0,none,valid,无明显触发项,AU2602
AU,AU2604,2026-01-07,20.0,none,valid,结构失真,AU2602
AU,AU2610,2026-01-07,12.0,none,valid,无明显触发项,AU2602
AU,AU2608,2026-01-07,5.0,none,valid,无明显触发项,AU2602
AU,AU2601,2026-01-07,0.0,none,invalid_lifecycle_edge,样本状态=invalid_lifecycle_edge,AU2602
AU,AU2602,2026-01-07,0.0,none,valid,无明显触发项,AU2602
AU,AU2606,2026-01-07,0.0,none,valid,无明显触发项,AU2602
AU,AU2612,2026-01-07,0.0,none,valid,无明显触发项,AU2602
AU,AU2603,2026-01-07,0.0,none,valid,无明显触发项,AU2602
AU,AU2610,2026-01-08,12.0,none,valid,无明显触发项,AU2602
AU,AU2612,2026-01-08,12.0,none,valid,无明显触发项,AU2602
AU,AU2601,2026-01-08,0.0,none,invalid_lifecycle_edge,样本状态=invalid_lifecycle_edge,AU2602
AU,AU2602,2026-01-08,0.0,none,valid,无明显触发项,AU2602
AU,AU2604,2026-01-08,0.0,none,valid,无明显触发项,AU2602
AU,AU2606,2026-01-08,0.0,none,valid,无明显触发项,AU2602
AU,AU2608,2026-01-08,0.0,none,valid,无明显触发项,AU2602
AU,AU2603,2026-01-08,0.0,none,valid,无明显触发项,AU2602
AU,AU2604,2026-01-09,5.0,none,valid,无明显触发项,AU2602
AU,AU2602,2026-01-09,0.0,none,valid,无明显触发项,AU2602
AU,AU2606,2026-01-09,0.0,none,valid,无明显触发项,AU2602
AU,AU2608,2026-01-09,0.0,none,valid,无明显触发项,AU2602
AU,AU2610,2026-01-09,0.0,none,valid,无明显触发项,AU2602
AU,AU2612,2026-01-09,0.0,none,valid,无明显触发项,AU2602
AU,AU2603,2026-01-09,0.0,none,valid,无明显触发项,AU2602
AU,AU2602,2026-01-12,41.0,low,valid,结构失真,AU2602
AU,AU2604,2026-01-12,9.0,none,valid,振幅异常,AU2602
AU,AU2606,2026-01-12,9.0,none,valid,振幅异常,AU2602
AU,AU2608,2026-01-12,9.0,none,valid,振幅异常,AU2602
AU,AU2610,2026-01-12,9.0,none,valid,振幅异常,AU2602
AU,AU2612,2026-01-12,9.0,none,valid,振幅异常,AU2602
AU,AU2601,2026-01-12,0.0,none,invalid_lifecycle_edge,样本状态=invalid_lifecycle_edge,AU2602
AU,AU2603,2026-01-12,0.0,none,valid,无明显触发项,AU2602
AU,AU2602,2026-01-13,50.0,medium,valid,结构失真,AU2602
AU,AU2604,2026-01-13,0.0,none,valid,无明显触发项,AU2602
AU,AU2606,2026-01-13,0.0,none,valid,无明显触发项,AU2602
AU,AU2608,2026-01-13,0.0,none,valid,无明显触发项,AU2602
AU,AU2610,2026-01-13,0.0,none,valid,无明显触发项,AU2602
AU,AU2612,2026-01-13,0.0,none,valid,无明显触发项,AU2602
AU,AU2603,2026-01-13,0.0,none,valid,无明显触发项,AU2602
AU,AU2602,2026-01-14,60.0,medium,valid,结构失真,AU2602
AU,AU2603,2026-01-14,60.0,medium,valid,结构失真,AU2602
AU,AU2604,2026-01-14,5.0,none,valid,无明显触发项,AU2602
AU,AU2601,2026-01-14,0.0,none,invalid_lifecycle_edge,样本状态=invalid_lifecycle_edge,AU2602
AU,AU2606,2026-01-14,0.0,none,valid,无明显触发项,AU2602
AU,AU2608,2026-01-14,0.0,none,valid,无明显触发项,AU2602
AU,AU2610,2026-01-14,0.0,none,valid,无明显触发项,AU2602
AU,AU2612,2026-01-14,0.0,none,valid,无明显触发项,AU2602
AU,AU2602,2026-01-15,12.0,none,valid,无明显触发项,AU2602
AU,AU2604,2026-01-15,0.0,none,valid,无明显触发项,AU2602
AU,AU2606,2026-01-15,0.0,none,valid,无明显触发项,AU2602
AU,AU2608,2026-01-15,0.0,none,valid,无明显触发项,AU2602
AU,AU2610,2026-01-15,0.0,none,valid,无明显触发项,AU2602
AU,AU2612,2026-01-15,0.0,none,valid,无明显触发项,AU2602
AU,AU2603,2026-01-15,0.0,none,valid,无明显触发项,AU2602
AU,AU2602,2026-01-16,40.0,low,valid,结构失真,AU2602
AU,AU2603,2026-01-16,12.0,none,valid,无明显触发项,AU2602
AU,AU2604,2026-01-16,0.0,none,valid,无明显触发项,AU2602
AU,AU2606,2026-01-16,0.0,none,valid,无明显触发项,AU2602
AU,AU2608,2026-01-16,0.0,none,valid,无明显触发项,AU2602
AU,AU2610,2026-01-16,0.0,none,valid,无明显触发项,AU2602
AU,AU2612,2026-01-16,0.0,none,valid,无明显触发项,AU2602
AU,AU2702,2026-01-16,0.0,none,invalid_lifecycle_edge,样本状态=invalid_lifecycle_edge,AU2602
AU,AU2610,2026-01-19,50.0,medium,valid,振幅异常；结构失真,AU2604
AU,AU2612,2026-01-19,16.0,none,valid,振幅异常,AU2604
AU,AU2602,2026-01-19,12.0,none,valid,振幅异常,AU2604
AU,AU2604,2026-01-19,12.0,none,valid,振幅异常,AU2604
AU,AU2606,2026-01-19,12.0,none,valid,振幅异常,AU2604
AU,AU2608,2026-01-19,12.0,none,valid,振幅异常,AU2604
AU,AU2603,2026-01-19,12.0,none,valid,振幅异常,AU2604
AU,AU2702,2026-01-19,0.0,none,invalid_lifecycle_edge,样本状态=invalid_lifecycle_edge,AU2604
AU,AU2602,2026-01-20,60.0,medium,valid,结构失真,AU2604
AU,AU2604,2026-01-20,0.0,none,valid,无明显触发项,AU2604
AU,AU2606,2026-01-20,0.0,none,valid,无明显触发项,AU2604
AU,AU2608,2026-01-20,0.0,none,valid,无明显触发项,AU2604
AU,AU2610,2026-01-20,0.0,none,valid,无明显触发项,AU2604
AU,AU2612,2026-01-20,0.0,none,valid,无明显触发项,AU2604
AU,AU2603,2026-01-20,0.0,none,valid,无明显触发项,AU2604
