commodity,contract,trade_date,candidate_score,candidate_level,trigger_reasons,main_reference_contract
AU,AU2602,2026-01-12,40.0,low,结构失真,AU2602
AU,AU2603,2026-01-26,41.0,low,振幅异常；回归迹象明显,AU2604
AU,AU2604,2026-01-27,56.0,low,回归迹象明显；结构失真,AU2604
AU,AU2604,2026-01-28,43.0,low,振幅异常；结构失真,AU2604
AU,AU2603,2026-01-29,51.0,low,振幅异常；回归迹象明显；结构失真,AU2604
AU,AU2606,2026-01-30,65.0,medium,振幅异常；回归迹象明显；结构失真,AU2604
AU,AU2604,2026-01-30,60.0,medium,振幅异常；结构失真,AU2604
AU,AU2603,2026-01-30,40.0,low,振幅异常；结构失真,AU2604
AU,AU2603,2026-03-12,56.0,low,振幅异常；回归迹象明显；结构失真；邻近参考不足；样本状态=invalid_lifecycle_edge,AU2604
AU,AU2604,2026-03-12,40.0,low,结构失真,AU2604
AU,AU2608,2026-03-20,41.0,low,振幅异常；回归迹象明显,AU2604
AU,AU2610,2026-03-20,41.0,low,振幅异常；回归迹象明显,AU2604
AU,AU2606,2026-05-20,85.0,high,振幅异常；回归迹象明显；结构失真；邻近参考不足,AU2606
AU,AU2608,2026-05-20,51.0,low,回归迹象明显；结构失真,AU2606
AU,AU2702,2026-05-20,48.0,low,回归迹象明显；结构失真,AU2606
AU,AU2610,2026-05-20,45.0,low,回归迹象明显；结构失真,AU2606
AU,AU2612,2026-05-20,40.0,low,结构失真,AU2606
