detail_id,commodity,contract,trade_date,candidate_score,candidate_level,sample_status,trigger_reasons,main_reference_contract
CS|CS2409|2024-01-02,CS,CS2409,2024-01-02,8.0,none,valid,振幅异常,CS2403
CS|CS2401|2024-01-02,CS,CS2401,2024-01-02,0.0,none,valid,目标合约流动性偏弱,CS2403
CS|CS2403|2024-01-02,CS,CS2403,2024-01-02,0.0,none,valid,无明显触发项,CS2403
CS|CS2405|2024-01-02,CS,CS2405,2024-01-02,0.0,none,valid,无明显触发项,CS2403
CS|CS2407|2024-01-02,CS,CS2407,2024-01-02,0.0,none,valid,无明显触发项,CS2403
CS|CS2401|2024-01-03,CS,CS2401,2024-01-03,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,CS2403
CS|CS2403|2024-01-03,CS,CS2403,2024-01-03,0.0,none,valid,无明显触发项,CS2403
CS|CS2405|2024-01-03,CS,CS2405,2024-01-03,0.0,none,valid,无明显触发项,CS2403
CS|CS2407|2024-01-03,CS,CS2407,2024-01-03,0.0,none,valid,无明显触发项,CS2403
CS|CS2409|2024-01-03,CS,CS2409,2024-01-03,0.0,none,valid,无明显触发项,CS2403
CS|CS2407|2024-01-04,CS,CS2407,2024-01-04,50.0,medium,valid,结构失真,CS2403
CS|CS2409|2024-01-04,CS,CS2409,2024-01-04,17.0,none,valid,无明显触发项,CS2403
CS|CS2401|2024-01-04,CS,CS2401,2024-01-04,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,CS2403
CS|CS2403|2024-01-04,CS,CS2403,2024-01-04,0.0,none,valid,无明显触发项,CS2403
CS|CS2405|2024-01-04,CS,CS2405,2024-01-04,0.0,none,valid,无明显触发项,CS2403
CS|CS2409|2024-01-05,CS,CS2409,2024-01-05,34.0,low,valid,结构失真,CS2403
CS|CS2401|2024-01-05,CS,CS2401,2024-01-05,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,CS2403
CS|CS2403|2024-01-05,CS,CS2403,2024-01-05,0.0,none,valid,无明显触发项,CS2403
CS|CS2405|2024-01-05,CS,CS2405,2024-01-05,0.0,none,valid,无明显触发项,CS2403
CS|CS2407|2024-01-05,CS,CS2407,2024-01-05,0.0,none,valid,无明显触发项,CS2403
CS|CS2403|2024-01-08,CS,CS2403,2024-01-08,3.0,none,valid,无明显触发项,CS2403
CS|CS2409|2024-01-08,CS,CS2409,2024-01-08,3.0,none,valid,无明显触发项,CS2403
CS|CS2401|2024-01-08,CS,CS2401,2024-01-08,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,CS2403
CS|CS2405|2024-01-08,CS,CS2405,2024-01-08,0.0,none,valid,无明显触发项,CS2403
CS|CS2407|2024-01-08,CS,CS2407,2024-01-08,0.0,none,valid,无明显触发项,CS2403
CS|CS2409|2024-01-09,CS,CS2409,2024-01-09,64.0,medium,valid,结构失真,CS2403
CS|CS2403|2024-01-09,CS,CS2403,2024-01-09,0.0,none,valid,无明显触发项,CS2403
CS|CS2405|2024-01-09,CS,CS2405,2024-01-09,0.0,none,valid,无明显触发项,CS2403
CS|CS2407|2024-01-09,CS,CS2407,2024-01-09,0.0,none,valid,无明显触发项,CS2403
