detail_id,commodity,contract,trade_date,candidate_score,candidate_level,trigger_reasons,main_reference_contract
CS|CS2407|2024-01-04,CS,CS2407,2024-01-04,50.0,medium,结构失真,CS2403
CS|CS2409|2024-01-05,CS,CS2409,2024-01-05,34.0,low,结构失真,CS2403
CS|CS2409|2024-01-09,CS,CS2409,2024-01-09,64.0,medium,结构失真,CS2403
CS|CS2405|2024-01-10,CS,CS2405,2024-01-10,60.0,medium,结构失真,CS2403
CS|CS2409|2024-01-18,CS,CS2409,2024-01-18,35.0,low,振幅异常；结构失真,CS2403
CS|CS2407|2024-01-30,CS,CS2407,2024-01-30,60.0,medium,结构失真,CS2403
CS|CS2409|2024-01-31,CS,CS2409,2024-01-31,80.0,high,振幅异常；结构失真,CS2403
CS|CS2403|2024-02-01,CS,CS2403,2024-02-01,60.0,medium,结构失真,CS2403
CS|CS2405|2024-02-01,CS,CS2405,2024-02-01,40.0,low,结构失真,CS2403
CS|CS2407|2024-02-01,CS,CS2407,2024-02-01,40.0,low,结构失真,CS2403
CS|CS2403|2024-02-02,CS,CS2403,2024-02-02,34.0,low,结构失真,CS2403
CS|CS2403|2024-02-05,CS,CS2403,2024-02-05,60.0,medium,结构失真,CS2403
CS|CS2405|2024-02-05,CS,CS2405,2024-02-05,44.0,low,结构失真,CS2403
CS|CS2403|2024-02-06,CS,CS2403,2024-02-06,34.0,low,结构失真,CS2403
CS|CS2403|2024-02-07,CS,CS2403,2024-02-07,60.0,medium,结构失真,CS2405
CS|CS2405|2024-02-07,CS,CS2405,2024-02-07,40.0,low,结构失真,CS2405
CS|CS2407|2024-02-07,CS,CS2407,2024-02-07,40.0,low,结构失真,CS2405
CS|CS2403|2024-02-08,CS,CS2403,2024-02-08,60.0,medium,结构失真,CS2405
CS|CS2405|2024-02-08,CS,CS2405,2024-02-08,45.0,low,结构失真,CS2405
CS|CS2405|2024-02-27,CS,CS2405,2024-02-27,32.0,low,结构失真,CS2405
CS|CS2407|2024-03-20,CS,CS2407,2024-03-20,55.0,medium,结构失真,CS2405
CS|CS2405|2024-04-01,CS,CS2405,2024-04-01,55.0,medium,结构失真,CS2405
CS|CS2405|2024-04-02,CS,CS2405,2024-04-02,55.0,medium,结构失真,CS2405
CS|CS2405|2024-04-09,CS,CS2405,2024-04-09,40.0,low,结构失真,CS2405
CS|CS2407|2024-04-09,CS,CS2407,2024-04-09,40.0,low,结构失真,CS2405
CS|CS2405|2024-04-11,CS,CS2405,2024-04-11,55.0,medium,结构失真,CS2405
CS|CS2407|2024-04-11,CS,CS2407,2024-04-11,55.0,medium,结构失真,CS2405
CS|CS2409|2024-04-18,CS,CS2409,2024-04-18,55.0,medium,结构失真,CS2405
CS|CS2409|2024-04-23,CS,CS2409,2024-04-23,55.0,medium,结构失真,CS2407
CS|CS2409|2024-04-24,CS,CS2409,2024-04-24,55.0,medium,结构失真,CS2407
CS|CS2409|2024-04-25,CS,CS2409,2024-04-25,55.0,medium,结构失真,CS2407
CS|CS2407|2024-05-06,CS,CS2407,2024-05-06,40.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-05-10,CS,CS2409,2024-05-10,40.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-05-13,CS,CS2407,2024-05-13,40.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-05-14,CS,CS2409,2024-05-14,50.0,medium,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-05-17,CS,CS2407,2024-05-17,35.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-05-17,CS,CS2409,2024-05-17,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-05-20,CS,CS2407,2024-05-20,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-05-20,CS,CS2409,2024-05-20,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-05-21,CS,CS2407,2024-05-21,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-05-21,CS,CS2409,2024-05-21,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-05-22,CS,CS2409,2024-05-22,35.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-05-22,CS,CS2407,2024-05-22,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-05-23,CS,CS2409,2024-05-23,40.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-05-23,CS,CS2407,2024-05-23,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-05-24,CS,CS2407,2024-05-24,40.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-05-27,CS,CS2407,2024-05-27,50.0,medium,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-05-27,CS,CS2409,2024-05-27,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-05-28,CS,CS2409,2024-05-28,50.0,medium,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-05-28,CS,CS2407,2024-05-28,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-05-29,CS,CS2409,2024-05-29,50.0,medium,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-05-29,CS,CS2407,2024-05-29,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-05-30,CS,CS2409,2024-05-30,47.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-05-31,CS,CS2409,2024-05-31,50.0,medium,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-05-31,CS,CS2407,2024-05-31,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-06-03,CS,CS2407,2024-06-03,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-06-03,CS,CS2409,2024-06-03,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-06-04,CS,CS2409,2024-06-04,63.0,medium,振幅异常；结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-06-06,CS,CS2409,2024-06-06,50.0,medium,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-06-07,CS,CS2409,2024-06-07,35.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-06-07,CS,CS2407,2024-06-07,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-06-11,CS,CS2407,2024-06-11,34.0,low,振幅异常；结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-06-11,CS,CS2409,2024-06-11,34.0,low,振幅异常；结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-06-12,CS,CS2407,2024-06-12,40.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-06-12,CS,CS2409,2024-06-12,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-06-13,CS,CS2407,2024-06-13,34.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-06-13,CS,CS2409,2024-06-13,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-06-17,CS,CS2407,2024-06-17,50.0,medium,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2409|2024-06-17,CS,CS2409,2024-06-17,30.0,low,结构失真；可比合约不足；仅1个活跃可比合约,CS2407
CS|CS2407|2024-06-18,CS,CS2407,2024-06-18,32.0,low,振幅异常；结构失真；可比合约不足；仅1个活跃可比合约,CS2409
