检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA607|21:05:07.000,20260518,21:05:07.000,21:05:08.000,MA,MA607,307000,562,563,307000,interval_execution_drop,2995.0,2.2239,5,"MA609,MA610,MA608,MA701,MA606",20,130,290.0,2994.0,2841.358974358974,1.0,3.33889816360601,153.64102564102586,512.9917383673652,2937.821052631579,57.17894736842118,20.0,21.2216,151.64102564102586,39.0,110813.0,39.0,5992.000000000009,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA607|21:13:03.000,20260518,21:13:03.000,21:13:04.000,MA,MA607,783000,1317,1318,783000,interval_execution_drop,2988.5,0.7413,5,"MA609,MA610,MA608,MA701,MA606",20,111,290.0,2988.0,2900.9150943396226,0.5,1.6730801405387319,87.58490566037744,293.0731325426717,2901.841121495327,86.65887850467288,20.0,20.0,85.58490566037744,106.0,307497.0,106.0,9284.00000000001,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA609|21:04:14.000,20260518,21:04:14.000,21:04:15.000,MA,MA609,254000,578,579,254000,interval_execution_drop,2923.5,1.4826,5,"MA610,MA607,MA608,MA701,MA606",20,175,244.0,2925.0,2725.84593837535,-1.5,-5.13083632632119,197.65406162464978,676.0870929524534,2802.9400352733687,120.55996472663128,20.0,20.0,197.65406162464978,357.0,973127.0,357.0,70562.49999999997,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA609|21:05:07.000,20260518,21:05:07.000,21:05:08.000,MA,MA609,307000,684,685,307000,interval_execution_drop,2923.0,2.2239,5,"MA610,MA607,MA608,MA701,MA606",20,228,290.0,2922.0,2606.8293650793653,1.0,3.421142661648991,316.1706349206347,1081.6648474876315,2784.6335740072204,138.36642599277957,20.0,20.0,316.1706349206347,252.0,656921.0,252.0,79674.99999999994,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA609|21:08:14.000,20260518,21:08:14.000,21:08:15.000,MA,MA609,494000,1058,1059,494000,interval_execution_drop,2927.5,0.0,5,"MA610,MA607,MA608,MA701,MA606",20,290,290.0,2928.0,2554.0793650793653,-0.5,-1.707941929974381,373.4206349206347,1275.561519797215,2617.6897689768975,309.81023102310246,20.0,20.0,373.4206349206347,252.0,643628.0,252.0,94101.99999999994,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA609|21:12:19.000,20260518,21:12:19.000,21:12:20.000,MA,MA609,739000,1546,1547,739000,interval_execution_drop,2921.0,0.7413,5,"MA610,MA607,MA608,MA701,MA606",20,283,290.0,2921.0,2539.176056338028,0.0,0.0,381.82394366197195,1307.1685849434164,2676.3592677345537,244.64073226544633,20.0,20.0,381.82394366197195,284.0,721126.0,284.0,108438.00000000003,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA609|21:13:52.000,20260518,21:13:52.000,21:13:53.000,MA,MA609,832000,1732,1733,832000,interval_execution_drop,2920.5,0.7413,5,"MA610,MA607,MA608,MA701,MA606",20,286,290.0,2920.0,391.0416666666667,0.5,1.712035610340695,2529.4583333333335,8661.045483079382,1367.5641025641025,1552.9358974358975,20.0,20.0,2528.9583333333335,48.0,18770.0,48.0,121414.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA609|21:30:44.000,20260518,21:30:44.000,21:30:45.000,MA,MA609,1844000,3689,3690,1844000,interval_execution_drop,2922.0,0.7413,5,"MA610,MA607,MA608,MA701,MA606",20,242,290.0,2921.0,510.6164383561644,1.0,3.4223134839151266,2411.3835616438355,8252.510477904982,749.3703703703703,2172.6296296296296,20.0,20.0,2411.3835616438355,73.0,37275.0,73.0,176031.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA609|11:16:16.000,20260519,11:16:16.000,11:16:17.000,MA,MA609,51376000,26082,26083,51376000,interval_execution_drop,2957.5,0.0,2,"MA610,MA701",20,193,290.0,2957.0,2937.0,0.5,1.6906170752324599,20.5,69.31530008453086,2937.0,20.5,20.0,20.5,20.5,14.0,41118.0,14.0,287.0,quote_only_recovered_3s,,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA609|11:16:31.000,20260519,11:16:31.000,11:16:32.000,MA,MA609,51391000,26105,26106,51391000,interval_execution_drop,2958.0,0.7413,5,"MA610,MA607,MA608,MA701,MA606",20,189,290.0,2958.0,2937.0,0.0,0.0,21.0,70.99391480730223,2937.0,21.0,20.0,20.5,21.0,50.0,146850.0,50.0,1050.0,quote_only_recovered_3s,,9.0,1.0,
