检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2607|14:57:34.500,20260519,14:57:34.500,,NI,NI2607,64654500,55506,55506,64654500,visible_execution_drop,145475.0,2.2238999999999995,5,"NI2606,NI2609,NI2608,NI2610,NI2612",20,570,290.0,145230.0,145297.57142857142,24.5,16.84138168070115,17.742857142857975,12.196499153021463,,,24.2216,22.49917142856608,22.696153846153173,70.0,10170830.0,70.0,12420.000000000582,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI607|21:14:14.000,20260518,21:14:14.000,21:14:15.000,OI,OI607,854000,1502,1503,854000,interval_execution_drop,9580.0,1.4826,5,"OI609,OI701,OI611,OI703,OI605",20,102,289.0,9581.0,8672.0,-1.0,-1.0438413361169103,908.0,947.8079331941545,8976.0,604.0,20.0,20.0,908.0,2.0,17344.0,2.0,1816.0,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI607|21:15:48.000,20260518,21:15:48.000,21:15:49.000,OI,OI607,948000,1671,1672,948000,interval_execution_drop,9567.0,0.7413,5,"OI609,OI701,OI611,OI703,OI605",20,117,290.0,9568.0,8919.666666666666,-1.0,-1.0452597470471412,647.3333333333339,676.6314762551834,9334.25,232.75,20.0,24.151999999999997,647.3333333333339,3.0,26759.0,3.0,1942.0000000000018,quote_only_recovered_3s,,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI607|21:21:51.000,20260518,21:21:51.000,21:21:52.000,OI,OI607,1311000,2204,2205,1311000,interval_execution_drop,9567.5,0.7413,5,"OI609,OI701,OI611,OI703,OI605",20,107,290.0,9568.0,8414.0,-0.5,-0.5226025607525477,1153.5,1205.6441076561275,8803.0,764.5,20.0,24.5824,1153.5,2.0,16828.0,2.0,2307.0,truncated,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI607|21:28:36.000,20260518,21:28:36.000,21:28:37.000,OI,OI607,1716000,2772,2772,1716000,interval_execution_drop,9567.25,0.37065,4,"OI609,OI611,OI703,OI605",20,102,290.0,9567.0,6846.0,0.25,0.26130810839060337,2721.25,2844.3387598317177,8212.5,1354.75,20.0,20.0,2721.25,1.0,6846.0,1.0,2721.25,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|21:03:03.000,20260518,21:03:03.000,21:03:04.000,OI,OI609,183000,406,407,183000,interval_execution_drop,9557.0,0.7413,4,"OI607,OI701,OI611,OI703",20,104,173.0,9556.0,9316.030303030304,1.0,1.0463534581981793,240.9696969696961,252.1394757452088,9429.852459016394,127.14754098360572,20.0,20.0,240.9696969696961,33.0,307429.0,33.0,7951.999999999971,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|21:04:09.000,20260518,21:04:09.000,21:04:10.000,OI,OI609,249000,536,537,249000,interval_execution_drop,9554.75,1.11195,4,"OI607,OI701,OI611,OI703",20,167,239.0,9554.0,9484.541666666666,0.75,0.7849498940317642,70.20833333333394,73.48003174686302,9525.036290322581,29.713709677418592,20.0,20.0,70.20833333333394,120.0,1138145.0,120.0,8425.000000000073,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|21:05:12.000,20260518,21:05:12.000,21:05:13.000,OI,OI609,312000,662,663,312000,interval_execution_drop,9554.25,0.37065,4,"OI607,OI701,OI611,OI703",20,220,290.0,9553.0,4283.5,1.25,1.308318287673025,5270.75,5516.654891802077,8053.857142857143,1500.3928571428569,20.0,20.0,5270.75,2.0,8567.0,2.0,10541.5,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|21:06:16.000,20260518,21:06:16.000,21:06:17.000,OI,OI609,376000,790,791,376000,interval_execution_drop,9549.0,0.37065,4,"OI607,OI701,OI611,OI703",20,277,290.0,9549.0,9345.309090909092,0.0,0.0,203.69090909090846,213.31124629899307,9389.072463768116,159.927536231884,20.0,20.0,203.69090909090846,55.0,513992.0,55.0,11202.999999999965,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|21:06:47.000,20260518,21:06:47.000,21:06:48.000,OI,OI609,407000,852,853,407000,interval_execution_drop,9547.25,0.7413,4,"OI607,OI701,OI611,OI703",20,277,290.0,9548.0,9392.03947368421,-0.75,-0.7855665243918406,155.21052631579005,162.57092494256466,9411.56976744186,135.68023255813932,20.0,20.0,155.21052631579005,76.0,713795.0,76.0,11796.000000000044,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|21:08:23.000,20260518,21:08:23.000,21:08:24.000,OI,OI609,503000,1039,1040,503000,interval_execution_drop,9554.125,2.2239,4,"OI607,OI701,OI611,OI703",20,271,290.0,9556.0,7508.142857142857,-1.875,-1.9625031072965866,2045.9821428571431,2141.464700176252,8253.90909090909,1300.21590909091,20.0,20.0,2045.9821428571431,7.0,52557.0,7.0,14321.875000000002,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|21:14:34.000,20260518,21:14:34.000,21:14:35.000,OI,OI609,874000,1740,1741,874000,interval_execution_drop,9545.0,2.2239,2,"OI607,OI701",20,273,290.0,9546.0,9172.0625,-1.0,-1.0476689366160294,372.9375,390.71503404924044,9194.764705882353,350.23529411764684,20.0,20.0,372.9375,48.0,440259.0,48.0,17901.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|21:15:16.000,20260518,21:15:16.000,21:15:17.000,OI,OI609,916000,1824,1825,916000,interval_execution_drop,9539.5,0.7413,4,"OI607,OI701,OI611,OI703",20,277,290.0,9540.0,8991.228571428572,-0.5,-0.5241364851407306,548.2714285714283,574.7381189490312,9221.372881355932,318.1271186440681,20.0,20.0,548.2714285714283,35.0,314693.0,35.0,19189.49999999999,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|21:16:39.000,20260518,21:16:39.000,21:16:40.000,OI,OI609,999000,1987,1988,999000,interval_execution_drop,9538.5,0.0,4,"OI607,OI701,OI611,OI703",20,273,290.0,9539.0,8954.371428571429,-0.5,-0.5241914347119568,584.1285714285714,612.3903878267772,9292.7875,245.71249999999964,20.0,28.5824,584.1285714285714,35.0,313403.0,35.0,20444.5,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|21:25:27.000,20260518,21:25:27.000,21:25:28.000,OI,OI609,1527000,2959,2960,1527000,interval_execution_drop,9542.5,0.7413,5,"OI607,OI701,OI611,OI703,OI605",20,251,290.0,9543.0,8668.67857142857,-0.5,-0.5239717055279015,873.8214285714294,915.7154085107984,8802.818181818182,739.681818181818,20.0,20.0,873.8214285714294,28.0,242723.0,28.0,24467.000000000022,quote_only_recovered_3s,,9.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|21:29:58.000,20260518,21:29:58.000,21:29:59.000,OI,OI609,1798000,3444,3444,1798000,interval_execution_drop,9542.5,0.0,3,"OI607,OI701,OI611",20,234,290.0,9543.0,8567.851851851852,-0.5,-0.5239717055279015,974.6481481481478,1021.3761049495916,8666.366666666667,876.1333333333332,20.0,20.0,974.6481481481478,27.0,231332.0,27.0,26315.499999999993,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|09:04:58.000,20260519,09:04:58.000,09:04:59.000,OI,OI609,43498000,12753,12754,43498000,interval_execution_drop,9556.5,0.0,5,"OI607,OI701,OI611,OI703,OI605",20,212,288.0,9557.0,7798.153846153846,-0.5,-0.5232041019201591,1758.3461538461543,1839.9478405756859,8503.692307692309,1052.8076923076915,20.0,20.0,1758.3461538461543,39.0,304128.0,39.0,68575.50000000001,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF607|21:04:06.000,20260518,21:04:06.000,21:04:07.000,PF,PF607,246000,525,526,246000,interval_execution_drop,7999.0,0.0,5,"PF608,PF610,PF609,PF606,PF704",20,162,236.0,8002.0,6906.705882352941,-1.5,-3.7504688086010756,546.1470588235293,1365.538339351242,7754.083333333333,122.45833333333348,20.0,20.0,546.1470588235293,34.0,234828.0,34.0,37137.99999999999,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF607|21:04:33.000,20260518,21:04:33.000,21:04:34.000,PF,PF607,273000,578,579,273000,interval_execution_drop,7997.25,0.7413,4,"PF608,PF610,PF609,PF606",20,189,263.0,8000.0,7793.38947368421,-1.375,-3.43868204695364,101.93026315789484,254.91328433622766,7796.818652849741,100.21567357512959,20.0,20.0,101.93026315789484,190.0,1480744.0,190.0,38733.500000000044,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF607|21:05:51.000,20260518,21:05:51.000,21:05:52.000,PF,PF607,351000,733,734,351000,interval_execution_drop,8003.0,0.0,4,"PF608,PF610,PF609,PF606",20,267,290.0,8004.0,7867.48502994012,-0.5,-1.249531425715357,67.7574850299402,169.33021374469624,7941.329428989751,30.835285505124375,20.0,20.0,67.2574850299402,334.0,2627740.0,334.0,45262.00000000005,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF607|21:06:25.000,20260518,21:06:25.000,21:06:26.000,PF,PF607,385000,801,802,385000,interval_execution_drop,8007.5,0.37065,4,"PF608,PF610,PF609,PF606",20,287,290.0,8008.0,7274.430379746836,-0.25,-0.6244146113019045,366.5348101265822,915.4787639752287,7391.808510638298,307.8457446808511,20.0,20.0,366.5348101265822,79.0,574680.0,79.0,57912.49999999999,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF607|21:07:37.000,20260518,21:07:37.000,21:07:38.000,PF,PF607,457000,942,943,457000,interval_execution_drop,8009.0,0.37065,4,"PF608,PF610,PF609,PF606",20,279,290.0,8010.0,5858.137931034483,-0.5,-1.248595330253465,1075.4310344827586,2685.5563353296507,5996.967741935484,1006.016129032258,20.0,27.117199999999997,1075.4310344827586,29.0,169886.0,29.0,62375.0,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF607|21:10:35.000,20260518,21:10:35.000,21:10:36.000,PF,PF607,635000,1284,1285,635000,interval_execution_drop,7980.0,0.37065,4,"PF608,PF610,PF609,PF606",20,254,290.0,7980.0,7431.256198347108,0.0,0.0,274.3719008264461,687.6488742517446,7554.8441558441555,212.57792207792227,20.0,24.6694,274.3719008264461,121.0,899182.0,121.0,66397.99999999996,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF607|21:12:01.000,20260518,21:12:01.000,21:12:02.000,PF,PF607,721000,1451,1452,721000,interval_execution_drop,7970.0,0.7413,5,"PF608,PF610,PF609,PF606,PF704",20,250,290.0,7972.0,7296.722222222223,-1.0,-2.509410288582183,336.6388888888887,844.7650913146516,7315.891891891892,327.0540540540542,20.0,44.373599999999996,336.1388888888887,108.0,788046.0,108.0,72713.99999999996,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF607|21:13:58.000,20260518,21:13:58.000,21:13:59.000,PF,PF607,838000,1676,1677,838000,interval_execution_drop,7973.0,0.7413,5,"PF608,PF610,PF609,PF606,PF704",20,245,290.0,7974.0,6885.2054794520545,-0.5,-1.2542330364981815,543.8972602739727,1364.347824592933,7054.325581395349,459.3372093023254,20.0,22.3324,543.8972602739727,73.0,502620.0,73.0,79409.00000000001,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF607|21:15:17.000,20260518,21:15:17.000,21:15:18.000,PF,PF607,917000,1827,1828,917000,interval_execution_drop,7970.0,0.7413,5,"PF608,PF610,PF609,PF606,PF704",20,244,290.0,7970.0,7737.79754601227,0.0,0.0,116.10122699386511,291.3456135354206,7858.926910299003,55.53654485049856,20.0,20.0,116.10122699386511,326.0,2522522.0,326.0,75698.00000000006,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF607|21:17:42.000,20260518,21:17:42.000,21:17:43.000,PF,PF607,1062000,2094,2095,1062000,interval_execution_drop,7977.5,1.297275,4,"PF608,PF610,PF609,PF606",20,229,290.0,7978.0,1379.2857142857142,-0.25,-0.6267627702914447,3299.107142857143,8271.030129381743,6217.5,880.0,20.0,20.0,3299.107142857143,14.0,19310.0,14.0,92375.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF607|21:50:54.000,20260518,21:50:54.000,21:50:55.000,PF,PF607,3054000,5378,5379,3054000,interval_execution_drop,7962.0,0.7413,5,"PF608,PF610,PF609,PF606,PF704",20,135,289.0,7958.0,7635.178470254958,2.0,5.023863350916855,163.4107648725212,410.47667639417534,7725.074309978769,118.46284501061564,20.0,20.0,163.4107648725212,353.0,2695218.0,353.0,115367.99999999997,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF607|21:54:37.000,20260518,21:54:37.000,21:54:38.000,PF,PF607,3277000,5726,5727,3277000,interval_execution_drop,7952.0,0.0,4,"PF608,PF610,PF609,PF606",20,161,290.0,7950.0,6691.673076923077,1.0,2.5150905432595576,630.1634615384614,1584.9181628230922,6728.130841121495,611.9345794392525,20.0,20.0,630.1634615384614,104.0,695934.0,104.0,131073.99999999997,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF608|21:05:36.000,20260518,21:05:36.000,21:05:37.000,PF,PF608,336000,682,683,336000,interval_execution_drop,7965.0,0.37065,4,"PF607,PF610,PF609,PF606",20,185,290.0,7964.0,7003.833333333333,0.5,1.2554927809165097,480.5833333333335,1206.7378112575857,7326.555555555556,319.2222222222222,20.0,20.0,480.5833333333335,12.0,84046.0,12.0,11534.000000000004,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF608|21:13:00.000,20260518,21:13:00.000,21:13:01.000,PF,PF608,780000,1488,1489,780000,interval_execution_drop,7935.0,0.0,4,"PF607,PF610,PF609,PF606",20,175,290.0,7934.0,6794.307692307692,0.5,1.260239445494644,570.3461538461538,1437.5454413261596,7429.368421052632,252.81578947368416,20.0,22.367199999999997,570.3461538461538,26.0,176652.0,26.0,29658.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF608|21:14:10.000,20260518,21:14:10.000,21:14:11.000,PF,PF608,850000,1615,1616,850000,interval_execution_drop,7929.0,0.7413,5,"PF607,PF610,PF609,PF606,PF704",20,177,290.0,7930.0,7254.434782608696,-0.5,-1.261193088661874,337.282608695652,850.7569900256074,7549.164556962025,189.9177215189875,20.0,23.5824,337.032608695652,46.0,333704.0,46.0,31029.999999999985,trade_recovered_3s,,2.0,1.0,
