检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP610|09:03:17.000,20260520,09:03:17.000,09:03:18.000,AP,AP610,43397000,393,394,43397000,interval_execution_drop,7400.0,0.0,5,"AP701,AP611,AP705,AP703,AP612",20,115,247.0,7398.0,7047.888888888889,2.0,2.7027027027027026,352.1111111111113,475.82582582582614,7302.032258064516,97.9677419354839,20.0,62.803999999999995,350.8611111111113,18.0,126862.0,18.0,6338.000000000004,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP610|09:05:13.000,20260520,09:05:13.000,09:05:14.000,AP,AP610,43513000,623,624,43513000,interval_execution_drop,7395.0,0.7413,5,"AP701,AP611,AP705,AP703,AP612",20,225,290.0,7396.0,7046.739130434783,-1.0,-1.352265043948614,348.26086956521704,470.9410000881907,7099.814814814815,295.1851851851852,20.0,46.4432,348.26086956521704,23.0,162075.0,23.0,8009.999999999992,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP610|09:07:32.000,20260520,09:07:32.000,09:07:33.000,AP,AP610,43652000,875,876,43652000,interval_execution_drop,7401.5,1.4826,5,"AP701,AP611,AP705,AP703,AP612",20,263,290.0,7401.0,5857.5,0.5,0.6755387421468622,1544.0,2086.06363574951,6244.125,1157.375,20.0,27.617199999999997,1543.625,6.0,35145.0,6.0,9264.0,quote_only_recovered_3s,,7.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP610|09:09:16.000,20260520,09:09:16.000,09:09:17.000,AP,AP610,43756000,1065,1066,43756000,interval_execution_drop,7389.25,2.59455,4,"AP701,AP611,AP705,AP612",20,250,290.0,7387.0,5714.833333333333,2.25,3.0449639679263796,1674.416666666667,2266.0170743535095,6679.5,709.75,20.0,29.0824,1671.416666666667,6.0,34289.0,6.0,10046.500000000002,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP610|09:10:46.000,20260520,09:10:46.000,09:10:47.000,AP,AP610,43846000,1227,1228,43846000,interval_execution_drop,7391.0,0.0,3,"AP701,AP611,AP612",20,236,290.0,7391.0,3764.0,0.0,0.0,3627.0,4907.319713164659,5583.0,1808.0,20.0,22.0808,3627.0,3.0,11292.0,3.0,10881.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP610|09:43:36.000,20260520,09:43:36.000,09:43:37.000,AP,AP610,45816000,3853,3854,45816000,interval_execution_drop,7395.0,0.7413,5,"AP701,AP611,AP705,AP703,AP612",20,120,290.0,7394.0,6697.75,1.0,1.352265043948614,697.25,942.866801893171,6744.766666666666,650.2333333333336,20.0,26.7216,696.25,28.0,187537.0,28.0,19523.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP610|10:11:59.000,20260520,10:11:59.000,10:12:00.000,AP,AP610,47519000,5735,5736,47519000,interval_execution_drop,7390.25,0.37065,4,"AP701,AP611,AP703,AP612",20,116,289.0,7389.0,4373.375,1.25,1.6914177463549946,3016.875,4082.2367308277794,5976.235294117647,1414.0147058823532,20.0,20.0,3016.875,8.0,34987.0,8.0,24135.0,quote_only_recovered_3s,,6.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP610|10:34:09.000,20260520,10:34:09.000,10:34:10.000,AP,AP610,48849000,6405,6406,48849000,interval_execution_drop,7381.5,0.0,3,"AP701,AP611,AP612",20,167,239.0,7381.0,4226.222222222223,0.5,0.67736909842173,3155.2777777777774,4274.575327206905,5018.916666666667,2362.583333333333,20.0,20.0,3155.2777777777774,9.0,38036.0,9.0,28397.499999999996,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP610|10:39:32.000,20260520,10:39:32.000,10:39:33.000,AP,AP610,49172000,6891,6891,49172000,interval_execution_drop,7365.5,0.7413,4,"AP701,AP611,AP703,AP612",20,209,289.0,7365.0,5270.857142857143,0.5,0.6788405403570701,2094.642857142857,2843.8569779958684,6043.636363636364,1321.863636363636,20.0,20.0,2093.392857142857,14.0,73792.0,14.0,29324.999999999996,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP610|10:46:20.000,20260520,10:46:20.000,10:46:21.000,AP,AP610,49580000,7489,7490,49580000,interval_execution_drop,7359.5,1.4826,3,"AP701,AP611,AP612",20,161,290.0,7359.0,5942.545454545455,0.5,0.6793939805693321,1416.954545454545,1925.340777844344,6530.972972972973,828.5270270270266,20.0,20.0,1414.954545454545,22.0,130736.0,22.0,31172.999999999993,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP610|10:46:27.000,20260520,10:46:27.000,10:46:28.000,AP,AP610,49587000,7503,7504,49587000,interval_execution_drop,7351.5,0.7413,4,"AP701,AP611,AP703,AP612",20,164,290.0,7352.0,7296.591715976331,-0.5,-0.680133306128001,54.908284023668784,74.6899054936663,7307.472440944882,44.02755905511822,20.0,20.0,54.658284023668784,338.0,2466248.0,338.0,18559.00000000005,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP610|10:47:13.000,20260520,10:47:13.000,10:47:14.000,AP,AP610,49633000,7591,7592,49633000,interval_execution_drop,7366.0,0.0,3,"AP611,AP703,AP612",20,174,288.0,7370.0,7081.083333333333,-4.0,-5.430355688297583,284.91666666666697,386.79971038103037,7141.410447761194,224.5895522388064,20.0,20.0,284.91666666666697,108.0,764757.0,108.0,30771.000000000033,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP610|10:51:05.000,20260520,10:51:05.000,10:51:06.000,AP,AP610,49865000,7947,7948,49865000,interval_execution_drop,7368.25,0.7413,4,"AP701,AP611,AP703,AP612",20,211,290.0,7368.0,5446.5,0.25,0.33929359074407084,1921.75,2608.1498320496726,5800.045454545455,1568.204545454545,20.0,20.0,1921.75,18.0,98037.0,18.0,34591.5,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AP610|11:04:30.000,20260520,11:04:30.000,11:04:31.000,AP,AP610,50670000,9146,9147,50670000,interval_execution_drop,7374.0,0.37065,4,"AP701,AP611,AP703,AP612",20,244,290.0,7370.0,7105.560283687943,4.0,5.424464334147003,268.4397163120566,364.0354167508226,7127.7908496732025,246.2091503267975,20.0,29.439999999999998,266.9397163120566,141.0,1001884.0,141.0,37849.99999999998,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AU_V1,validated,AU2606|21:04:35.500,20260520,21:04:35.500,21:04:36.500,AU,AU2606,275500,551,551,275500,"visible_execution_drop,interval_execution_drop",995.3300000000002,3.706499999988201,3,"AU2608,AU2610,AU2702",20,353,265.0,993.92,940.5239459459459,70.50000000000978,14.166155948280423,2740.302702702712,550.6319919429158,962.17518699187,1657.7406504065095,24.883250000000004,24.883250000000004,2739.8527027027167,370.0,347993860.0,370.0,20278240.00000007,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AU_V1,validated,AU2608|21:04:35.500,20260520,21:04:35.500,,AU,AU2608,275500,551,551,275500,visible_execution_drop,998.02,1.4825999999944377,2,"AU2610,AU2702",20,297,265.0,997.42,997.8458715596331,30.000000000001137,6.01190356906698,8.706422018343574,1.7447389868627028,,,24.9505,24.9505,28.5000000000025,109.0,108765200.0,109.0,18979.99999998899,trade_recovered_3s,0.5,,1.0,
