检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FG607|21:07:17.000,20260519,21:07:17.000,21:07:18.000,FG,FG607,437000,836,837,437000,interval_execution_drop,940.0,0.7413,5,"FG609,FG608,FG610,FG701,FG606",20,245,290.0,940.0,595.8695652173913,0.0,0.0,344.13043478260875,3660.962072155412,623.48,316.52,20.0,20.0,344.13043478260875,23.0,13705.0,23.0,7915.000000000001,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FG608|21:09:26.000,20260519,21:09:26.000,21:09:27.000,FG,FG608,566000,616,617,566000,interval_execution_drop,1021.5,0.0,3,"FG609,FG607,FG701",20,131,290.0,1021.0,972.48,0.5,4.894762604013706,49.01999999999998,479.88252569750347,973.4509803921569,48.04901960784309,20.0,20.0,49.01999999999998,50.0,48624.0,50.0,2450.999999999999,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FG608|10:03:29.000,20260520,10:03:29.000,10:03:30.000,FG,FG608,47009000,7323,7324,47009000,interval_execution_drop,1016.0,0.7413,4,"FG609,FG607,FG610,FG701",20,105,288.0,1016.0,98.9375,0.0,0.0,917.0625,9026.205708661419,201.61111111111111,814.3888888888889,20.0,20.0,917.0625,32.0,3166.0,32.0,29346.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FG609|21:03:46.000,20260519,21:03:46.000,21:03:47.000,FG,FG609,226000,465,466,226000,interval_execution_drop,1018.5,0.7413,5,"FG607,FG608,FG610,FG701,FG606",20,147,216.0,1018.0,973.3456486042693,0.5,4.909180166912126,45.154351395730714,443.34169264340414,987.8893325727324,30.610667427267572,20.0,20.0,44.654351395730714,1218.0,1185535.0,1218.0,54998.00000000001,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FG609|21:05:38.000,20260519,21:05:38.000,21:05:39.000,FG,FG609,338000,689,690,338000,interval_execution_drop,1018.5,0.7413,5,"FG607,FG608,FG610,FG701,FG606",20,259,290.0,1019.0,968.5824742268042,-0.5,-4.909180166912126,49.91752577319585,490.1082550141959,972.5,46.0,20.0,20.0,49.41752577319585,1552.0,1503240.0,1552.0,77471.99999999996,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FG609|22:40:29.000,20260519,22:40:29.000,22:40:30.000,FG,FG609,6029000,11924,11925,6029000,interval_execution_drop,1020.0,0.7413,5,"FG607,FG608,FG610,FG701,FG606",20,210,290.0,1020.0,741.3727272727273,0.0,0.0,278.6272727272727,2731.639928698752,748.7699115044247,271.2300884955753,20.0,20.0,278.5022727272727,1320.0,978612.0,1320.0,367788.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FG609|13:39:23.000,20260520,13:39:23.000,13:39:24.000,FG,FG609,59963000,31201,31202,59963000,interval_execution_drop,1008.0,0.7413,5,"FG607,FG608,FG610,FG701,FG606",20,290,290.0,1008.0,596.1207276736494,0.0,0.0,411.8792723263506,4086.103892126494,603.6404981050352,404.35950189496475,20.0,20.0,411.3792723263506,1814.0,1081363.0,1814.0,747149.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,IC2606|13:35:13.600,20260520,13:35:13.600,,IC,IC2606,59713600,18228,18228,59713600,visible_execution_drop,8527.9,0.0,3,"IC2609,IC2612,IC2607",20,412,290.0,8522.6,8524.32,26.499999999996362,6.214894639945675,17.899999999999636,4.197985436039268,,,26.221599999978423,22.26799999972598,19.999999999990905,10.0,17048640.0,10.0,7159.9999999998545,trade_recovered_3s,0.5,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,IC2606|14:59:46.600,20260520,14:59:46.600,14:59:47.600,IC,IC2606,64786600,27992,27992,64787600,"visible_execution_drop,interval_execution_drop",8574.150000000001,1.853250000006742,2,"IC2609,IC2612",20,549,290.0,8566.8,8569.166666666666,36.750000000010914,8.572278301641774,24.916666666676974,5.812043565059387,8569.561290322581,22.943548387102055,24.15199999999818,21.435375,28.750000000004547,24.0,41132000.0,31.0,23920.000000009895,trade_recovered_3s,0.5,1.5,1.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,IF2606|13:39:53.600,20260520,13:39:53.600,,IF,IF2606,59993600,18228,18228,59993600,visible_execution_drop,4803.799999999999,2.223899999997977,2,"IF2609,IF2612",20,414,290.0,4799.6,4800.876923076923,20.999999999994543,8.74307839626735,14.615384615381117,6.084926356376668,,,20.0,20.0,17.749999999996362,13.0,18723420.0,13.0,11399.999999997272,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,IM2606|14:18:45.100,20260520,14:18:45.100,,IM,IM2606,62325100,23537,23537,62325100,visible_execution_drop,8650.3,3.7064999999999997,2,"IM2609,IM2612",20,392,289.5,8643.0,8645.577777777777,36.49999999999636,8.439013675825432,23.611111111113132,5.459027111455819,,,29.15199999999818,23.814640000043486,30.374999999989996,36.0,62248160.0,36.0,34000.00000000291,trade_recovered_3s,0.5,,0.5,
