检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA607|21:03:22.000,20260519,21:03:22.000,21:03:23.000,TA,TA607,202000,453,454,202000,interval_execution_drop,6529.0,0.7413,5,"TA609,TA701,TA608,TA610,TA606",20,108,192.0,6528.0,5910.538461538462,0.5,1.5316281206922957,309.23076923076906,947.2530838743116,6183.347826086957,172.82608695652152,20.0,20.0,308.73076923076906,26.0,153674.0,26.0,16079.99999999999,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA607|21:03:49.000,20260519,21:03:49.000,21:03:50.000,TA,TA607,229000,505,506,229000,interval_execution_drop,6519.0,0.7413,5,"TA609,TA701,TA608,TA610,TA606",20,131,219.0,6516.0,6455.070796460177,1.5,4.601932811780948,31.964601769911496,98.06596646697805,6478.84375,20.078125,20.0,20.0,30.464601769911496,226.0,1458846.0,226.0,14447.999999999996,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA607|21:04:18.000,20260519,21:04:18.000,21:04:19.000,TA,TA607,258000,563,564,258000,interval_execution_drop,6514.0,0.7413,5,"TA609,TA701,TA608,TA610,TA606",20,155,248.0,6512.0,6154.2,1.0,3.0703101013202336,179.9000000000001,552.3487872275102,6419.223880597015,47.38805970149269,20.0,20.0,178.9000000000001,60.0,369252.0,60.0,21588.00000000001,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA607|21:55:54.000,20260519,21:55:54.000,21:55:55.000,TA,TA607,3354000,6171,6172,3354000,interval_execution_drop,6526.0,0.7413,5,"TA609,TA701,TA608,TA610,TA606",20,174,290.0,6526.0,6040.650485436893,0.0,0.0,242.6747572815534,743.7166940899584,6075.221719457014,225.38914027149303,20.0,20.0,242.1747572815534,206.0,1244374.0,206.0,99982.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA607|22:04:42.000,20260519,22:04:42.000,22:04:43.000,TA,TA607,3882000,7075,7076,3882000,interval_execution_drop,6527.0,0.7413,5,"TA609,TA701,TA608,TA610,TA606",20,122,290.0,6526.0,6315.314851485148,0.5,1.5320974413972728,105.8425742574259,324.3222744214062,6318.943469785575,104.02826510721252,20.0,20.0,105.3425742574259,505.0,3189234.0,505.0,106901.00000000016,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA607|22:07:32.000,20260519,22:07:32.000,22:07:33.000,TA,TA607,4052000,7401,7402,4052000,interval_execution_drop,6518.0,0.7413,5,"TA609,TA701,TA608,TA610,TA606",20,173,290.0,6518.0,3133.189189189189,0.0,0.0,1692.4054054054054,5193.0205750396,4207.592592592592,1155.203703703704,20.0,20.0,1692.1554054054054,37.0,115928.0,37.0,125238.0,quote_only_recovered_3s,,10.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA607|09:16:21.000,20260520,09:16:21.000,09:16:22.000,TA,TA607,44181000,14068,14069,44181000,interval_execution_drop,6543.0,0.0,5,"TA609,TA701,TA608,TA610,TA606",20,171,290.0,6542.0,5790.376811594203,0.5,1.528350909368791,376.3115942028985,1150.2723344120388,5793.090252707581,374.9548736462093,20.0,20.0,375.3115942028985,276.0,1598144.0,276.0,207723.99999999997,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA609|21:03:41.000,20260519,21:03:41.000,21:03:42.000,TA,TA609,221000,531,532,221000,interval_execution_drop,6365.0,1.4826,5,"TA607,TA701,TA608,TA610,TA606",20,142,211.0,6366.0,4083.1739130434785,-0.5,-1.5710919088766693,1140.9130434782608,3584.958502681102,4934.164383561644,715.4178082191779,20.0,20.0,1140.9130434782608,46.0,187826.0,46.0,104963.99999999999,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA609|21:04:08.000,20260519,21:04:08.000,21:04:09.000,TA,TA609,248000,585,586,248000,interval_execution_drop,6356.0,0.7413,5,"TA607,TA701,TA608,TA610,TA606",20,169,238.0,6358.0,6012.07619047619,-1.0,-3.1466331025802394,171.96190476190486,541.1010219065603,6188.756218905472,83.62189054726377,20.0,20.0,171.96190476190486,315.0,1893804.0,315.0,108336.00000000006,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA609|21:04:44.000,20260519,21:04:44.000,21:04:45.000,TA,TA609,284000,657,658,284000,interval_execution_drop,6369.0,0.7413,5,"TA607,TA701,TA608,TA610,TA606",20,205,274.0,6370.0,5335.8536585365855,-0.5,-1.570105197048202,516.5731707317073,1622.1484400430436,5650.284090909091,359.3579545454545,20.0,22.651999999999997,516.5731707317073,123.0,656310.0,123.0,127076.99999999999,trade_recovered_3s,,2.0,1.0,
