detail_id,commodity,contract,trade_date,candidate_score,candidate_level,sample_status,trigger_reasons,main_reference_contract
JD|JD2411|2024-01-02,JD,JD2411,2024-01-02,60.0,medium,valid,结构失真,JD2402
JD|JD2403|2024-01-02,JD,JD2403,2024-01-02,20.0,none,valid,振幅异常,JD2402
JD|JD2404|2024-01-02,JD,JD2404,2024-01-02,20.0,none,valid,振幅异常,JD2402
JD|JD2405|2024-01-02,JD,JD2405,2024-01-02,20.0,none,valid,振幅异常,JD2402
JD|JD2406|2024-01-02,JD,JD2406,2024-01-02,20.0,none,valid,振幅异常,JD2402
JD|JD2407|2024-01-02,JD,JD2407,2024-01-02,20.0,none,valid,振幅异常,JD2402
JD|JD2408|2024-01-02,JD,JD2408,2024-01-02,20.0,none,valid,振幅异常,JD2402
JD|JD2410|2024-01-02,JD,JD2410,2024-01-02,16.0,none,valid,振幅异常,JD2402
JD|JD2401|2024-01-02,JD,JD2401,2024-01-02,10.0,none,valid,振幅异常；目标合约流动性偏弱,JD2402
JD|JD2402|2024-01-02,JD,JD2402,2024-01-02,5.0,none,valid,无明显触发项,JD2402
JD|JD2409|2024-01-02,JD,JD2409,2024-01-02,4.0,none,valid,无明显触发项,JD2402
JD|JD2412|2024-01-02,JD,JD2412,2024-01-02,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,JD2402
JD|JD2411|2024-01-03,JD,JD2411,2024-01-03,60.0,medium,valid,结构失真,JD2402
JD|JD2406|2024-01-03,JD,JD2406,2024-01-03,20.0,none,valid,振幅异常,JD2402
JD|JD2407|2024-01-03,JD,JD2407,2024-01-03,20.0,none,valid,振幅异常,JD2402
JD|JD2408|2024-01-03,JD,JD2408,2024-01-03,20.0,none,valid,振幅异常,JD2402
JD|JD2410|2024-01-03,JD,JD2410,2024-01-03,20.0,none,valid,振幅异常,JD2402
JD|JD2409|2024-01-03,JD,JD2409,2024-01-03,16.0,none,valid,振幅异常,JD2402
JD|JD2404|2024-01-03,JD,JD2404,2024-01-03,3.0,none,valid,无明显触发项,JD2402
JD|JD2401|2024-01-03,JD,JD2401,2024-01-03,0.0,none,valid,目标合约流动性偏弱,JD2402
JD|JD2402|2024-01-03,JD,JD2402,2024-01-03,0.0,none,valid,无明显触发项,JD2402
JD|JD2403|2024-01-03,JD,JD2403,2024-01-03,0.0,none,valid,无明显触发项,JD2402
JD|JD2405|2024-01-03,JD,JD2405,2024-01-03,0.0,none,valid,无明显触发项,JD2402
JD|JD2412|2024-01-03,JD,JD2412,2024-01-03,0.0,none,invalid_lifecycle_edge,样本状态=生命周期边界无效,JD2402
JD|JD2410|2024-01-04,JD,JD2410,2024-01-04,60.0,medium,valid,结构失真,JD2402
JD|JD2411|2024-01-04,JD,JD2411,2024-01-04,60.0,medium,valid,结构失真,JD2402
JD|JD2404|2024-01-04,JD,JD2404,2024-01-04,40.0,low,valid,结构失真,JD2402
JD|JD2405|2024-01-04,JD,JD2405,2024-01-04,40.0,low,valid,结构失真,JD2402
JD|JD2409|2024-01-04,JD,JD2409,2024-01-04,29.0,none,valid,结构失真,JD2402
JD|JD2408|2024-01-04,JD,JD2408,2024-01-04,17.0,none,valid,无明显触发项,JD2402
JD|JD2407|2024-01-04,JD,JD2407,2024-01-04,12.0,none,valid,无明显触发项,JD2402
JD|JD2401|2024-01-04,JD,JD2401,2024-01-04,0.0,none,valid,目标合约流动性偏弱,JD2402
JD|JD2402|2024-01-04,JD,JD2402,2024-01-04,0.0,none,valid,无明显触发项,JD2402
JD|JD2403|2024-01-04,JD,JD2403,2024-01-04,0.0,none,valid,无明显触发项,JD2402
JD|JD2406|2024-01-04,JD,JD2406,2024-01-04,0.0,none,valid,无明显触发项,JD2402
