commodity,target_contract,T_ticks,W_ticks,D_ticks,S_ticks
AG,AG2604,58,24,34,12
AG,AG2604,58,24,34,24
AG,AG2604,58,32,26,16
AG,AG2604,58,32,26,32
AG,AG2604,71,29,42,15
AG,AG2604,71,29,42,29
AG,AG2604,71,40,31,20
AG,AG2604,71,40,31,40
AG,AG2604,73,30,43,15
AG,AG2604,73,30,43,30
AG,AG2604,73,41,32,21
AG,AG2604,73,41,32,41
AG,AG2605,81,33,48,17
AG,AG2605,81,33,48,33
AG,AG2605,81,45,36,23
AG,AG2605,81,45,36,45
AG,AG2605,83,34,49,17
AG,AG2605,83,34,49,34
AG,AG2605,83,46,37,23
AG,AG2605,83,46,37,46
AG,AG2605,88,36,52,18
AG,AG2605,88,36,52,36
AG,AG2605,88,49,39,25
AG,AG2605,88,49,39,49
AG,AG2606,35,14,21,7
AG,AG2606,35,14,21,14
AG,AG2606,35,20,15,10
AG,AG2606,35,20,15,20
AG,AG2606,43,18,25,9
AG,AG2606,43,18,25,18
AG,AG2606,43,24,19,12
AG,AG2606,43,24,19,24
AG,AG2606,54,22,32,11
AG,AG2606,54,22,32,22
AG,AG2606,54,30,24,15
AG,AG2606,54,30,24,30
AG,AG2608,57,23,34,12
AG,AG2608,57,23,34,23
AG,AG2608,57,32,25,16
AG,AG2608,57,32,25,32
AG,AG2608,70,28,42,14
AG,AG2608,70,28,42,28
AG,AG2608,70,39,31,20
AG,AG2608,70,39,31,39
AG,AG2608,85,34,51,17
AG,AG2608,85,34,51,34
AG,AG2608,85,47,38,24
AG,AG2608,85,47,38,47
AG,AG2610,51,21,30,11
AG,AG2610,51,21,30,21
AG,AG2610,51,29,22,15
AG,AG2610,51,29,22,29
AG,AG2610,73,30,43,15
AG,AG2610,73,30,43,30
AG,AG2610,73,41,32,21
AG,AG2610,73,41,32,41
AG,AG2610,136,55,81,28
AG,AG2610,136,55,81,55
AG,AG2610,136,75,61,38
AG,AG2610,136,75,61,75
AP,AP605,85,34,51,17
AP,AP605,85,34,51,34
AP,AP605,85,47,38,24
AP,AP605,85,47,38,47
AP,AP605,108,44,64,22
AP,AP605,108,44,64,44
AP,AP605,108,60,48,30
AP,AP605,108,60,48,60
AP,AP605,242,97,145,49
AP,AP605,242,97,145,97
AP,AP605,242,134,108,67
AP,AP605,242,134,108,134
AP,AP610,55,22,33,11
AP,AP610,55,22,33,22
AP,AP610,55,31,24,16
AP,AP610,55,31,24,31
AP,AP610,143,58,85,29
AP,AP610,143,58,85,58
AP,AP610,143,79,64,40
AP,AP610,143,79,64,79
AP,AP610,169,68,101,34
AP,AP610,169,68,101,68
AP,AP610,169,93,76,47
AP,AP610,169,93,76,93
AU,AU2604,41,17,24,9
AU,AU2604,41,17,24,17
AU,AU2604,41,23,18,12
AU,AU2604,41,23,18,23
AU,AU2604,48,20,28,10
AU,AU2604,48,20,28,20
AU,AU2604,48,27,21,14
AU,AU2604,48,27,21,27
AU,AU2604,58,24,34,12
AU,AU2604,58,24,34,24
AU,AU2604,58,32,26,16
AU,AU2604,58,32,26,32
AU,AU2606,64,26,38,13
AU,AU2606,64,26,38,26
AU,AU2606,64,36,28,18
AU,AU2606,64,36,28,36
AU,AU2606,92,37,55,19
AU,AU2606,92,37,55,37
AU,AU2606,92,51,41,26
AU,AU2606,92,51,41,51
AU,AU2606,107,43,64,22
AU,AU2606,107,43,64,43
AU,AU2606,107,59,48,30
AU,AU2606,107,59,48,59
B,B2606,52,21,31,11
B,B2606,52,21,31,21
B,B2606,52,29,23,15
B,B2606,52,29,23,29
B,B2606,57,23,34,12
B,B2606,57,23,34,23
B,B2606,57,32,25,16
B,B2606,57,32,25,32
B,B2606,74,30,44,15
B,B2606,74,30,44,30
B,B2606,74,41,33,21
B,B2606,74,41,33,41
BZ,BZ2605,81,33,48,17
BZ,BZ2605,81,33,48,33
BZ,BZ2605,81,45,36,23
BZ,BZ2605,81,45,36,45
BZ,BZ2605,86,35,51,18
BZ,BZ2605,86,35,51,35
BZ,BZ2605,86,48,38,24
BZ,BZ2605,86,48,38,48
BZ,BZ2605,97,39,58,20
BZ,BZ2605,97,39,58,39
BZ,BZ2605,97,54,43,27
BZ,BZ2605,97,54,43,54
EB,EB2604,65,26,39,13
EB,EB2604,65,26,39,26
EB,EB2604,65,36,29,18
EB,EB2604,65,36,29,36
EB,EB2604,81,33,48,17
EB,EB2604,81,33,48,33
EB,EB2604,81,45,36,23
EB,EB2604,81,45,36,45
EB,EB2604,93,38,55,19
EB,EB2604,93,38,55,38
EB,EB2604,93,52,41,26
EB,EB2604,93,52,41,52
EB,EB2605,49,20,29,10
EB,EB2605,49,20,29,20
EB,EB2605,49,27,22,14
EB,EB2605,49,27,22,27
EB,EB2605,62,25,37,13
EB,EB2605,62,25,37,25
EB,EB2605,62,35,27,18
EB,EB2605,62,35,27,35
EB,EB2605,74,30,44,15
EB,EB2605,74,30,44,30
EB,EB2605,74,41,33,21
EB,EB2605,74,41,33,41
EB,EB2606,53,22,31,11
EB,EB2606,53,22,31,22
EB,EB2606,53,30,23,15
EB,EB2606,53,30,23,30
EB,EB2606,83,34,49,17
EB,EB2606,83,34,49,34
EB,EB2606,83,46,37,23
EB,EB2606,83,46,37,46
EB,EB2606,101,41,60,21
EB,EB2606,101,41,60,41
EB,EB2606,101,56,45,28
EB,EB2606,101,56,45,56
EB,EB2607,32,13,19,7
EB,EB2607,32,13,19,13
EB,EB2607,32,18,14,9
EB,EB2607,32,18,14,18
EB,EB2607,35,14,21,7
EB,EB2607,35,14,21,14
EB,EB2607,35,20,15,10
EB,EB2607,35,20,15,20
EB,EB2607,40,16,24,8
EB,EB2607,40,16,24,16
EB,EB2607,40,22,18,11
EB,EB2607,40,22,18,22
FU,FU2606,31,13,18,7
FU,FU2606,31,13,18,13
FU,FU2606,31,18,13,9
FU,FU2606,31,18,13,18
FU,FU2606,37,15,22,8
FU,FU2606,37,15,22,15
FU,FU2606,37,21,16,11
FU,FU2606,37,21,16,21
FU,FU2606,43,18,25,9
FU,FU2606,43,18,25,18
FU,FU2606,43,24,19,12
FU,FU2606,43,24,19,24
L,L2605,30,12,18,6
L,L2605,30,12,18,12
L,L2605,30,17,13,9
L,L2605,30,17,13,17
L,L2605,33,14,19,7
L,L2605,33,14,19,14
L,L2605,33,19,14,10
L,L2605,33,19,14,19
L,L2609,27,11,16,6
L,L2609,27,11,16,11
L,L2609,27,15,12,8
L,L2609,27,15,12,15
L,L2609,36,15,21,8
L,L2609,36,15,21,15
L,L2609,36,20,16,10
L,L2609,36,20,16,20
L,L2609,41,17,24,9
L,L2609,41,17,24,17
L,L2609,41,23,18,12
L,L2609,41,23,18,23
LU,LU2605,45,18,27,9
LU,LU2605,45,18,27,18
LU,LU2605,45,25,20,13
LU,LU2605,45,25,20,25
LU,LU2605,66,27,39,14
LU,LU2605,66,27,39,27
LU,LU2605,66,37,29,19
LU,LU2605,66,37,29,37
LU,LU2605,70,28,42,14
LU,LU2605,70,28,42,28
LU,LU2605,70,39,31,20
LU,LU2605,70,39,31,39
M,M2609,27,11,16,6
M,M2609,27,11,16,11
M,M2609,27,15,12,8
M,M2609,27,15,12,15
M,M2609,32,13,19,7
M,M2609,32,13,19,13
M,M2609,32,18,14,9
M,M2609,32,18,14,18
M,M2609,39,16,23,8
M,M2609,39,16,23,16
M,M2609,39,22,17,11
M,M2609,39,22,17,22
PF,PF605,50,20,30,10
PF,PF605,50,20,30,20
PF,PF605,50,28,22,14
PF,PF605,50,28,22,28
PF,PF605,69,28,41,14
PF,PF605,69,28,41,28
PF,PF605,69,38,31,19
PF,PF605,69,38,31,38
