trade_date,market_time_key,display_time,order_id,parent_order_id,contract,role,side,price,lots,version,event,detail,state
20260302,43277000,09:01:17.000,20260302-AP605-00001,,AP605,target_buy,buy,9684.0,1,1,submit,initial_quote,FLAT_QUOTING
20260302,43277000,09:01:17.000,20260302-AP605-00002,,AP605,target_sell,sell,9854.0,1,1,submit,initial_quote,FLAT_QUOTING
20260302,43278000,09:01:18.000,20260302-AP605-00001,,AP605,target_buy,buy,9684.0,1,1,ack,,FLAT_QUOTING
20260302,43278000,09:01:18.000,20260302-AP605-00002,,AP605,target_sell,sell,9854.0,1,1,ack,,FLAT_QUOTING
20260302,43293000,09:01:33.000,20260302-AP605-00001,,AP605,target_buy,buy,9684.0,1,1,cancel_requested,fair_invalid_or_session_guard,PAUSED
20260302,43293000,09:01:33.000,20260302-AP605-00002,,AP605,target_sell,sell,9854.0,1,1,cancel_requested,fair_invalid_or_session_guard,PAUSED
20260302,43294000,09:01:34.000,20260302-AP605-00001,,AP605,target_buy,buy,9684.0,1,1,cancel_ack,fair_invalid_or_session_guard,PAUSED
20260302,43294000,09:01:34.000,20260302-AP605-00002,,AP605,target_sell,sell,9854.0,1,1,cancel_ack,fair_invalid_or_session_guard,PAUSED
20260302,43300000,09:01:40.000,20260302-AP605-00003,,AP605,target_buy,buy,9679.0,1,2,submit,initial_quote,FLAT_QUOTING
20260302,43300000,09:01:40.000,20260302-AP605-00004,,AP605,target_sell,sell,9849.0,1,2,submit,initial_quote,FLAT_QUOTING
20260302,43301000,09:01:41.000,20260302-AP605-00003,,AP605,target_buy,buy,9679.0,1,2,ack,,FLAT_QUOTING
20260302,43301000,09:01:41.000,20260302-AP605-00004,,AP605,target_sell,sell,9849.0,1,2,ack,,FLAT_QUOTING
20260302,43370000,09:02:50.000,20260302-AP605-00003,,AP605,target_buy,buy,9679.0,1,2,cancel_requested,fair_invalid_or_session_guard,PAUSED
20260302,43370000,09:02:50.000,20260302-AP605-00004,,AP605,target_sell,sell,9849.0,1,2,cancel_requested,fair_invalid_or_session_guard,PAUSED
20260302,43371000,09:02:51.000,20260302-AP605-00003,,AP605,target_buy,buy,9679.0,1,2,cancel_ack,fair_invalid_or_session_guard,PAUSED
20260302,43371000,09:02:51.000,20260302-AP605-00004,,AP605,target_sell,sell,9849.0,1,2,cancel_ack,fair_invalid_or_session_guard,PAUSED
20260302,43441000,09:04:01.000,20260302-AP605-00005,,AP605,target_buy,buy,9693.0,1,3,submit,initial_quote,FLAT_QUOTING
20260302,43441000,09:04:01.000,20260302-AP605-00006,,AP605,target_sell,sell,9863.0,1,3,submit,initial_quote,FLAT_QUOTING
20260302,43442000,09:04:02.000,20260302-AP605-00005,,AP605,target_buy,buy,9693.0,1,3,ack,,FLAT_QUOTING
20260302,43442000,09:04:02.000,20260302-AP605-00006,,AP605,target_sell,sell,9863.0,1,3,ack,,FLAT_QUOTING
20260302,43447000,09:04:07.000,20260302-AP605-00005,,AP605,target_buy,buy,9693.0,1,3,cancel_requested,fair_invalid_or_session_guard,PAUSED
20260302,43447000,09:04:07.000,20260302-AP605-00006,,AP605,target_sell,sell,9863.0,1,3,cancel_requested,fair_invalid_or_session_guard,PAUSED
20260302,43448000,09:04:08.000,20260302-AP605-00005,,AP605,target_buy,buy,9693.0,1,3,cancel_ack,fair_invalid_or_session_guard,PAUSED
