trade_date,market_time_key,display_time,from_state,to_state,reason,grid_anchor,buy_limit,sell_limit,fair_price,order_actions_last_minute
20260302,43140000,08:59:00.000,PAUSED,PAUSED,start,,,,,0
20260302,43277000,09:01:17.000,PAUSED,FLAT_QUOTING,fair_recovered,9769.0,9684.0,9854.0,9769.125,0
20260302,43293000,09:01:33.000,FLAT_QUOTING,PAUSED,fair_invalid_or_session_guard,9769.0,9684.0,9854.0,9765.875,2
20260302,43300000,09:01:40.000,PAUSED,FLAT_QUOTING,fair_recovered,9764.0,9679.0,9849.0,9764.5,4
20260302,43370000,09:02:50.000,FLAT_QUOTING,PAUSED,fair_invalid_or_session_guard,9764.0,9679.0,9849.0,9754.5,0
20260302,43441000,09:04:01.000,PAUSED,FLAT_QUOTING,fair_recovered,9778.0,9693.0,9863.0,9777.5,0
20260302,43447000,09:04:07.000,FLAT_QUOTING,PAUSED,fair_invalid_or_session_guard,9778.0,9693.0,9863.0,,2
20260302,43452000,09:04:12.000,PAUSED,FLAT_QUOTING,fair_recovered,9782.0,9697.0,9867.0,9781.5,4
20260302,43456000,09:04:16.000,FLAT_QUOTING,PAUSED,fair_invalid_or_session_guard,9782.0,9697.0,9867.0,,6
20260302,43489000,09:04:49.000,PAUSED,FLAT_QUOTING,fair_recovered,9778.0,9693.0,9863.0,9777.75,8
20260302,43494000,09:04:54.000,FLAT_QUOTING,PAUSED,fair_invalid_or_session_guard,9778.0,9693.0,9863.0,,10
20260302,43558000,09:05:58.000,PAUSED,FLAT_QUOTING,fair_recovered,9776.0,9691.0,9861.0,9776.5,0
20260302,43560000,09:06:00.000,FLAT_QUOTING,SHORT_PENDING_HEDGE,target_fill,9776.0,9691.0,9861.0,9776.75,3
20260302,43561000,09:06:01.000,SHORT_PENDING_HEDGE,EMERGENCY_FLATTEN,hedge_quote_timeout,9776.0,9691.0,9861.0,,4
20260302,43561000,09:06:01.000,EMERGENCY_FLATTEN,COOLDOWN,hedge_failure_exit,9776.0,9691.0,9861.0,,5
20260302,43562000,09:06:02.000,COOLDOWN,PAUSED,fair_invalid_or_session_guard,9776.0,9691.0,9861.0,,5
