检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:03:58.000,20260407,21:03:58.000,21:03:59.000,PX,PX605,238000,504,505,238000,interval_execution_drop,9862.0,2.2239,5,"PX609,PX607,PX606,PX608,PX610",20,150,228.0,9858.0,9286.8,2.0,4.055972419387548,287.60000000000036,583.2488339079301,9673.718309859154,94.14084507042298,20.0,46.0824,283.60000000000036,50.0,464340.0,50.0,28760.000000000036,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:04:45.000,20260407,21:04:45.000,21:04:46.000,PX,PX605,285000,595,596,285000,interval_execution_drop,9878.0,2.9652,5,"PX609,PX607,PX606,PX608,PX610",20,196,275.0,9868.0,9144.133333333333,5.0,10.123506782749544,366.9333333333334,742.93041776338,9255.509433962265,311.24528301886767,20.0,74.2344,363.4333333333334,45.0,411486.0,45.0,33024.00000000001,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:05:53.000,20260407,21:05:53.000,21:05:54.000,PX,PX605,353000,726,727,353000,interval_execution_drop,9857.0,0.7413,5,"PX609,PX607,PX606,PX608,PX610",20,260,290.0,9856.0,8939.35,0.5,1.0145074566298062,458.8249999999998,930.9627675763413,9318.41791044776,269.29104477611963,20.0,107.8168,456.8249999999998,40.0,357574.0,40.0,36705.999999999985,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:06:23.000,20260407,21:06:23.000,21:06:24.000,PX,PX605,383000,786,787,383000,interval_execution_drop,9838.0,1.4826,5,"PX609,PX607,PX606,PX608,PX610",20,277,290.0,9834.0,9297.304347826086,2.0,4.0658670461475905,270.34782608695696,549.5991585422992,9567.39534883721,135.30232558139505,20.0,101.8168,268.84782608695696,69.0,641514.0,69.0,37308.00000000006,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:07:38.000,20260407,21:07:38.000,21:07:39.000,PX,PX605,458000,932,933,458000,interval_execution_drop,9820.0,0.7413,5,"PX609,PX607,PX606,PX608,PX610",20,280,290.0,9822.0,8896.375,-1.0,-2.0366598778004072,461.8125,940.5549898167006,9116.225806451614,351.8870967741932,20.0,90.60159999999999,461.8125,48.0,427026.0,48.0,44334.0,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:08:53.000,20260407,21:08:53.000,21:08:54.000,PX,PX605,533000,1074,1075,533000,interval_execution_drop,9805.0,1.4826,5,"PX609,PX607,PX606,PX608,PX610",20,279,290.0,9802.0,9295.061224489797,1.5,3.0596634370219276,254.9693877551017,520.0803421827674,9516.124223602485,144.43788819875772,20.0,110.89599999999999,253.4693877551017,98.0,910916.0,98.0,49973.999999999935,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:11:04.000,20260407,21:11:04.000,21:11:05.000,PX,PX605,664000,1324,1325,664000,interval_execution_drop,9815.0,1.4826,5,"PX609,PX607,PX606,PX608,PX610",20,279,290.0,9812.0,9019.921052631578,1.5,3.056546102903719,397.53947368421086,810.0651526932468,9413.791666666666,200.60416666666697,20.0,20.0,397.03947368421086,76.0,685514.0,76.0,60426.00000000005,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:11:47.000,20260407,21:11:47.000,21:11:48.000,PX,PX605,707000,1406,1407,707000,interval_execution_drop,9830.0,0.7413,5,"PX609,PX607,PX606,PX608,PX610",20,277,290.0,9832.0,9148.252631578947,-1.0,-2.0345879959308237,340.87368421052633,693.5375060234513,9480.577777777778,174.71111111111077,20.0,20.0,340.87368421052633,95.0,869084.0,95.0,64766.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:16:10.000,20260407,21:16:10.000,21:16:11.000,PX,PX605,970000,1884,1885,970000,interval_execution_drop,9818.0,0.7413,5,"PX609,PX607,PX606,PX608,PX610",20,236,290.0,9824.0,9268.442857142858,-3.0,-6.111224281931147,274.778571428571,559.7444926228784,9409.416216216216,204.2918918918922,20.0,42.373599999999996,274.778571428571,140.0,1297582.0,140.0,76937.99999999988,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX606|09:06:05.000,20260408,09:06:05.000,09:06:06.000,PX,PX606,43565000,11083,11084,43565000,interval_execution_drop,8940.0,1.4826,4,"PX605,PX609,PX607,PX608",20,142,290.0,8938.0,8863.233333333334,1.0,2.237136465324385,38.38333333333321,85.8687546607007,8780.703703703704,79.64814814814781,37.224799999999995,20.0,37.13333333333321,60.0,531794.0,60.0,4605.999999999985,quote_only_recovered_3s,,5.0,1.0,
