检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|21:04:55.000,20260407,21:04:55.000,21:04:56.000,TA,TA605,295000,630,631,295000,interval_execution_drop,6892.0,2.2239,5,"TA609,TA607,TA606,TA701,TA608",20,216,285.0,6892.0,6031.236111111111,0.0,0.0,430.38194444444434,1248.9319339653057,6463.1080139372825,214.44599303135874,20.0,54.873599999999996,430.38194444444434,144.0,868498.0,144.0,123949.99999999997,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|21:06:36.000,20260407,21:06:36.000,21:06:37.000,TA,TA605,396000,832,833,396000,interval_execution_drop,6844.0,0.7413,5,"TA609,TA607,TA606,TA701,TA608",20,291,290.0,6848.0,6465.725067385445,-2.0,-5.844535359438924,189.13746630727746,552.7103048137857,6673.563535911602,85.21823204419888,20.0,71.09519999999999,189.13746630727746,371.0,2398784.0,371.0,140339.99999999988,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|21:07:01.000,20260407,21:07:01.000,21:07:02.000,TA,TA605,421000,882,883,421000,interval_execution_drop,6838.0,0.7413,5,"TA609,TA607,TA606,TA701,TA608",20,291,290.0,6840.0,6335.432258064516,-1.0,-2.924831822170225,251.28387096774213,734.963062204569,6537.701431492843,150.14928425357857,20.0,69.59519999999999,251.28387096774213,310.0,1963984.0,310.0,155796.00000000012,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|21:08:30.000,20260407,21:08:30.000,21:08:31.000,TA,TA605,510000,1060,1061,510000,interval_execution_drop,6844.0,0.7413,5,"TA609,TA607,TA606,TA701,TA608",20,291,290.0,6842.0,6305.136094674556,1.0,2.922267679719462,269.43195266272187,787.3522871499762,6465.376068376068,189.31196581196582,20.0,69.0256,269.43195266272187,338.0,2131136.0,338.0,182135.99999999997,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|21:09:10.000,20260407,21:09:10.000,21:09:11.000,TA,TA605,550000,1140,1141,550000,interval_execution_drop,6848.0,3.7064999999999997,5,"TA609,TA607,TA606,TA701,TA608",20,291,290.0,6852.0,6298.937853107344,-2.0,-5.841121495327102,274.5310734463278,801.7846771212844,6648.880898876405,99.55955056179755,20.0,51.6648,274.5310734463278,354.0,2229824.0,354.0,194368.0000000001,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|09:11:02.000,20260408,09:11:02.000,09:11:03.000,TA,TA605,43862000,15024,15025,43862000,interval_execution_drop,6404.0,1.4826,5,"TA609,TA607,TA606,TA701,TA608",20,286,290.0,6400.0,6112.659874608151,2.0,6.246096189881324,145.67006269592457,454.9346117923941,6285.927089175547,59.03645541222659,20.0,20.0,143.67006269592457,2552.0,15599508.0,2552.0,743499.9999999991,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA606|21:03:59.000,20260407,21:03:59.000,21:04:00.000,TA,TA606,239000,509,510,239000,interval_execution_drop,6894.0,2.9652,5,"TA605,TA609,TA607,TA701,TA608",20,110,229.0,6888.0,6475.575757575758,3.0,8.703220191470844,209.21212121212102,606.9397192112591,6667.8983050847455,113.05084745762724,20.0,32.652,206.21212121212102,33.0,213694.0,33.0,13807.999999999987,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA606|21:14:46.000,20260407,21:14:46.000,21:14:47.000,TA,TA606,886000,1749,1750,886000,interval_execution_drop,6866.0,0.7413,5,"TA605,TA609,TA607,TA701,TA608",20,111,290.0,6860.0,6530.209302325581,3.0,8.73871249635887,167.89534883720944,489.0630609880846,6538.340909090909,163.8295454545455,20.0,25.5128,167.89534883720944,86.0,561598.0,86.0,28878.000000000022,quote_only_recovered_3s,,7.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA606|21:16:01.000,20260407,21:16:01.000,21:16:02.000,TA,TA606,961000,1891,1892,961000,interval_execution_drop,6865.0,0.0,5,"TA605,TA609,TA607,TA701,TA608",20,117,290.0,6864.0,6602.233333333334,0.5,1.4566642388929352,131.3833333333332,382.76280650643326,6649.527777777777,107.73611111111131,20.0,20.0,131.3833333333332,120.0,792268.0,120.0,31531.99999999997,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA606|09:10:00.000,20260408,09:10:00.000,09:10:01.000,TA,TA606,43800000,13938,13939,43800000,interval_execution_drop,6385.0,1.4826,5,"TA605,TA609,TA607,TA701,TA608",20,228,290.0,6386.0,6295.29347826087,-0.5,-1.5661707126076743,44.85326086956502,140.4957270777291,6298.711590296496,43.144204851751965,20.0,20.0,44.85326086956502,368.0,2316668.0,368.0,33011.999999999854,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA607|21:05:19.000,20260407,21:05:19.000,21:05:20.000,TA,TA607,319000,638,639,319000,interval_execution_drop,6883.0,1.4826,5,"TA605,TA609,TA606,TA701,TA608",20,133,290.0,6878.0,6350.2962962962965,2.5,7.26427429899753,266.35185185185173,773.9411647591216,6554.837209302325,164.0813953488373,20.0,69.44959999999999,264.85185185185173,27.0,171458.0,27.0,14382.999999999993,quote_only_recovered_3s,,5.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA607|21:07:01.000,20260407,21:07:01.000,21:07:02.000,TA,TA607,421000,836,837,421000,interval_execution_drop,6843.0,0.7413,5,"TA605,TA609,TA606,TA701,TA608",20,171,290.0,6840.0,6173.1612903225805,1.5,4.384042086804033,334.91935483870975,978.8670315321051,6512.406779661017,165.2966101694915,20.0,76.5256,333.41935483870975,31.0,191368.0,31.0,20765.000000000004,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA607|21:07:17.000,20260407,21:07:17.000,21:07:18.000,TA,TA607,437000,868,869,437000,interval_execution_drop,6836.0,1.4826,5,"TA605,TA609,TA606,TA701,TA608",20,169,290.0,6836.0,6415.714285714285,0.0,0.0,210.14285714285734,614.8123380422976,6531.476923076923,152.2615384615383,20.0,57.234399999999994,210.14285714285734,49.0,314370.0,49.0,20594.00000000002,trade_recovered_3s,,2.0,1.0,
